straight_rpm,MASS,THRUST_COEF,DRAG_COEF,LINEAR_SURGE_DAMP,TURN_COEF,RUDDER_FORCE_SCALE,LINEAR_YAW_DAMP,surge_score,surge_err_peak_u_body_mps,surge_err_initial_accel_0_2_after_motion_mps2,surge_err_initial_accel_0_5_after_motion_mps2,surge_err_distance_at_10s_after_motion_m,surge_err_time_to_50pct_peak_u_after_motion_s,surge_err_time_to_90pct_peak_u_after_motion_s,surge_rpm_start_idx,surge_rpm_start_t_sec,surge_motion_start_idx,surge_motion_start_t_sec,surge_motion_lag_s,surge_u_body_at_2s_after_motion_mps,surge_u_body_at_5s_after_motion_mps,surge_u_body_at_10s_after_motion_mps,surge_distance_at_5s_after_motion_m,surge_distance_at_10s_after_motion_m,surge_initial_accel_0_2_after_motion_mps2,surge_initial_accel_0_5_after_motion_mps2,surge_peak_u_body_mps,surge_time_to_50pct_peak_u_after_motion_s,surge_time_to_90pct_peak_u_after_motion_s,surge_u_body_at_2s_after_rpm_mps,surge_u_body_at_5s_after_rpm_mps,surge_u_body_at_10s_after_rpm_mps,surge_distance_at_5s_after_rpm_m,surge_distance_at_10s_after_rpm_m
15.0,64.55,0.05,1.5,2.0,3.0,0.1,5.0,7.807370413408506,0.01993924966529556,0.5405276387608533,0.12218707952501698,0.3909958131173122,4.5626493381720366,1.1585150528620223,0,0.0,3,0.30000000000000004,0.30000000000000004,0.30298312912258435,0.6380814975380841,1.1013034598644762,1.7826781152891407,6.177384697294206,0.12509529308735443,0.11725325507558577,2.3497655720568917,11.0,29.5,0.26686961885251453,0.6066286367489463,1.0765506161379892,1.6058814846398215,5.860618433998915
14.0,64.55,0.06,1.5,2.0,3.0,0.1,5.0,7.822892197543069,0.06323135997112773,0.5197120447286863,0.17292158124312051,0.363514082341315,4.512079798734109,1.1585150528620223,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31671046425357646,0.6669292237743246,1.1507819125766354,1.8633813198404179,6.456143409971999,0.13076251718157153,0.1225543190243914,2.4495031891470433,10.9,29.5,0.2789623445462714,0.6340619866404755,1.1249388760450774,1.6785917446184881,6.125146441534335
16.0,64.55,0.05,1.5,2.0,3.0,0.1,5.0,7.948942669106663,0.15080012358158815,0.47726827078342704,0.27634319551573594,0.30750661784304567,4.512079798734109,1.151198052682829,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3447013396618598,0.7257349011691994,1.2515603907885702,2.027922654824001,7.024250594746582,0.14231819884890062,0.13336046814149632,2.6512466419918796,10.9,29.400000000000002,0.3036205796896334,0.6899865150135863,1.2235026253011307,1.8268395904083916,6.664268506265287
15.0,64.55,0.06,1.5,2.0,3.0,0.1,5.0,7.979778105752196,0.20921104575173397,0.4487031503549896,0.34592597215107623,0.26983472175615847,4.4615102592961815,1.1438810525036356,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3635397490324567,0.7652997442865634,1.3193025188015126,2.138649043676386,7.406372424805563,0.15009529800331764,0.14063091992850532,2.785815415565937,10.8,29.3,0.32021638021017396,0.7276144400371651,1.289760401567268,1.9266036242382887,7.026907026409535
14.0,64.55,0.07,1.5,2.0,3.0,0.1,5.0,8.00749119738738,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451
14.0,64.55,0.05,1.5,2.0,3.0,0.1,5.0,8.102047803974184,0.10443328691248106,0.600615586685263,0.02871867262654844,0.46019532831281035,4.5626493381720366,1.1658320530412156,0,0.0,4,0.4,0.4,0.2743446374773421,0.5650836988718657,0.9675628193135725,1.6040651482961126,5.475465013593917,0.10873583364925035,0.10148566073036308,2.0632325215288825,11.0,29.6,0.23248579943527906,0.5286001182693747,0.9387810741678657,1.3991138011153599,5.107985714301415
16.0,64.55,0.06,1.5,2.0,3.0,0.1,5.0,8.232154757137074,0.3624030026411335,0.36998060352510637,0.5342953758014979,0.18393508474086154,4.4615102592961815,1.1365640523244425,0,0.0,2,0.2,0.2,0.39723817693035657,0.8561610195411409,1.4878568295143204,2.3527607461890794,8.277688443037862,0.17152818689724095,0.16031295524832695,3.138743480970677,10.8,29.200000000000003,0.3643095383109648,0.8275441542372753,1.4654925404317862,2.1916199241114027,7.989583982702252
15.0,64.55,0.07,1.5,2.0,3.0,0.1,5.0,8.273421935474039,0.3941609182397359,0.35399647425789205,0.5731144157153846,0.1633391077321377,4.4615102592961815,1.1292470521452491,0,0.0,2,0.2,0.2,0.40731715272195473,0.8778231639044709,1.5251907518443037,2.412392584928364,8.486602069479025,0.17588000325031994,0.16436901583916788,3.2119082863631285,10.8,29.1,0.3735540939311511,0.8484873882585958,1.5022800077613152,2.247174781968107,8.19126904596666
16.0,64.55,0.07,1.5,2.0,3.0,0.1,5.0,8.423589038242145,0.5686421161631408,0.2650703961093482,0.7889835232577119,0.04885224830170466,4.360371180420327,1.1146130517868627,0,0.0,2,0.2,0.2,0.46339114789480945,0.9982848724363178,1.7325259498297838,2.744094494882,9.647890265389348,0.20009089110242106,0.18692439541127362,3.613883121615526,10.600000000000001,28.900000000000002,0.4249867873995005,0.9649559050640839,1.7065934750454408,2.5562049906284727,9.312413800900629
14.0,64.55,0.05,1.25,2.0,3.0,0.1,5.0,8.478744084046197,0.0009504860964534103,0.5963335959573764,0.0071237746701195885,0.44681146528669435,5.11891427198924,1.2609530553707284,0,0.0,4,0.4,0.4,0.2768501466932823,0.576363682534163,1.0038318399759019,1.6254352863817665,5.611223145358841,0.10990164236875131,0.10374203324134239,2.30601870879554,12.1,30.900000000000002,0.23427048394023098,0.5383944456319855,0.9726834983428353,1.4162894692123993,5.229728733805475
