#{"t_start": 1781280255.7734516, "env_id": "None"}
r,l,t
117.53195,185,37.177912
-936.50885,206,39.131834
-939.4373,211,39.585859
118.08324,228,41.103771
104.99844,254,43.541593
123.7471,255,43.649938
121.68892,257,43.851949
-994.83575,83,44.851763
-949.08435,288,46.523414
121.92606,220,58.609383
123.1782,228,59.808773
-937.5602,207,61.998673
117.81295,207,63.243274
125.55437,230,64.12313
104.728035,263,64.84643
-941.61035,218,66.29841
-951.0568,296,70.823446
-935.6099,232,80.684952
103.93273,249,83.346916
116.44154,209,84.465369
-934.90765,241,86.581465
-936.30273,234,87.841628
-937.8182,210,89.888106
-953.2127,307,90.494927
-953.1879,310,92.130166
118.84907,217,100.739029
-936.9801,207,103.694312
-940.34766,217,108.300209
-929.1988,269,108.301207
103.12156,252,115.772347
-949.9866,285,116.808355
-950.7939,350,119.266034
117.55091,225,121.69311
-936.5308,208,123.17584
-996.1189,71,123.556528
-965.0824,131,127.989168
-926.7711,279,134.275491
-1006.6017,490,136.264518
-951.6913,320,137.776326
-936.31323,218,141.234867
-937.9148,245,141.42313
-937.12885,214,142.540169
-936.24475,222,142.923286
115.99627,189,144.680808
117.81058,216,154.487796
-936.2771,232,157.372495
-936.3816,221,159.925397
-936.64856,210,160.437424
-960.9098,323,161.490722
123.27726,230,161.892555
-937.59674,214,162.648476
108.81683,292,166.325222
116.09359,212,173.875712
115.74897,250,180.320621
106.26578,239,183.810133
123.17563,243,184.687256
-941.55475,279,186.047611
117.46993,256,186.719157
-950.88965,297,188.274029
116.31829,190,190.909615
-952.38666,273,191.503108
116.61211,200,197.869538
-987.956,96,199.762267
-937.3722,214,202.801212
118.89287,214,203.529187
-952.7094,283,212.451931
-953.2732,318,213.344389
-952.85266,319,214.000245
-939.8353,277,214.824791
-942.9191,225,217.71773
110.641975,272,224.452086
109.00503,241,225.450843
-951.3407,285,229.018202
115.524895,222,235.043594
-981.7387,92,237.600311
-954.3488,322,242.903355
-947.6223,277,244.001354
-939.15137,218,244.827978
-953.02966,322,245.546952
-959.7517,363,248.598659
-954.4286,336,256.355037
117.30049,208,256.355037
116.23666,198,260.578693
115.78676,198,261.688448
-937.58246,215,264.779657
115.505,254,267.9566
-949.3831,286,274.517385
-939.35345,218,276.298166
-947.2084,250,284.038548
-1010.48596,590,288.844794
-945.71844,232,289.368323
-947.5764,282,291.269545
-953.92395,324,292.155935
-969.82587,118,295.150007
110.65865,260,298.548344
-970.6977,116,301.715336
-983.2408,492,301.715336
-970.5959,182,501.861967
116.30496,189,503.064142
-955.8712,343,504.418472
116.68168,194,506.237707
116.75575,197,509.558827
-967.6073,118,514.249494
107.68105,254,521.781663
115.759766,206,523.896162
-948.4278,295,525.879013
-954.225,337,526.626754
116.41208,191,532.713963
-958.80237,332,533.877094
-942.8272,297,534.884904
-944.05664,276,536.347569
118.782234,218,543.952019
-949.62006,278,555.286447
-959.38074,354,562.024617
-962.8472,375,562.123492
-950.94305,289,565.454993
-954.802,333,567.297136
-955.9361,351,567.933582
-963.2229,378,571.968282
-953.1111,305,573.099557
117.15032,204,573.795264
117.01632,194,578.914144
116.37467,190,581.847312
118.05145,228,581.847312
116.91881,203,584.911581
116.47603,188,589.601257
120.46436,209,590.245966
-953.9605,329,596.293479
-947.7518,269,597.140496
117.12014,212,600.397847
-938.1361,233,604.701459
116.606735,190,605.591187
-958.1064,345,608.557207
-944.10486,252,611.670441
-954.7566,351,612.07924
119.15871,199,613.247255
-937.3906,216,619.007085
-946.25055,311,624.277455
-941.50336,224,628.310458
117.326706,212,631.002155
-933.4463,223,633.311319
-962.644,313,633.514028
-958.84827,359,636.710396
-954.3859,333,641.78995
121.750984,215,648.141114
-943.6566,264,648.315616
-955.39575,341,650.023543
-948.73737,298,657.542318
116.295006,190,658.202019
-946.1019,297,659.819319
117.2605,186,663.607097
-956.5883,329,665.133858
116.41967,191,665.64913
-962.75244,372,665.64913
121.05241,223,666.945666
116.04078,193,674.006676
116.15918,190,674.505423
116.699646,199,677.099552
-940.3282,242,685.439446
105.56712,247,688.131883
103.9394,261,690.729308
-954.90155,330,695.572452
-955.54407,341,695.989923
-936.3927,215,696.491805
-939.8395,279,700.034209
115.67726,205,703.955334
-955.9858,329,704.054822
121.38529,226,708.648744
117.01642,186,713.522571
123.46654,221,716.411873
116.89318,221,717.490643
-946.71625,292,717.995535
-960.576,198,723.202665
-940.1052,265,725.309386
120.984505,230,734.470583
111.183876,284,734.964005
-957.4905,340,735.458011
-935.52057,212,736.872139
-941.78235,261,739.725146
118.65169,189,741.310756
113.094894,264,745.864985
-954.34753,334,747.041387
116.42912,186,750.674988
115.73374,209,753.872272
-937.6854,227,754.970193
107.831436,248,759.125868
-987.9245,85,762.005811
-953.73114,325,769.615241
-938.06165,205,770.136027
106.92509,247,770.24837
-953.9261,336,772.689711
-948.1798,292,773.458873
120.20267,224,776.37369
-949.14685,300,978.712227
117.39553,185,978.808382
-938.3705,293,980.907408
-942.3703,215,981.65644
116.44386,207,983.249044
104.57143,265,985.545697
116.42133,206,986.571096
-954.97943,321,993.907317
116.208374,205,996.770382
-944.03754,217,1001.971071
-939.5489,248,1003.100327
-935.761,212,1004.966802
117.881226,230,1005.513412
-944.6484,319,1006.823896
-953.626,336,1010.375406
-937.1936,215,1012.661329
111.38027,248,1018.751165
118.893745,201,1019.849113
-936.547,214,1023.903596
98.08628,280,1031.869948
-956.42004,338,1033.391735
-954.90656,333,1035.325602
-936.66125,214,1037.975716
-936.7566,284,1038.191702
-956.52576,340,1041.195152
-951.89606,311,1048.285716
-938.1956,211,1052.39349
-963.94775,237,1053.341569
-937.4691,204,1053.782043
-964.34436,347,1055.093359
118.73818,212,1056.700012
-953.9576,224,1057.819957
115.607895,199,1058.26044
-995.60175,70,1059.011125
-938.5731,206,1065.927114
116.79002,185,1068.612231
116.22996,225,1077.875318
119.1276,222,1078.881571
-959.0581,232,1078.978479
105.21788,273,1079.263793
-961.1325,326,1082.438187
122.842636,216,1085.051143
-952.2642,221,1088.222138
-953.33044,375,1090.269311
-937.6564,218,1098.786039
109.167145,231,1098.886388
-949.54517,240,1100.731929
117.277054,216,1102.190564
117.18068,217,1105.016492
-937.64514,204,1106.803696
-951.2733,310,1107.321297
116.434074,189,1115.937907
-948.1211,292,1116.837922
117.03202,185,1117.54572
117.83224,213,1121.679631
115.80264,240,1127.386726
-938.4617,220,1127.481394
-937.97314,215,1127.576075
-954.2308,333,1129.978297
113.88568,249,1140.541878
102.67201,282,1141.837932
119.752014,231,1142.551609
116.50829,190,1145.981607
-955.5181,341,1147.302302
107.01371,293,1152.539297
-955.41406,297,1153.032402
-986.6169,92,1153.825453
116.84519,185,1155.870514
-961.212,332,1155.976382
102.681816,259,1165.096016
-939.04486,206,1165.681651
-951.74805,231,1174.103742
107.07621,244,1175.691698
118.66266,226,1176.948691
118.28877,233,1177.75988
-954.1316,319,1182.6974
117.903946,213,1183.992684
-950.1562,286,1190.713524
-937.1269,205,1191.311512
116.759,190,1193.20941
117.43786,235,1197.657847
-950.2572,284,1199.725901
121.67758,211,1200.671532
-1033.9973,700,1202.870456
116.50473,228,1203.767858
-951.47577,196,1208.118175
-949.319,293,1215.548707
116.46253,191,1216.623796
-953.1679,215,1217.899945
-966.3393,321,1220.298612
-948.8407,278,1221.245215
122.30417,214,1226.949358
99.48002,279,1228.102335
-957.8227,321,1231.24595
118.926155,221,1235.885631
108.48539,237,1238.703745
118.89839,223,1242.062759
102.64822,276,1243.672737
-937.8331,216,1248.644116
104.44792,248,1250.653566
-951.22943,333,1252.257635
117.02546,204,1256.11913
-950.5511,221,1440.97533
-961.12604,325,1443.122493
115.42125,225,1444.831985
106.08436,256,1449.085944
118.46812,228,1450.911296
-935.44434,209,1452.290714
116.5325,189,1457.831698
106.64493,246,1458.804413
116.03169,202,1460.970983
-953.6318,339,1462.34604
105.12987,238,1465.919403
-936.6977,209,1467.529805
116.63825,190,1467.72564
117.30014,202,1470.484482
118.947044,224,1479.635468
-949.18243,232,1481.660059
105.790565,241,1490.482395
-950.85675,230,1491.245212
116.88472,233,1491.748035
117.732475,219,1493.135719
-954.7592,331,1494.178072
-954.1772,322,1494.765415
