#{"t_start": 1776222200.6349409, "env_id": "None"}
r,l,t
-1775.636,49,20.120594
-1694.8328,84,20.518958
-2379.679,125,21.087628
-1491.8165,91,21.494444
-2378.324,141,21.521675
-459.93262,150,21.761399
-3210.4304,177,22.485429
-2025.2231,187,22.751706
-2046.3888,191,22.861597
-1733.4902,23,23.108846
-928.4274,158,24.384799
-1449.2363,59,24.923711
-1369.8411,143,25.798609
-2636.937,136,26.224926
-1904.3384,154,26.807471
-1589.3162,112,26.93333
-558.2946,161,27.224214
-676.42267,153,28.296007
-2124.0557,190,30.353553
-2271.0415,183,30.392541
-2415.0842,150,30.701784
-1972.5598,176,30.938124
-2076.524,186,30.965845
-528.626,151,31.203133
-2047.4231,175,31.525893
-1702.1093,147,32.165025
-1701.4873,60,33.003183
-2284.1045,101,33.677114
-2061.4624,127,34.105686
-657.68933,140,34.423644
-2101.7598,188,35.080091
-2282.775,182,35.23178
-2582.007,197,35.388556
-2266.141,113,36.568807
-2247.2546,173,37.778922
-2036.5865,125,38.177194
-1855.1675,69,38.370759
-1916.3394,61,38.698271
-274.1023,141,39.018235
-1910.2139,134,40.285501
-2209.93,175,40.439847
-389.39154,158,40.750406
-491.63602,161,42.210524
-2066.8403,119,42.370623
-372.59506,146,42.707155
-462.24695,162,42.778443
-2230.3975,181,43.070131
-1867.0236,26,43.74173
-394.81937,137,44.025762
-1753.3096,87,44.403591
-546.7692,144,44.451484
-2740.623,177,44.892106
-617.1398,148,47.006322
-2049.4507,165,47.18936
-1730.4175,83,47.255239
-1650.887,102,48.209274
-2108.8008,173,48.49847
-374.76224,150,49.187876
-2245.2036,167,49.3389
-2443.2036,124,49.383365
-2046.5563,140,51.315575
-2084.4321,127,51.435977
-303.99377,151,51.614453
-2009.5963,175,52.25866
-1926.813,127,52.546254
-1604.652,131,52.702454
-375.59335,146,52.87373
-2289.3074,178,53.024138
-1752.949,74,53.430076
-1666.459,35,54.296373
-2000.2058,130,55.013199
-2280.3308,85,55.013199
-2241.0952,173,55.822726
-1106.087,130,55.998035
-2036.7393,145,56.232307
-543.7058,160,56.309912
-603.2611,153,56.9535
-2392.2896,125,58.036937
-2031.5005,134,59.783237
-2050.5679,153,60.260843
-2278.083,156,61.063096
-549.78925,149,61.365841
-2339.3862,174,61.685978
-2618.27,140,61.738186
-2395.5486,125,61.936763
-1869.5403,181,62.106545
-1458.1803,60,62.645852
-1702.0676,23,62.743302
-1649.844,70,63.200182
-382.0213,161,63.810059
-2380.8977,178,64.775523
-1570.646,111,64.826838
-2543.608,128,65.003953
-491.7697,153,65.649549
-1724.1423,146,66.29851
-532.87354,155,66.627829
-331.89038,150,66.92821
-2766.0713,190,69.041901
-2215.2168,158,69.307951
-296.18518,151,69.385061
-1006.2643,152,70.867602
