set,obstacle_count,method,n_runs,success,success_per_run,obstacle_collision,obstacle_collision_per_run,border_collision,border_collision_per_run,timeout,timeout_per_run,rms_cte,rms_cte_per_run,min_obstacle_clearance,min_obstacle_clearance_per_run,mean_abs_rudder_rate,mean_abs_rudder_rate_per_run,path_completion_time_s,path_completion_time_s_per_run
hard_arr_obs2,2,SAC (deployed),1,0.7,0.7000,0.3,0.3000,0.0,0.0000,0.0,0.0000,1.0699135476377943,1.0699,0.08126006375864422,0.0813,59.38286820920224,59.3829,20.9,20.9000
hard_arr_obs2,2,SAC (3 seeds),3,0.7000000000000001,0.7200;0.7000;0.6800,0.22666666666666668,0.1500;0.2600;0.2700,0.07333333333333335,0.1300;0.0400;0.0500,0.0,0.0000;0.0000;0.0000,1.2088515744557649,1.3658;1.1225;1.1382,0.22539879534930451,0.2974;0.2086;0.1703,62.8051551928798,57.1595;64.7140;66.5420,20.68766666666667,21.9360;20.2220;19.9050
hard_arr_obs2,2,PPO (3 seeds),3,0.87,0.9200;0.8300;0.8600,0.09666666666666668,0.0700;0.1400;0.0800,0.03333333333333333,0.0100;0.0300;0.0600,0.0,0.0000;0.0000;0.0000,1.614060447309562,1.6039;1.8809;1.3573,0.4006055667114366,0.4280;0.6099;0.1639,12.701532557768708,13.9435;11.2595;12.9016,23.43466666666667,25.5890;25.3500;19.3650
hard_arr_obs2,2,LOS+APF (3 searches),3,1.0,1.0000;1.0000;1.0000,0.0,0.0000;0.0000;0.0000,0.0,0.0000;0.0000;0.0000,0.0,0.0000;0.0000;0.0000,1.4892691806162455,1.2766;1.5144;1.6768,0.47950387084431534,0.2569;0.4090;0.7726,9.25441057409394,9.3991;8.6184;9.7457,30.267666666666667,28.5600;31.0720;31.1710
hard_arr_obs3,3,SAC (deployed),1,0.48,0.4800,0.46,0.4600,0.06,0.0600,0.0,0.0000,0.9803931994063975,0.9804,0.0660523218758262,0.0661,59.429892448697586,59.4299,17.994,17.9940
hard_arr_obs3,3,SAC (3 seeds),3,0.7633333333333333,0.7500;0.7200;0.8200,0.12,0.0400;0.2000;0.1200,0.11666666666666665,0.2100;0.0800;0.0600,0.0,0.0000;0.0000;0.0000,1.3005814486441911,1.4030;1.2504;1.2484,0.37149490419703035,0.4884;0.3309;0.2952,65.45358663504466,61.8869;69.0709;65.4029,20.831666666666663,21.1830;20.1670;21.1450
hard_arr_obs3,3,PPO (3 seeds),3,0.8366666666666666,0.9400;0.7200;0.8500,0.04666666666666666,0.0600;0.0600;0.0200,0.11666666666666665,0.0000;0.2200;0.1300,0.0,0.0000;0.0000;0.0000,1.680650507919778,1.6466;1.9845;1.4109,0.4718735990925278,0.5076;0.6556;0.2525,13.03453960688645,13.8558;11.9487;13.2992,23.34833333333334,24.0700;26.4290;19.5460
hard_arr_obs3,3,LOS+APF (3 searches),3,0.9766666666666666,0.9500;0.9900;0.9900,0.013333333333333334,0.0400;0.0000;0.0000,0.01,0.0100;0.0100;0.0100,0.0,0.0000;0.0000;0.0000,1.612086120607512,1.4519;1.5938;1.7905,0.6060375625875877,0.3577;0.5865;0.8738,9.809796925156673,10.6484;8.2360;10.5450,29.14233333333333,26.5940;30.0220;30.8110
hard_arr_obs4,4,SAC (deployed),1,0.33,0.3300,0.59,0.5900,0.08,0.0800,0.0,0.0000,1.1480367596124976,1.1480,0.06892423293565046,0.0689,51.35038078129187,51.3504,16.668999999999997,16.6690
hard_arr_obs4,4,SAC (3 seeds),3,0.68,0.7000;0.6000;0.7400,0.16333333333333333,0.0800;0.2900;0.1200,0.15666666666666668,0.2200;0.1100;0.1400,0.0,0.0000;0.0000;0.0000,1.4669818313313367,1.6526;1.3129;1.4355,0.29384064825114936,0.3886;0.1913;0.3017,61.92524438408936,59.3490;66.3779;60.0488,20.109666666666666,20.9060;18.9220;20.5010
hard_arr_obs4,4,PPO (3 seeds),3,0.7533333333333333,0.7600;0.7400;0.7600,0.11666666666666665,0.1300;0.1200;0.1000,0.13,0.1100;0.1400;0.1400,0.0,0.0000;0.0000;0.0000,1.8497555562455483,1.9351;2.0689;1.5452,0.37131746747717626,0.4185;0.5228;0.1727,13.207127577269652,14.2414;12.0115;13.3685,22.805333333333333,23.4210;25.6830;19.3120
hard_arr_obs4,4,LOS+APF (3 searches),3,0.8733333333333334,0.8700;0.8400;0.9100,0.10666666666666667,0.1100;0.1400;0.0700,0.02,0.0200;0.0200;0.0200,0.0,0.0000;0.0000;0.0000,1.8105201755738989,1.7188;1.6768;2.0359,0.427900749604474,0.2789;0.3521;0.6528,10.453483526904764,10.8828;9.0813;11.3963,30.18433333333333,27.9060;30.7940;31.8530
