comparison,scope,n_pairs,success_a,success_b,mcnemar_only_a,mcnemar_only_b,mcnemar_p,rms_cte_median_a,rms_cte_median_b,rms_cte_hl_diff,rms_cte_wilcoxon_p,clearance_median_a,clearance_median_b,clearance_hl_diff,clearance_wilcoxon_p
SAC deployed vs SAC retrained (seed0),all_paired,500,0.95,0.94,21,16,0.5113757815852296,0.9288954556125188,1.2600200069960525,-0.3090148437635716,9.439120051138272e-71,0.23224110667432624,0.4629157876488842,-0.2625553047489152,9.171917653126051e-49
SAC deployed vs SAC retrained (seed0),both_succeeded,454,0.95,0.94,21,16,0.5113757815852296,0.931331193679757,1.282450806524005,-0.31756745187594493,9.170296086261492e-75,0.240187908779366,0.48298158894833254,-0.26723549349888115,1.3931496668715678e-46
SAC deployed vs SAC retrained (seed1),all_paired,500,0.95,0.9,41,16,0.001263559472435463,0.9288954556125188,1.1004383549274035,-0.1668615987832431,2.6330078076896112e-28,0.23224110667432624,0.3851681016277978,-0.16811564738675833,4.904461813030776e-23
SAC deployed vs SAC retrained (seed1),both_succeeded,434,0.95,0.9,41,16,0.001263559472435463,0.905635181411903,1.1471744629351828,-0.1850948961360985,3.8818053060695005e-53,0.25744200089395314,0.4509552801917104,-0.2088749793967238,7.204565337394338e-29
SAC deployed vs SAC retrained (seed2),all_paired,500,0.95,0.932,33,24,0.2892437471090205,0.9288954556125188,1.0458404985819563,-0.18005508196033138,6.972022403737103e-19,0.23224110667432624,0.43043554787950344,-0.23458202416655421,9.332226913797811e-33
SAC deployed vs SAC retrained (seed2),both_succeeded,442,0.95,0.932,33,24,0.2892437471090205,0.9450696437350841,1.0611914725502665,-0.18439125670442433,7.981374050176752e-23,0.2359586917105666,0.45395510071430334,-0.2512909675160484,2.2797825137660906e-34
SAC deployed vs PPO (seed0),all_paired,500,0.95,0.894,51,23,0.0015162236642818601,0.9288954556125188,1.2097872466986797,-0.39615498334415467,9.083299477447921e-33,0.23224110667432624,0.5054280491649296,-0.2877397289275188,1.0559667734776024e-34
SAC deployed vs PPO (seed0),both_succeeded,424,0.95,0.894,51,23,0.0015162236642818601,0.936960281506715,1.2592685649965432,-0.4552473818885686,2.002338296548943e-51,0.23341151179453026,0.5588298030491317,-0.3474927972410237,4.424578367137608e-42
SAC deployed vs PPO (seed1),all_paired,500,0.95,0.898,49,23,0.002942760530124976,0.9288954556125188,1.874993948017988,-1.035798662428677,9.26786106705762e-72,0.23224110667432624,0.9185509915127824,-0.681640484433994,4.6984157544410635e-58
SAC deployed vs PPO (seed1),both_succeeded,426,0.95,0.898,49,23,0.002942760530124976,0.9720788462307961,1.984514488566535,-1.0935725365825997,1.963902103152728e-70,0.2340466865887329,0.9790519901024284,-0.7555018992183159,5.425822793950386e-55
SAC deployed vs PPO (seed2),all_paired,500,0.95,0.922,37,23,0.09246098107292373,0.9288954556125188,1.101063142611842,-0.2913128489662782,7.079493635330187e-31,0.23224110667432624,0.279868386477376,-0.08639821250513269,2.1372677006710495e-07
SAC deployed vs PPO (seed2),both_succeeded,438,0.95,0.922,37,23,0.09246098107292373,0.931331193679757,1.1077044400267244,-0.33246484631363493,5.797879557031417e-38,0.23308874637094518,0.3174382196614188,-0.10668907470755082,9.72963185211225e-10
SAC deployed vs LOS+APF (los_apf_s1),all_paired,500,0.95,0.968,16,25,0.21102359760880063,0.9288954556125188,1.217460591091476,-0.18909559150737915,1.218455791628545e-35,0.23224110667432624,0.6769261573218535,-0.41569527743070067,1.1119027127308801e-62
SAC deployed vs LOS+APF (los_apf_s1),both_succeeded,459,0.95,0.968,16,25,0.21102359760880063,0.9293629588351846,1.1743006029978529,-0.175852701895428,2.519324513954956e-28,0.23436064868518497,0.6929965203836718,-0.42232797307643377,1.9889858356751757e-59
SAC deployed vs LOS+APF (los_apf_s2),all_paired,500,0.95,0.972,14,25,0.10812902140605732,0.9288954556125188,1.3776255678302693,-0.33310893786103696,1.4025220276122102e-55,0.23224110667432624,0.7104737261795137,-0.43647542767891495,2.4313718528693607e-61
SAC deployed vs LOS+APF (los_apf_s2),both_succeeded,461,0.95,0.972,14,25,0.10812902140605732,0.9486523109093716,1.3663928819844176,-0.30668252661499795,9.881186643554396e-53,0.2348650072458688,0.7159970275533342,-0.43574666289200054,4.9404949948515e-59
SAC deployed vs LOS+APF (los_apf_s3),all_paired,500,0.95,0.94,28,23,0.5758493477318467,0.9288954556125188,1.531666284986506,-0.4958058001861307,1.563204543658598e-65,0.23224110667432624,1.0372328614427022,-0.7435532634128986,1.6100491008450686e-64
SAC deployed vs LOS+APF (los_apf_s3),both_succeeded,447,0.95,0.94,28,23,0.5758493477318467,0.9284279523898531,1.5129342814295301,-0.452720528925981,6.106416155437198e-56,0.24403904298870463,1.0716368321618388,-0.772487767219274,1.5045521460031213e-58
