#{"t_start": 1787204402.5790324, "env_id": "None"}
r,l,t
-979.08154,99,24.809564
-979.45154,100,24.818026
-975.786,110,24.886602
-972.7955,115,24.919119
-975.8746,143,25.093484
-968.6545,165,25.234031
-991.155,78,25.319348
103.62955,186,25.371987
-987.64764,79,25.393305
95.14275,192,25.41206
-978.6356,101,25.471069
-991.799,68,25.683181
-993.9445,63,25.73634
-976.8749,109,25.806156
-993.30054,64,25.832124
-977.26434,142,25.840322
-991.9412,68,25.912707
-983.97473,87,26.255263
-976.6968,111,26.453343
-977.98346,106,26.492937
-980.57837,115,26.585727
104.85741,184,26.594726
-979.0985,122,26.62579
89.21101,204,26.70156
-966.9888,129,26.748007
-990.9709,70,26.926135
-980.76404,97,27.266986
-979.3557,99,27.278161
-978.2229,168,27.38947
-980.6819,107,27.44907
-984.82434,175,27.674676
-982.7806,154,27.781612
-987.3609,80,27.943064
-965.91064,212,28.027742
-990.9873,70,28.115087
-965.1729,133,28.115087
-972.89343,195,28.203595
-985.71844,83,28.32303
105.171524,189,28.547308
-975.57764,208,28.891022
-974.7679,123,29.037287
-973.46106,153,29.483861
-978.78204,171,29.516665
-986.75574,205,29.580065
98.37862,183,29.616291
-967.7373,129,29.641041
100.07811,185,29.867746
-992.5384,68,30.034334
-981.9009,93,30.262201
105.03327,187,30.383239
-977.12366,104,30.407622
102.84287,187,30.512034
-981.42523,95,30.61949
-981.2169,94,31.052858
-984.8216,85,31.113193
99.61643,199,31.226902
-966.4714,220,31.397997
103.12861,183,31.499497
-982.90106,90,31.712344
-977.0461,206,32.039851
-975.4531,108,32.050244
106.55024,183,32.095509
-977.85614,134,32.139138
-993.53845,64,32.253273
-983.18494,95,32.263525
-968.44006,228,32.366347
-982.1913,92,32.867188
-982.84216,92,33.08806
-965.95337,144,33.42926
-971.5305,227,33.42926
-981.0603,127,33.48201
-969.3982,154,33.569489
-976.1542,106,33.908766
-990.2898,72,34.044506
-972.6931,207,34.055247
-984.3537,88,34.222426
-961.37836,209,34.278941
-977.8842,103,34.296311
-989.3958,74,34.707991
-970.5776,139,34.7679
104.818726,182,34.7679
-974.4296,133,35.095537
-985.0592,94,35.191648
-970.4352,132,35.552805
-963.9145,210,36.054399
-964.0884,208,36.236318
-976.4868,106,36.247326
-970.5228,143,36.464477
105.0038,184,36.522984
98.99652,201,36.604967
-989.4035,74,36.685065
-978.4322,215,36.788134
-991.75745,68,36.797397
-990.1316,72,37.378037
-977.48804,210,37.387146
-979.9085,97,37.398362
-968.67535,125,37.572932
-986.43756,109,37.600267
-994.2231,149,37.712939
91.4929,191,37.828258
-968.94867,136,37.918555
-978.5473,101,38.252143
-987.9712,83,38.28513
-972.9793,119,38.550046
-975.4376,109,38.631115
-964.83185,151,38.680338
