#{"t_start": 1787470889.5843549, "env_id": "None"}
r,l,t
-984.88,85,16.837077
-980.7437,96,19.043046
-977.2436,104,20.965233
-976.19824,110,22.544549
-978.8854,112,23.079447
-971.5522,117,24.442284
-974.69763,137,29.99201
-988.1107,78,36.781957
-989.6764,80,45.717816
-978.55865,210,49.122242
-970.80414,121,50.907269
-990.16846,72,55.641667
-976.6264,105,57.685382
-971.01685,166,71.74218
-991.88324,68,75.098995
92.19982,187,80.359736
-962.34393,213,89.816711
-989.7694,122,90.856461
-982.46936,136,114.014924
-970.6516,119,125.456076
-981.11316,163,129.348722
-981.7942,201,131.965114
-979.9369,97,133.302944
-987.7738,111,140.679315
-984.73834,145,146.1638
-997.187,183,157.673998
-986.7342,83,166.742409
-976.3297,106,173.162077
-982.7978,120,185.525881
-988.2632,187,197.35018
-994.8779,140,202.916049
-976.9944,104,203.782076
-988.12,162,205.57056
-981.0601,138,207.5387
-981.44934,94,208.522229
-991.78674,68,229.314904
-1004.2926,125,230.232598
-990.23346,72,237.778057
-991.0069,70,238.732341
-980.04926,120,241.153645
-1001.26404,107,252.71853
-1003.51483,135,266.201372
-976.1563,159,273.982678
-981.6138,96,274.202971
-970.21545,132,280.75742
-983.9385,117,281.143856
-988.11194,181,296.679732
-992.5092,186,306.511614
-987.9006,113,312.333977
-990.0567,140,312.695523
-1002.61084,102,315.814985
-991.05695,203,324.044547
-1007.70514,146,336.423084
-1001.88306,183,344.833592
-991.9208,69,347.941167
-990.9595,119,358.641269
-992.7948,103,359.102747
-991.28906,102,359.102747
-983.51013,91,388.047941
-986.22943,118,388.555734
90.904884,222,390.998441
-1010.4691,190,409.93626
-984.98254,128,415.971355
-991.75146,73,421.044679
-995.48376,142,422.357884
-1007.6454,188,428.613734
-989.2166,102,436.178337
-1018.04553,189,442.501165
-998.9455,134,447.933664
-988.67706,80,462.135536
-981.74457,132,469.516107
-979.76483,151,471.031958
-1006.0474,128,471.979518
-987.23975,106,476.538174
-981.9443,99,479.355072
-972.8332,163,484.967133
-979.54755,154,501.835193
-989.9566,77,505.032297
-999.3781,122,510.686958
-988.8303,77,511.085666
-995.5689,156,516.092643
-1001.42523,138,528.115493
-994.4146,154,529.53514
-989.1421,78,539.268281
-1005.7033,182,540.649421
-977.8464,108,548.544924
-980.4413,115,559.428519
-989.39044,104,564.719147
-975.6734,160,567.015902
-993.3816,107,569.560574
88.53582,193,575.317686
-966.6099,170,575.783581
-993.09564,104,578.920199
-981.48193,141,579.484486
-988.8193,171,581.398425
-972.98456,158,593.961519
-987.0819,80,594.131773
-974.03217,114,597.049181
-971.2723,118,598.088969
-990.453,125,601.59506
100.503784,184,603.825526
-963.1447,209,606.731182
-992.94946,66,611.392036
-957.10394,198,619.204437
-968.49115,134,620.033731
-966.2551,133,622.184606
-975.1338,115,624.380419
-966.20935,165,625.78638
-968.685,127,628.575484
-993.42084,64,632.98819
-974.4086,139,638.848102
-987.1086,80,639.136968
-978.5284,101,639.441533
-985.6446,83,641.521167
100.51034,183,643.008367
-983.67444,95,648.883471
-992.8361,66,655.220597
-995.7786,117,656.430752
-978.93164,105,660.020137
-977.0835,108,660.827091
-968.04034,126,663.900589
-972.44226,210,667.983486
-985.0867,132,674.635829
-976.93555,105,677.170813
97.16323,183,679.318836
-987.04913,150,684.471502
-984.2553,127,684.863942
-976.3319,106,685.197618
-982.6512,133,687.074628
-989.5918,106,689.442121
-982.42316,91,695.679883
-983.80585,112,697.392768
-993.78674,63,702.473213
-993.62415,100,705.224505
-984.30365,97,705.469829
-985.4761,110,709.436147
-987.98395,120,709.436147
-984.91406,85,714.301687
-992.03424,98,715.08481
-992.3339,70,715.622442
-978.00214,186,716.612804
-1000.15594,100,724.620326
-987.1214,80,724.849015
-986.4377,107,725.472177
-978.0135,102,733.89695
-982.70465,91,734.52104
-999.33386,101,734.729891
-965.76416,132,734.921954
-967.5573,155,746.038989
-985.5299,131,751.163491
-996.43994,96,752.904131
-997.7319,106,754.235061
-977.30914,106,755.047346
-985.75244,166,756.856233
-980.88794,180,759.739198
-970.0116,160,765.918453
-976.4976,107,767.281598
-982.0725,92,772.019933
-993.2235,76,772.762854
-986.3353,117,775.070495
-982.1138,99,775.843073
-977.2932,104,775.843073
-988.14246,78,783.109128
-996.15027,147,788.820944
-998.6219,110,792.622113
-986.32684,143,793.579092
-978.3862,131,797.277585
-981.5674,94,800.429593
-991.79987,68,805.758349
-978.9615,166,806.137555
96.36676,190,810.495304
-982.2227,195,812.246664
-996.68823,109,813.652931
-990.23193,145,815.810786
-978.6833,101,816.562962
-997.9894,91,817.76449
-984.45795,87,824.134766
-993.25,64,826.631993
-993.42255,121,830.507326
-996.51025,107,833.475442
-978.2936,103,837.956832
-959.53,154,840.74678
-999.2229,92,843.927643
-988.55743,76,845.131704
-994.8923,158,847.157599
-975.8883,162,848.481929
-989.8365,79,848.804923
-990.3595,75,853.409431
-980.9046,179,858.253347
-1005.6322,92,862.523812
-987.9367,78,862.756547
-988.4178,76,863.6338
-990.98193,70,866.91582
-976.6643,105,870.143507
-975.7409,139,873.447096
-979.72437,177,876.01263
-991.70026,97,878.049448
-999.0297,112,884.831845
-1002.08453,96,888.952504
-966.65106,131,889.48601
-989.7132,76,892.542373
-977.99255,140,893.979112
-988.3951,113,894.997345
-962.20984,208,903.448867
-978.6898,150,905.520196
-989.5533,74,909.149215
-991.7812,70,909.289263
-978.97797,104,910.197593
-992.7163,93,911.640473
-992.9917,65,916.861395
-979.57196,166,921.367055
-981.5964,196,923.056005
-996.0252,91,923.056005
-984.05927,93,926.873218
-978.7125,101,929.60254
-979.7405,98,930.225353
-976.59467,106,938.819272
-988.6162,76,939.867987
-998.74854,168,944.519306
-977.5051,115,952.939015
-991.2617,100,953.207346
-973.5154,175,959.600941
-974.86127,118,963.899152
-992.78204,66,965.756272
-969.5458,210,967.222178
-1000.21826,179,967.894706
-973.9413,168,973.051367
-972.6215,116,975.359556
-988.86743,124,981.917457
-961.42664,207,983.900939
-988.5924,120,988.901585
-979.7081,135,990.513057
-966.5583,130,991.644737
-971.7821,117,994.074015
-977.6288,169,994.770527
-976.0064,121,996.389641
-995.46466,100,1002.763188
-966.3054,136,1008.058471
-990.86206,72,1017.459229
-979.4194,135,1018.316114
-967.4778,134,1021.09475
-972.01715,119,1021.303086
-983.42664,132,1022.043627
-977.10254,162,1022.892163
-972.41595,213,1031.400535
-987.1125,115,1040.322946
-991.2992,70,1043.637673
-973.4486,141,1044.041725
-975.80566,195,1045.378614
-966.852,131,1045.601705
-973.8732,141,1047.268652
-966.55896,143,1048.507044
-991.3395,70,1058.003571
-990.03534,101,1060.120537
-975.91345,205,1061.617339
-980.293,98,1063.345299
-982.63745,121,1068.829531
-982.29865,109,1070.018237
-963.3032,140,1073.087665
-986.79517,80,1073.315925
-989.12067,80,1075.055481
-981.54285,96,1080.45704
-984.5322,90,1080.851458
-961.25226,177,1081.71713
-982.5764,94,1086.280074
-974.2726,155,1097.928648
-987.5923,113,1099.845475
-970.33887,121,1101.863159
-972.4381,130,1104.004228
-973.94995,189,1106.470506
-975.3649,197,1110.550678
-975.7694,210,1110.692895
-985.74585,83,1113.09673
-982.7036,92,1119.029794
-960.29224,205,1124.536713
-977.9938,132,1125.683041
-990.10297,76,1125.959068
-991.29175,72,1127.66803
-981.72577,137,1134.448332
-980.56854,129,1136.404983
-987.19147,81,1143.323472
88.44207,200,1143.725683
-972.8084,149,1149.074206
-987.57794,80,1149.754711
-963.97974,141,1152.665804
-980.0282,98,1155.659408
-980.6695,160,1157.564323
-991.26215,70,1157.739289
99.02046,189,1163.608529
-993.8406,64,1168.913448
-982.54474,95,1169.034922
-984.5853,90,1170.267227
-979.5693,103,1182.956133
-965.0866,134,1183.535977
-961.16235,206,1184.252983
-978.6667,144,1184.993021
-980.49005,96,1188.225719
-977.6463,106,1188.458516
-970.39777,205,1188.667275
-992.842,66,1200.240571
99.50452,188,1203.050968
-974.8873,135,1210.119889
-987.8637,78,1214.647435
103.76686,184,1218.152858
-972.7198,189,1218.328293
98.49142,193,1218.328293
-965.73474,180,1221.502114
98.33549,182,1221.886536
-974.03723,126,1233.557928
-981.67255,94,1236.292051
-992.01404,80,1237.005909
-977.8084,105,1238.263893
-994.11273,215,1244.653716
-993.19836,65,1246.151885
98.49852,195,1251.716192
103.807785,190,1253.744565
-977.65564,107,1256.522455
-981.5094,96,1256.522455
-993.02954,65,1256.522455
106.22079,182,1257.104089
97.847374,193,1273.74943
-980.0805,99,1275.234383
98.47978,182,1281.385277
-965.5888,133,1282.334342
100.92493,189,1291.430255
-977.6907,207,1292.17307
98.553215,182,1292.17307
-974.232,205,1296.390875
-976.831,105,1296.542996
-972.2537,116,1302.98069
-986.98694,80,1311.083838
-969.6509,157,1311.618744
-962.4595,205,1312.790156
-972.33496,117,1313.713736
-970.5579,124,1319.783247
93.29858,184,1326.801835
97.7221,182,1327.512338
-981.03314,95,1335.409404
-971.3831,118,1338.6718
-970.48254,130,1340.662591
-978.1135,130,1342.220938
102.58398,183,1342.453164
-983.3805,99,1342.905887
-992.59106,66,1348.717283
-988.8799,76,1354.77666
-973.8347,112,1364.142167
98.64229,182,1364.536405
105.38624,182,1364.900428
-981.65594,93,1365.778245
-963.26135,139,1367.895198
90.36037,203,1377.649721
105.58358,185,1377.649721
-967.6982,138,1381.732035
-977.5925,103,1384.622149
-980.07214,97,1386.135988
-968.8768,125,1390.165394
-972.3303,116,1392.299488
-963.0601,139,1392.571281
-996.0592,76,1393.307005
-978.48474,101,1398.050942
-983.4638,89,1402.882225
-981.00433,97,1403.08827
-992.08563,71,1403.502723
-969.6214,127,1406.564071
-989.82605,74,1407.064972
-982.6467,91,1408.631692
-991.01526,70,1410.755207
-966.6646,136,1417.106655
-978.91876,100,1422.219548
-978.38464,101,1428.39909
-993.05676,66,1430.051794
-966.27167,131,1431.49923
99.48137,182,1438.530506
100.356384,190,1440.559706
106.09938,183,1443.222898
-977.5185,104,1444.433496
-985.4398,84,1445.975022
-985.9229,83,1449.4251
105.72297,195,1449.873789
-992.11255,114,1453.606948
-985.30524,84,1459.480964
-966.3895,134,1466.119869
-978.71716,101,1473.945552
-966.31024,134,1475.514604
99.64537,182,1475.802479
-978.33484,102,1479.073619
99.33309,182,1479.486358
102.38991,182,1481.800129
97.4632,187,1486.699147
-987.63654,78,1491.101772
-993.5714,64,1494.308586
104.93285,188,1529.818146
-993.5334,65,1531.201775
-970.8803,131,1531.920954
-977.74786,145,1535.193684
-972.1408,119,1537.562675
91.737885,186,1537.562675
-971.9898,122,1545.719463
98.84085,235,1549.974408
-972.9703,120,1552.880509
-974.3439,117,1553.936388
-978.84766,101,1555.014431
-982.57556,92,1555.208633
-966.5848,140,1559.075921
-972.5049,120,1560.012357
-993.74713,64,1561.626231
-981.96857,93,1563.848378
-989.9539,73,1567.646816
-978.83685,101,1574.140951
-977.65283,103,1575.662628
-984.64557,86,1580.366463
-973.75604,114,1582.502448
-966.773,133,1585.072663
-980.40826,96,1585.542482
101.15704,185,1591.396391
-980.8432,97,1592.716453
-987.65515,79,1595.746287
96.04883,184,1597.963317
-969.1606,129,1599.507246
-986.28375,83,1600.680107
-981.487,94,1603.814239
-964.87744,137,1608.570003
-983.84015,89,1608.848381
-981.8203,95,1614.577058
-988.4319,76,1617.533318
-976.35547,110,1619.911507
-989.2299,76,1622.603266
103.253006,184,1625.19667
98.92373,182,1629.041662
-989.4618,74,1634.145509
100.209435,182,1634.894922
-976.39465,106,1634.894922
97.250305,182,1642.712113
-981.7448,93,1647.655376
-991.0556,70,1648.784221
-985.05444,86,1650.198142
98.370346,191,1654.23587
100.07507,182,1660.345314
-988.10297,79,1662.954832
-984.46,88,1665.219533
101.64878,184,1670.693564
-981.5212,95,1672.652215
-974.47815,117,1673.590968
-966.33923,266,1674.609593
-978.4181,102,1680.778892
106.81986,192,1680.778892
-992.7385,66,1684.073178
-988.66486,76,1689.857617
-990.7299,76,1698.683291
-966.9947,132,1698.684304
-980.6018,98,1699.775519
105.123184,181,1701.602694
-976.5922,107,1701.809873
103.74232,182,1708.116556
-985.1281,86,1716.690804
-979.9811,98,1717.388783
101.075836,183,1722.911708
-979.3165,101,1727.415047
-992.6269,66,1730.593258
-983.9532,357,1731.342303
101.614525,184,1733.115355
106.108345,190,1733.866418
103.060646,187,1736.126294
106.17501,182,1751.828568
-968.169,129,1754.853745
-968.2882,128,1757.89239
106.0591,187,1759.741651
102.043655,185,1762.280254
104.30931,194,1768.011302
-981.3811,97,1769.894603
105.234764,209,1773.790422
-978.0837,106,1774.53823
-991.2082,70,1775.640795
106.645966,225,1778.426167
-981.9941,93,1787.44981
105.8715,182,1791.441405
-980.76184,96,1792.678119
-966.1007,136,1793.255525
104.051865,184,1793.807677
-990.4812,72,1807.2979
-979.93854,104,1811.182727
106.17837,181,1821.865888
96.523796,227,1822.10682
-971.3987,263,1823.964791
-969.2499,269,1826.329894
-986.31726,82,1826.528895
107.5486,192,1830.157781
-968.8731,128,1831.060414
-979.45026,104,1840.516361
-961.26324,290,1846.785162
-972.67365,132,1851.604974
105.84052,182,1858.317434
105.907234,213,1862.521584
105.74214,187,1862.659725
-975.17896,122,1864.862055
105.48008,181,1866.28979
-984.47034,199,1868.856212
107.25061,211,1888.69761
-1007.734,141,1889.799351
-986.67,130,1893.469548
-989.73334,220,1893.872421
103.937805,202,1896.583552
-957.3409,165,1897.174696
107.27048,196,1899.629499
-987.64355,80,1908.87201
-1012.01013,135,1914.826427
95.20007,267,1915.254423
-994.4521,186,1922.519636
105.14119,183,1932.766622
98.63918,217,1932.767637
109.78352,204,1933.859422
106.435486,201,1934.047711
-1006.14856,140,1934.047711
-988.758,187,1949.893713
-965.3603,145,1950.294876
-1013.1665,188,1950.519786
-965.3843,135,1960.892325
106.7051,182,1968.354511
104.49954,182,1968.355478
105.31014,181,1968.939267
105.81988,182,1969.213796
-978.47174,113,1971.512145
-990.1131,72,1983.172305
106.95206,215,1990.307227
-977.9759,110,1991.905875
107.73575,232,1992.892699
105.13823,182,2003.113291
104.99744,182,2003.641527
-976.5184,198,2005.999381
106.06107,182,2018.814592
-981.0471,101,2025.34406
104.889175,182,2026.228618
-989.5304,178,2026.914046
-980.8094,120,2026.914046
-980.1697,351,2027.785993
107.484566,187,2030.582793
-982.70526,110,2046.814785
-985.7157,116,2049.352083
100.044525,290,2058.780937
107.062614,186,2065.544252
-981.23987,199,2065.688159
-1027.1469,204,2065.824916
-991.04205,136,2074.755203
-994.61456,65,2077.711227
96.70818,283,2079.968457
-1046.0132,177,2079.968457
-980.236,126,2082.484063
-987.1467,93,2083.296408
-993.193,405,2095.512115
-962.7083,141,2105.615112
-991.0751,141,2107.936004
-1017.60785,180,2116.890119
-994.8812,177,2116.891203
119.37999,247,2122.818946
-1070.4686,235,2125.44081
107.920456,188,2131.006853
-984.80945,190,2144.210407
-1023.0761,409,2144.405566
-982.6286,99,2144.850915
-992.38824,136,2148.583189
-1050.3021,184,2152.833933
89.75927,284,2159.972239
-979.48975,109,2164.714199
-1049.7136,185,2167.382214
-963.94,149,2173.793923
90.229645,293,2174.27793
-975.87775,134,2174.991179
-992.5612,161,2175.509478
-983.8895,96,2178.322245
-983.1814,109,2188.156554
-973.2618,122,2188.366934
-984.93005,89,2204.322347
-973.2045,145,2205.262333
-972.30493,162,2205.262333
106.534454,182,2207.428987
-986.8269,189,2209.335954
-982.1037,120,2210.916967
-990.69586,266,2224.023299
-1015.24866,415,2230.867551
-984.6127,114,2231.55422
-986.68427,145,2236.255442
105.760864,182,2239.662208
109.98913,202,2242.362423
108.3054,190,2242.973184
-989.2064,235,2249.874204
-975.3545,119,2253.76833
-988.7785,81,2258.658765
-1000.01465,117,2265.036292
-963.0916,165,2268.102084
-984.53076,95,2268.332545
-984.4945,168,2273.093064
89.09119,306,2282.727607
-970.132,130,2283.420506
-969.4607,126,2289.771355
107.824394,189,2290.370903
-982.002,98,2291.268347
-993.3522,68,2296.404271
-989.6943,77,2299.146017
105.950806,183,2303.894341
45.70621,386,2307.240931
-968.8279,202,2308.55341
-967.54047,133,2317.224754
-981.67834,125,2320.812664
-975.2435,177,2325.426024
-988.7461,78,2331.073565
106.83356,182,2341.375129
-963.1856,219,2345.947504
83.91798,304,2347.568645
105.29041,265,2349.386151
116.76553,227,2350.779383
-980.1933,171,2353.19715
-972.36694,173,2363.860859
108.32934,206,2364.529293
-985.2944,163,2381.775466
-982.81885,106,2384.058164
106.259705,181,2386.835774
112.09403,236,2389.877014
-955.40295,163,2394.836172
68.13268,338,2405.683811
63.911835,355,2415.816256
-962.3458,146,2418.36175
105.823715,181,2419.157544
-977.43134,171,2419.840244
111.599976,214,2422.96172
-997.05884,400,2425.560906
-969.89026,146,2435.108111
107.61031,235,2440.524508
-978.7847,109,2447.51178
-974.8268,177,2453.180318
-952.2552,194,2453.50859
-960.4421,176,2454.048391
105.831276,198,2457.264477
112.80413,210,2463.368044
-957.5887,163,2465.919797
106.271385,181,2476.051698
-970.5163,134,2479.868901
-975.7859,130,2482.67177
106.40389,181,2488.542809
111.844025,227,2491.690326
107.93103,207,2493.47495
105.437,187,2500.712544
-972.2871,160,2508.080851
-976.59375,129,2509.822521
110.53615,240,2513.597591
-967.8563,146,2518.826027
-965.8336,146,2523.667934
-966.7048,156,2524.124293
-984.74884,91,2527.986283
106.801056,241,2529.354914
-962.44574,166,2534.844426
105.58239,181,2549.892199
-972.74194,134,2549.892199
106.437744,212,2550.145406
107.28551,201,2558.745163
106.16442,181,2559.93262
-968.598,150,2564.094263
108.33782,223,2572.097792
110.58316,220,2573.119304
-989.25397,100,2583.357974
105.58797,181,2584.974009
107.6849,227,2593.516919
109.31651,228,2593.708112
-976.31433,137,2598.652043
109.77306,226,2603.241811
-976.02423,122,2606.452693
106.19882,183,2606.577924
89.02293,280,2612.355452
-977.17523,145,2621.177261
105.88834,194,2622.348812
-975.0908,115,2628.653787
103.65256,186,2629.439934
-980.6305,102,2631.966269
106.9106,189,2634.645118
105.59507,181,2641.51445
106.4459,211,2642.822781
-978.68604,107,2651.884929
106.237114,183,2656.487163
106.34258,181,2656.910065
106.00969,181,2663.507589
-961.2469,166,2665.542447
-990.3443,74,2670.338037
105.81786,182,2675.272107
89.68315,259,2677.0943
103.81356,186,2677.677069
105.7448,181,2690.971949
104.855125,181,2698.406459
100.57623,199,2704.434954
-975.53937,144,2705.187002
85.734146,283,2705.610965
107.335144,192,2707.208861
105.57533,206,2713.897262
104.28816,214,2719.230155
102.326454,202,2769.851068
-971.338,139,2771.622978
104.36574,211,2778.902933
102.69865,200,2784.251975
-963.1711,163,2786.327645
102.92823,205,2786.856751
95.93781,233,2790.104061
102.60516,184,2794.666526
-971.6868,158,2808.863553
98.18792,229,2814.300242
92.838394,243,2815.293252
105.560524,181,2818.232857
105.0643,181,2821.012937
105.30874,183,2824.480458
100.56654,235,2829.921607
96.56779,233,2837.597451
-972.15186,124,2838.070786
104.37475,182,2848.455951
-979.31354,172,2850.532123
86.137634,267,2859.02403
101.694305,197,2861.566187
103.90809,182,2865.599254
-978.07074,140,2866.013806
93.79119,252,2869.116859
-963.9165,164,2869.774126
-975.44763,139,2878.469842
-976.1302,124,2894.386231
103.46706,184,2895.469278
93.33144,249,2897.57934
103.26642,182,2897.819363
-974.44543,146,2905.26386
103.770195,224,2908.648345
95.657295,243,2912.230314
85.51727,253,2917.540435
103.67817,182,2930.933176
101.45204,196,2931.825079
-970.6792,146,2933.222751
-978.86145,127,2935.750916
97.107796,243,2939.940079
100.92412,232,2940.713091
90.79487,253,2956.413461
101.078186,216,2958.381516
-970.3906,154,2966.006125
103.76384,182,2967.815933
104.680016,182,2969.516613
93.33195,212,2973.378349
98.15929,218,2982.966809
98.847595,219,2984.052996
-983.9928,165,2990.169507
98.33129,206,2999.912619
101.54805,189,3003.886154
-969.8585,160,3004.445833
103.39469,182,3005.028289
101.66996,215,3010.096432
104.24203,185,3019.880678
102.154015,240,3029.118791
94.594864,210,3029.910673
101.69929,188,3039.188007
104.8475,188,3039.737435
102.87002,223,3041.631053
96.69352,220,3045.456314
99.503136,210,3049.831189
99.51677,202,3058.379986
-974.24615,140,3067.460811
97.352425,205,3069.214375
98.37074,241,3075.676849
103.55303,191,3076.983996
92.70972,200,3081.342999
100.655136,197,3083.127263
-971.05054,147,3087.109226
99.237305,203,3088.514943
105.14417,184,3103.236603
-975.56946,194,3107.297417
100.2293,203,3115.690306
105.49704,182,3116.603703
98.69944,223,3119.784009
105.63624,182,3122.728333
103.99502,183,3124.389754
101.14435,213,3124.625998
-973.28156,139,3141.768959
100.638405,210,3144.011794
103.76609,182,3151.861513
90.34761,231,3152.325892
105.31243,185,3156.380236
102.861534,195,3163.442049
100.096924,209,3164.48367
101.01197,208,3167.017232
99.43431,191,3181.113324
