#{"t_start": 1781347671.704863, "env_id": "None"}
r,l,t
-993.2708,65,8.940419
-990.1723,72,9.850339
-990.9801,72,9.850339
-989.3358,74,10.171285
-969.29553,125,17.499893
-991.78735,68,19.943872
-988.5421,76,21.195425
-978.5771,103,24.163031
105.86644,182,26.276198
99.68701,182,26.276198
-978.6714,197,28.51857
-990.06555,72,28.51857
-974.84375,168,34.872709
-971.59296,120,37.405461
-979.8222,98,38.237547
-984.1567,87,40.671108
-976.40076,109,43.748096
104.89865,189,47.524109
-982.7584,90,49.842003
104.42332,183,51.158135
106.75022,186,51.634715
-967.817,196,61.544698
106.25628,184,62.439993
-982.2354,93,63.225763
-984.6954,85,63.427702
103.131355,185,66.468826
104.55901,186,69.915536
-988.4477,76,73.974064
-989.3704,74,74.502639
-987.6045,78,75.250542
-965.3486,217,79.038404
-993.1942,64,79.334026
-960.1856,209,82.21212
-986.2859,81,85.948559
-993.17706,64,88.002223
-973.58014,113,90.021842
-970.6775,216,93.151529
-957.0127,198,95.05687
-981.23956,94,99.681144
102.05937,183,101.515543
-989.35626,74,106.033159
97.53459,186,106.177558
-961.83545,215,113.099168
105.20426,184,114.403081
-967.7056,131,118.129883
-981.3908,95,119.098603
-976.3038,185,119.504677
-957.88794,206,119.504677
97.84685,185,126.827519
-981.78735,93,131.039632
-980.09094,204,133.227576
-967.77057,162,135.456578
-960.46875,183,136.898989
-964.2298,159,138.634508
106.09825,186,143.604007
-986.45984,81,143.898322
-956.12067,197,145.129827
105.74412,182,150.977802
-970.22003,121,151.987866
-989.9499,72,155.097985
101.81264,185,155.927751
-969.6461,153,157.960866
-975.3574,108,158.676861
-967.8782,157,160.319204
-989.54956,74,161.420841
-987.32605,80,167.204702
-982.06104,93,168.151937
-966.6618,191,170.454163
-965.42993,186,177.737574
-985.7414,83,179.745553
-991.7932,68,180.034702
-975.30585,161,180.464308
-963.55414,154,181.756382
103.969826,182,183.98208
-964.0146,197,189.85221
-983.5801,89,193.732698
100.27073,186,194.058388
-992.66345,66,194.194024
-973.24945,133,200.700684
