#{"t_start": 1776857316.8778613, "env_id": "None"}
r,l,t
-1053.4603,179,28.497502
-1090.273,224,29.109215
-1083.2457,260,29.564029
-1118.264,308,30.147956
-96.8748,333,30.473335
-1138.646,338,30.538269
-1128.186,344,30.621907
-1122.2693,344,30.621907
-1100.6069,196,33.017467
-1179.2363,364,33.119607
-1118.8595,340,33.387434
-79.64127,323,33.666623
-1135.1613,339,34.471797
-1121.5908,321,34.696636
-1098.1045,327,34.781942
-1192.0007,340,34.811314
-1214.3732,172,37.117213
-1102.4745,324,37.306991
-1109.3713,297,37.358176
-1115.8163,324,37.448532
-1111.5217,333,38.071507
-1110.4496,316,38.62882
-1130.9662,341,39.243029
-1127.4701,369,44.358548
-1041.7427,117,44.961607
-1223.2793,213,45.571332
-1223.5286,325,46.109854
-1110.1523,325,46.286012
-1139.6614,329,46.461997
-1216.4666,341,46.541555
-1079.9147,163,47.083254
-1125.296,296,47.879562
-1048.4078,126,47.896386
-1210.6538,130,48.176493
-1090.6245,317,48.413022
-1076.6808,247,49.247164
-1300.2262,114,49.319793
-1093.3457,222,49.869357
-1150.9044,351,50.060266
-1079.3146,191,50.643878
-1148.2178,340,50.805954
-1072.1982,180,51.550086
-1100.9353,314,51.863239
-1095.2386,320,52.538127
-1273.2633,256,53.133187
-1076.2854,169,53.679989
-1286.3008,103,53.783148
-1128.5488,359,53.871593
-1106.3625,320,54.105746
-1052.1263,195,54.316418
-1091.5376,317,54.725722
-1128.3397,354,55.014415
-1266.3326,332,61.788945
-1132.6829,279,62.118201
-1092.452,264,62.1616
-1096.11,231,62.196148
-1101.2521,323,62.270211
-1089.8004,320,62.335759
-1119.5063,337,62.635917
-1190.6083,349,64.050032
-1443.2554,143,64.125394
-1050.4426,130,65.625861
-1113.4746,337,66.039669
-1144.789,322,66.184106
-1103.6205,325,66.297322
-1134.6208,351,66.59406
-1204.8208,345,66.668847
-1118.9655,339,66.899792
-1097.6779,302,67.912524
-1088.297,229,68.518206
-1180.9053,178,68.827441
-1082.2767,226,69.69605
-1173.5641,309,70.021981
-1126.3179,330,70.153177
-298.58182,327,70.338529
-1227.6005,339,70.854394
-1455.1538,129,71.59042
-53.909683,327,71.851351
-1116.7551,323,72.414496
-1354.3855,241,72.61542
-1103.4498,331,72.835786
-1391.3931,115,73.239866
-1309.4423,207,74.067456
-64.80231,335,74.174164
-1129.7426,350,79.291333
-1249.7094,166,79.340352
-1095.3501,320,79.448239
-1441.0778,211,80.632738
-1238.3602,189,81.244696
-1453.0309,158,81.36739
-166.42914,308,81.451171
-1135.1323,356,81.660182
-1238.9907,311,83.08441
-50.766922,309,83.511671
-1205.8972,218,84.29984
-1121.9161,360,84.379135
-1131.688,360,85.553266
-1475.7653,96,85.654828
-1116.8517,323,85.838057
-1290.3647,333,86.027813
-1110.6039,329,86.15024
-1371.2712,197,86.187826
-1146.4155,325,87.417608
-1072.9642,158,88.082052
-1559.4749,149,88.156832
-1287.1587,155,88.199309
-1097.1708,296,88.217992
-1207.68,84,89.189917
-1237.7212,128,89.795367
-1118.8839,331,90.11675
-1111.1075,351,90.214459
-1130.7052,377,90.443708
-1127.953,256,90.728371
-1521.0591,98,91.708038
-1134.3477,323,92.328982
-1298.2394,191,92.643735
-1262.8982,363,97.832356
-1088.7203,272,98.249875
-1108.0011,322,98.279975
-1300.398,164,99.408434
-1135.3126,340,99.458159
-1511.898,162,99.713479
-1135.5289,315,99.764286
-1116.9539,347,101.152275
-1179.842,140,101.26622
-1158.1707,329,102.02643
-1178.9586,332,102.46115
-1241.4714,116,103.474787
-1228.355,413,103.515087
-75.8867,329,103.908489
-1321.9097,364,104.309292
-1207.003,399,104.470281
-1214.8933,94,105.096789
-1126.8402,336,105.355105
-1135.8839,373,105.919828
-57.570297,329,106.582412
-1136.1588,321,107.551817
-1140.076,338,107.728611
-1118.4316,323,108.359641
-1084.555,263,108.424163
-96.47431,349,108.871268
-1182.0791,403,110.514725
-1128.2603,371,115.212439
-1267.357,343,115.569954
-1173.3969,300,115.979639
-45.39423,325,116.490343
-1135.1807,367,117.774076
-1156.2091,387,117.98415
-1465.1902,118,118.061639
-1135.8387,362,118.148516
-1123.5663,338,119.358717
-1115.0012,358,119.78027
-1096.4329,305,119.847141
-1227.1733,182,120.178484
-1304.167,379,120.356837
-1076.918,226,120.804194
-1222.2266,115,121.238438
-1124.5952,279,121.506485
-1117.8893,325,121.701466
-1079.421,209,121.885958
-1099.28,298,123.379287
-1263.334,229,123.570421
-1118.8165,348,124.41783
-1057.0312,155,125.268049
-1147.144,412,125.354047
-1462.375,80,125.382957
-1158.6422,345,125.433094
-1129.0088,346,126.113519
-1137.2529,373,126.262329
-1168.2042,444,126.909298
-1186.574,281,126.981965
-1461.6002,133,126.998129
-1210.9966,103,127.497802
-1468.957,102,132.858477
-1169.3994,201,133.191821
-1123.7644,295,133.531789
-1090.8596,256,140.3623
-1173.3765,389,140.501447
-1182.9456,429,140.987787
-1135.4764,347,142.193092
-1056.8267,142,142.228874
-1044.3909,147,142.421462
-1237.4413,148,142.883639
-1226.7269,479,143.383828
-1045.487,114,144.001974
-1210.647,448,144.359652
-1209.4338,474,145.009055
-1169.6349,449,145.024659
-1126.0449,345,146.638272
-1444.4031,188,146.675393
-1094.4276,266,146.747461
-1140.5857,363,146.825657
-1126.7493,339,147.1671
-1487.1665,216,147.570148
-1174.5505,319,147.828199
-1340.8811,123,148.229046
-1121.9443,283,148.430045
-1072.98,213,149.724582
-1103.4249,295,150.188961
-1165.7671,377,155.386501
-1133.0779,351,155.885046
-1111.2036,284,155.899614
-1202.3218,453,156.154118
-83.4782,364,156.356943
-1176.9908,383,156.93858
-1113.2603,320,157.75328
-1215.3208,138,158.099379
-1405.3458,216,158.128994
-1038.5562,128,158.541402
-1101.6498,280,159.399084
-1162.6993,427,159.525496
-1111.9069,342,160.12801
-1097.1774,318,161.538963
-1200.9954,454,161.666342
-1156.8771,318,161.904389
-1143.5596,367,162.460029
-1141.6617,334,163.459038
-1235.4386,458,164.109349
-1157.8192,385,164.22733
-1081.1417,200,164.437737
-1089.302,247,165.564148
-1170.995,447,165.584121
-1034.542,95,165.584121
-1383.585,431,166.99861
-129.60748,455,167.1521
-1175.7393,407,173.279168
-1169.6063,382,173.753148
-1177.012,413,174.030166
-67.87311,334,174.540049
-1196.4841,369,174.946351
-1209.5667,405,175.359991
-1129.345,275,175.373373
-1238.717,140,175.443356
-1050.394,134,175.629885
-1268.0038,334,175.91944
-1089.7427,245,176.232907
-1068.2847,143,177.03579
-1053.8046,176,177.444025
-1068.0292,204,178.020298
-1124.0056,275,178.185138
-1151.2568,384,179.187709
-66.27172,315,179.289803
-1100.6606,273,179.61433
-1109.4514,319,179.828971
-1070.7582,191,180.439669
-1475.3774,97,180.455481
-1194.2762,348,181.338202
-1217.9558,491,183.683342
-1164.3639,437,183.799645
-1144.9495,318,183.891201
-1153.2527,413,184.474163
-1112.8877,313,184.512888
-1149.2197,400,184.746193
-1171.2542,380,190.332021
-1126.878,352,190.871783
-1292.9906,160,191.70136
-1133.1421,331,193.461297
-1111.6252,312,193.891259
-1330.1812,273,194.418427
-1161.4286,351,194.584618
-1160.3118,407,194.632616
-1330.4131,154,196.07841
-1160.5612,383,196.939801
-1083.4937,157,196.983198
-1292.0383,607,197.778133
-1099.1428,221,198.224197
-1217.2506,407,198.364455
-1056.2594,121,198.869992
-1132.6173,325,199.770046
-1470.5994,155,200.555197
-1240.9667,482,201.485228
-1066.8093,154,202.933121
-1149.2181,354,203.200302
-1208.0598,469,203.354536
-1144.5852,378,204.187396
-1149.0966,404,205.097226
-1258.1614,138,205.120025
-1242.6062,532,205.244431
-1207.3118,385,205.718336
-56.226093,324,212.214196
-1301.6807,136,213.005184
-1257.8704,147,213.052801
-1359.0095,316,214.712262
-1161.0345,441,215.795645
-1183.92,447,216.075865
-1146.4187,339,216.175329
-1094.0352,261,216.468746
-1047.9747,119,218.092989
-1102.9642,291,218.119897
-1202.5793,471,219.446141
-1157.5072,431,220.697157
-1107.222,268,221.172037
-1167.2764,450,222.74032
-1470.5588,105,222.819391
-1179.8782,405,223.178982
-1123.4005,352,223.889875
-1033.6108,84,224.00122
-1188.8219,445,224.067106
-1121.4426,361,225.126998
-254.53812,451,225.41644
-72.83258,352,226.080239
-1213.9213,256,226.694198
-1431.9111,160,227.817136
-1113.295,272,228.429958
-1413.0227,110,228.516017
-1152.97,385,236.295977
-1197.1096,471,236.762592
-1377.2952,431,236.95141
-68.82238,344,237.226641
-1189.2233,384,238.632282
-1212.7876,129,239.576258
-1512.8116,230,240.527154
-1140.4869,400,241.601736
-366.03455,464,242.020014
-128.73453,464,242.602579
-1058.3734,169,242.602579
-1109.6412,353,243.264395
-83.57107,379,243.516109
-1136.8993,317,244.133297
-1228.2861,136,245.67333
-39.818005,295,246.685398
-1357.9364,291,247.17703
-1157.1335,310,247.512518
