#{"t_start": 1776077638.024218, "env_id": "None"}
r,l,t
-1437.8175,47,30.114359
-1313.6134,107,32.516914
-1244.797,153,35.062417
436.85645,146,36.486464
435.26746,147,38.768235
-1255.1948,162,41.84202
432.4897,148,45.07467
435.93677,144,47.183042
-1274.3079,117,49.407557
441.9927,151,53.958121
433.44522,143,55.373805
-1350.6077,84,58.741808
-1217.9182,167,59.916794
431.07526,142,63.55987
435.77924,143,65.158684
-1426.8636,49,67.326656
-1350.7018,90,71.889026
-1273.4819,123,72.870845
-1437.1306,47,73.589794
-1337.0474,93,95.986651
435.5309,143,97.519135
-1434.1997,52,101.181291
-1389.2865,59,105.135822
438.32156,148,106.584241
439.1749,153,113.90983
-1214.0295,178,116.008439
-1262.4673,142,122.924126
435.32764,146,125.088191
-1223.638,176,129.777455
432.8411,139,129.934422
435.30133,146,136.148476
373.24445,150,136.504941
433.44977,144,143.441299
446.26263,156,143.657853
-1301.4688,106,147.350424
-1224.6827,161,149.348508
-1286.2542,116,153.005743
-1382.3376,70,153.118345
426.65894,142,168.119694
445.35834,166,168.765198
-1384.2257,71,169.805762
439.79947,150,173.973989
428.18253,142,175.288556
438.24268,147,178.554111
-1255.0444,140,179.444892
-1459.8899,27,180.45607
-1290.9954,116,183.096697
-1409.5508,61,183.097697
