#{"t_start": 1776079730.0201666, "env_id": "None"}
r,l,t
-1490.6146,62,0.668847
-1358.1041,153,1.933817
493.81464,169,2.942081
489.5888,167,4.156742
-1284.5897,190,5.726658
-1392.2091,119,6.113113
-1415.0087,101,7.467372
-1401.0417,109,7.925284
-1491.7648,58,9.05478
-1497.0762,70,10.131148
487.9596,158,10.187042
-1417.1982,99,11.56557
-1398.1571,115,11.949421
-1281.0463,182,14.092429
494.81134,178,14.371618
-1430.0931,93,16.427224
478.6164,149,17.370136
-1390.3049,117,17.784491
482.49792,156,19.139042
487.1778,160,19.914672
-1284.3611,181,21.671257
494.97717,171,22.173683
489.74905,166,23.81245
-1279.3513,185,24.624554
-1397.7561,110,25.492175
-1425.5902,94,26.847726
-1292.5555,188,27.446599
487.0611,164,29.184764
-1286.9034,212,31.701655
-1284.958,177,32.807618
-1402.3735,117,33.127606
-1500.7192,69,34.175337
487.63373,157,35.37694
-1471.9575,66,35.472499
-1413.8892,107,36.979203
-1389.737,127,37.34472
-1422.9302,98,44.591086
481.66956,160,45.834033
-1398.1703,119,46.299552
-1422.2734,103,47.647721
-1283.7241,185,48.283435
497.59177,169,49.990494
-1396.544,121,50.04698
-1499.2288,66,50.88533
-1395.9716,128,51.844111
488.91953,168,54.100329
-1290.7219,175,55.37959
484.4945,158,56.335782
-1280.7094,178,57.505013
-1386.0859,127,58.019904
-1502.8892,64,58.769934
-1429.5332,96,59.713328
-1495.4535,68,60.783307
500.05695,170,61.368935
-1282.1001,176,63.375558
471.79553,162,63.705912
-1413.2383,96,64.93988
477.7734,152,65.390739
-1387.0613,124,66.869679
-1385.6897,117,67.356745
-1389.06,134,70.274083
-1394.1577,119,70.383671
-1421.2219,90,71.120242
496.97223,167,72.291998
-1386.4629,132,72.942111
-1425.7457,98,73.739673
-1434.0535,93,74.225602
-1414.5048,103,75.349841
-1383.2347,121,76.45079
-1504.0311,57,76.45079
-1317.9846,161,78.613372
490.96643,165,78.651901
-1424.5819,94,80.073295
-1271.4062,190,81.592983
-1359.496,148,82.192087
-1425.0978,94,89.035576
