#{"t_start": 1776080488.5147026, "env_id": "None"}
r,l,t
-1387.1195,102,1.505108
513.74536,159,2.370765
-1365.7886,122,3.449959
-1355.5387,105,4.172345
-1384.6694,111,5.208171
518.13086,155,6.367192
512.67664,150,7.316764
-1266.0625,183,9.114161
-1340.0209,117,9.114161
-1341.3921,141,11.183102
526.3013,164,11.538056
-1467.6854,66,12.982368
-1348.6495,125,13.749888
-1342.5044,131,15.104199
-1286.2263,165,17.469714
-1362.3203,121,18.209232
-1397.6451,90,19.54592
-1238.9479,198,20.472862
-1347.0378,131,21.584986
-1354.7822,125,22.318161
-1394.9016,97,23.000342
-1448.3096,63,23.318225
-1455.245,61,24.14411
-1362.8912,95,24.862625
-1399.9642,96,25.540068
-1422.2505,81,26.1477
530.9315,168,27.822506
497.88742,152,28.102738
513.6945,154,29.90261
520.54285,165,30.41556
-1466.4706,64,31.495368
-1352.8813,122,31.948571
-1380.1346,101,34.18911
-1354.427,122,34.917893
-1358.2736,103,35.785961
-1483.1471,66,36.028707
-1348.1665,127,37.967058
-1354.9912,119,38.044847
-1347.57,130,39.795446
521.3354,158,40.170208
-1478.0032,62,48.4165
-1357.5974,119,48.931323
-1347.74,111,50.692698
-1246.852,192,51.469317
-1387.2297,95,52.098789
-1395.8087,97,52.782458
532.63025,178,54.549542
526.6655,164,55.097465
-1293.3064,195,58.800332
-1248.9644,189,59.226995
-1376.0139,94,60.078422
527.52246,166,61.471874
514.41693,161,62.417049
-1473.982,60,62.466014
-1397.7806,98,63.981845
509.40277,164,64.820957
-1365.7156,98,65.292655
-1267.9763,202,67.583004
-1231.7783,210,68.16719
-1253.7388,197,70.3995
510.36356,170,70.590154
-1337.6575,135,73.718554
529.01416,168,74.002816
-1370.0013,109,75.628905
502.59116,156,76.661759
-1269.8844,179,78.368061
-1351.426,129,78.60038
-1359.0249,106,79.920574
-1259.9719,180,81.179885
516.69525,153,82.044543
-1404.7825,88,82.390442
-1400.1066,92,83.81428
-1357.6558,121,83.893158
-1393.7008,97,85.454098
-1357.8822,115,85.684232
-1386.1267,95,87.177137
-1350.9232,125,87.451025
-1376.7917,92,97.348124
