#{"t_start": 1776086928.3411248, "env_id": "None"}
r,l,t
-134.92308,106,3.59509
-115.38257,110,3.654481
-221.66495,62,4.605346
10.728943,166,6.085765
644.2845,157,6.851285
-158.52017,86,7.502061
-135.76486,101,8.834975
-129.53297,103,9.458932
-106.410095,112,12.485784
660.6272,170,13.945031
643.8462,156,15.128281
-216.5575,68,15.149037
-146.29996,94,17.179766
-105.75978,113,17.728971
-220.11299,65,18.496216
-142.47119,96,19.698422
660.5973,164,20.064217
-134.69176,100,22.196849
-154.37978,90,22.568311
655.8517,158,24.55878
654.2886,158,24.743807
-131.91696,103,34.068849
680.8603,173,35.258129
-50.47838,141,36.265067
-128.56699,97,39.242569
663.22614,168,39.526598
-217.8356,64,40.463021
666.54175,168,41.64824
-132.30804,107,41.884751
-68.816315,134,43.922687
677.6855,174,45.097072
-134.28891,103,45.793004
-128.52223,107,48.372737
665.27466,166,48.592964
-219.41803,59,49.610731
-138.64412,93,50.965227
-151.29903,91,52.552198
641.98206,154,52.776728
-140.92442,101,54.041762
-84.472336,118,54.516785
654.61975,157,65.578748
-16.432495,157,66.126979
