Wall time,Step,Value
1745206663.4561985,1168,-994.2495727539062
1745206664.4747446,1296,-995.8665771484375
1745206670.996371,2040,-995.6259155273438
1745206674.7604272,2544,-996.691162109375
1745206676.2004094,2688,-996.8683471679688
1745206680.7007334,3120,-997.1731567382812
1745206682.960415,3360,-996.8609008789062
1745206684.4719687,3528,-996.2422485351562
1745206688.7975528,4032,-996.9830322265625
1745206707.8609493,6272,-1004.5991821289062
1745206712.7847173,6832,-1008.1467895507812
1745206715.424366,7136,-1010.523681640625
1745206717.2215722,7352,-1012.53369140625
1745206718.3022199,7456,-1013.9180908203125
1745206721.06345,7800,-1017.3199462890625
1745206724.533358,8184,-1021.3619384765625
1745206724.8874145,8232,-1021.6972045898438
1745206725.3517098,8280,-1021.9536743164062
1745206725.720633,8320,-1021.852294921875
1745206725.8848197,8336,-1021.6829223632812
1745206728.0354836,8624,-1017.74853515625
1745206728.8259654,8704,-1015.9678955078125
1745206729.7628756,8800,-1013.3290405273438
1745206730.0948136,8832,-1012.2274169921875
1745206730.3330092,8856,-1011.2902221679688
1745206730.5678456,8880,-1010.9283447265625
1745206731.7977386,9048,-1008.5477905273438
1745206734.171152,9288,-1008.0038452148438
1745206734.4080493,9320,-1007.9996337890625
1745206735.7039783,9488,-1008.3555908203125
1745206737.9974809,9704,-1008.2782592773438
1745206738.7176514,9792,-1007.8469848632812
1745206738.930002,9816,-1007.9744262695312
1745206740.988467,10000,-1007.5192260742188
1745206741.4866676,10064,-1007.7557373046875
1745206742.000347,10128,-1007.6043701171875
1745206744.5157275,10400,-1007.6118774414062
1745206745.3885915,10504,-1008.1593627929688
1745206745.568321,10528,-1008.2144775390625
1745206750.9952357,11128,-1011.5546875
1745206752.575665,11304,-1011.83447265625
1745206753.5714417,11432,-1011.8638916015625
1745206754.592623,11520,-1012.7501831054688
1745206759.8907533,12104,-1015.345703125
1745206763.7881334,12544,-1016.891357421875
1745206766.6947734,12856,-1018.4815673828125
1745206767.8925247,12992,-1019.35986328125
1745206771.2098465,13400,-1019.7279052734375
1745206774.7437294,13840,-1017.7723999023438
1745206775.273791,13920,-1017.4625854492188
1745206777.965847,14216,-1016.7369384765625
1745206782.0635347,14704,-1014.878662109375
1745206782.4660578,14752,-1015.5381469726562
1745206783.3440297,14896,-1015.0819091796875
1745206785.7147048,15136,-1012.1038818359375
1745206787.1383557,15264,-1010.7754516601562
1745206787.787345,15344,-1011.0104370117188
1745206789.2258174,15544,-1010.6473388671875
1745206793.2235122,15944,-1012.61865234375
1745206794.6972604,16088,-1013.735595703125
1745206801.6363568,16784,-1014.0797119140625
1745206805.4892964,17208,-1013.4889526367188
1745206805.7600024,17240,-1013.5036010742188
1745206805.9890401,17272,-1013.3276977539062
1745206807.2500706,17432,-1014.0623779296875
1745206810.5946057,17816,-1009.277587890625
1745206810.9944384,17856,-1009.0790405273438
1745206811.6553516,17920,-1008.7861328125
1745206812.5444891,18048,-1008.3030395507812
1745206813.5291543,18152,-1007.8125
1745206813.788577,18176,-1007.8359375
1745206814.1132834,18208,-1007.8600463867188
1745206815.087883,18296,-1007.3994750976562
1745206818.2044585,18640,-1007.3756103515625
1745206819.6843703,18792,-1007.3618774414062
1745206820.4630668,18856,-1007.603759765625
1745206821.056113,18904,-1008.03857421875
1745206821.3487933,18928,-1007.93212890625
1745206821.9113574,18984,-1007.5758056640625
1745206822.903356,19072,-1007.4993896484375
1745206823.9429848,19168,-1007.468505859375
1745206824.4869535,19216,-1007.760986328125
1745206825.8808396,19328,-1007.5484008789062
1745206830.2262661,19704,-1007.8068237304688
