src,case,side,response,engaged,sense,trigger_step,steps_after,outcome,min_range,vport_frames,heading_dev_3s,pre_return,dcpa,tcpa,ct,u_pf,d_pf,u_prog,d_prog,u_exist,d_exist,u_smooth,d_smooth,u_obs,d_obs,u_bnd,d_bnd,u_dom,d_dom,u_col,d_col,u_terminal,d_terminal,u_total,d_total
dev,0,starboard,stand_on,True,1,4.0,65,goal,2.4574192601541522,0,0.5505684110076459,4.9075934188025006,2.455380360551736,9.042169361535493,268.8460486216667,-0.13253432189726533,-0.03395029971782926,96.84390630618708,29.212868131286907,-16.25,-4.906426874260996,-0.13154573700905914,-0.04564534106794616,0.0,0.0,0.0,0.0,0.0,0.0,-1.1428025146021654,-1.0166154049819343,100.0,4.011088748687537,179.1870237326786,27.221318959945737
dev,0,starboard,compliant_30,True,1,4.0,66,goal,2.9459230219705512,0,22.293560813689737,4.9075934188025006,2.455380360551736,9.042169361535493,268.8460486216667,-8.467731687766896,-2.6185483874966575,96.70732535432184,28.49014436682159,-16.5,-4.915963137984165,-1.84806701818512,-1.1100439253994716,0.0,0.0,0.0,0.0,0.0,0.0,-0.17592679302178832,-0.1714920350642678,100.0,3.8145054892676895,169.71559985534805,23.488602370144715
dev,0,starboard,wrong_30,True,1,4.0,66,goal,2.1027489116013776,0,-21.90958228613067,4.9075934188025006,2.455380360551736,9.042169361535493,268.8460486216667,-12.174150912010392,-2.769053730373622,96.76518248459826,28.519524600730083,-16.5,-4.915963137984165,-1.8442090753262255,-1.1126406144025573,0.0,0.0,0.0,0.0,-0.6195324904849787,-0.3656834937370421,-3.9539833411374548,-3.4629624455838695,100.0,3.8145054892676895,161.67330666563922,19.707726667916518
dev,0,starboard,compliant_60,True,1,4.0,66,goal,2.9459230219705512,0,22.293560813689737,4.9075934188025006,2.455380360551736,9.042169361535493,268.8460486216667,-8.467731687766896,-2.6185483874966575,96.70732535432184,28.49014436682159,-16.5,-4.915963137984165,-1.84806701818512,-1.1100439253994716,0.0,0.0,0.0,0.0,0.0,0.0,-0.17592679302178832,-0.1714920350642678,100.0,3.8145054892676895,169.71559985534805,23.488602370144715
dev,0,starboard,wrong_60,True,1,4.0,66,goal,2.1027489116013776,0,-21.90958228613067,4.9075934188025006,2.455380360551736,9.042169361535493,268.8460486216667,-12.174150912010392,-2.769053730373622,96.76518248459826,28.519524600730083,-16.5,-4.915963137984165,-1.8442090753262255,-1.1126406144025573,0.0,0.0,0.0,0.0,-0.6195324904849787,-0.3656834937370421,-3.9539833411374548,-3.4629624455838695,100.0,3.8145054892676895,161.67330666563922,19.707726667916518
dev,1,starboard,stand_on,True,1,3.0,13,target,1.4474066954307028,0,0.6230700819080255,1.6744419298435758,0.3757033796243289,9.49896904568514,250.8363733912049,-0.016902021777070564,-0.01298416517193198,18.900673829932792,14.352547028698755,-3.25,-2.4467453872682734,-0.03512012432014276,-0.02395784311611731,0.0,0.0,0.0,0.0,-4.464882457320245,-2.5021910792649567,-19.347988367710766,-16.533863371257922,-300.0,-164.14699271722827,-308.21421914119543,-171.31418753460872
dev,1,starboard,compliant_30,True,1,3.0,68,goal,1.3314072170240165,0,19.30198750634571,1.6744419298435758,0.3757033796243289,9.49896904568514,250.8363733912049,-27.209470130162227,-7.120442541636792,96.98862671358714,27.610904862804848,-17.0,-4.933656455871912,-4.279675935886756,-2.2344705540755423,0.0,0.0,0.0,0.0,0.0,0.0,-11.445179223475309,-10.594708455014846,100.0,3.449770389516387,137.05430142406283,6.177397245722143
dev,1,starboard,wrong_30,True,1,3.0,15,target,1.2969062697115843,0,-18.76235515044425,1.6744419298435758,0.3757033796243289,9.49896904568514,250.8363733912049,-3.7299471525339807,-2.1855972872962934,20.13051177312456,14.863343563335253,-3.75,-2.7005401828309017,-2.4443406818200515,-1.6442731062331322,0.0,0.0,0.0,0.0,-0.004301358149153239,-0.0021284783009874143,-51.39760344407126,-40.5691895281447,-300.0,-148.451597880062,-341.19568086344987,-180.68998289953277
dev,1,starboard,compliant_60,True,1,3.0,69,goal,1.4335319510600821,0,19.30198750634571,1.6744419298435758,0.3757033796243289,9.49896904568514,250.8363733912049,-41.638416539475905,-9.82885731385448,96.45384348819441,26.986991179518785,-17.25,-4.941858199159086,-2.6990062985787757,-1.0289049947714213,0.0,0.0,0.0,0.0,0.0,0.0,-11.445179223475309,-10.594708455014846,100.0,3.2806973148697316,123.42124142666442,3.8733595315886826
dev,1,starboard,wrong_60,True,1,3.0,16,target,1.2132389142584603,0,-18.76235515044425,1.6744419298435758,0.3757033796243289,9.49896904568514,250.8363733912049,-5.1707274635387686,-2.908571199716311,20.452734090560792,15.00275717610353,-4.0,-2.818186843227314,-0.7964826296813499,-0.5260780338956993,0.0,0.0,0.0,0.0,-0.019490445004683492,-0.009171943057763804,-51.39746527649477,-40.569092334481496,-300.0,-141.17599247569487,-340.93143172415876,-173.00433565396992
