scenario,policy,class,mode,slant,w_eff_at_cpa,n_obstacles,layout_redraws,layout_thinned,feasible,outcome,steps,min_target_range,wall_s
0,follower,head_on,channel,0.0,5.023317258390279,2,0,0,True,goal,68,1.17364793182258,18.27278232574463
1,follower,head_on,basin,6.326963762710786,9.256378717080882,0,0,0,True,collision:target,27,1.8827999636172394,9.025628566741943
2,follower,head_on,basin,6.7230971164802975,9.263701505753865,0,0,0,True,goal,70,0.8716661616721211,12.858559846878052
3,follower,head_on,channel,0.0,8.287590860076786,0,0,0,True,goal,68,1.8261881439903793,15.765138149261475
4,follower,head_on,channel,0.0,9.5404043388642,0,0,0,True,goal,67,0.8216645150031419,14.011980295181274
5,follower,head_on,channel,0.0,6.846275250795383,0,0,0,True,goal,68,0.8287242244784214,14.976003170013428
6,follower,head_on,basin,10.356089278203571,9.352354251818824,0,0,0,True,goal,70,0.8146329332541328,11.378979206085205
7,follower,head_on,basin,-4.324336545654178,9.226265367820247,1,0,0,True,goal,67,0.8829667467870101,10.158776760101318
8,follower,head_on,channel,0.0,6.108224436343747,0,0,0,True,goal,68,1.8397634638061129,12.587465763092041
9,follower,head_on,basin,0.37118644200870426,9.20019306536533,1,0,0,True,collision:obstacle,46,1.0185378760579784,9.795862913131714
10,follower,head_on,basin,9.901480496250201,9.339107090376734,0,0,0,True,goal,69,1.3648330496633196,6.832604646682739
11,follower,head_on,basin,-1.1701536087827094,9.20191899482069,0,0,0,True,goal,68,1.3788026425747097,5.014117956161499
12,follower,head_on,channel,0.0,6.927130096616091,1,0,0,True,collision:target,31,1.7809435412634438,3.409569025039673
13,follower,head_on,basin,0.936171788061447,9.201228208159641,0,0,0,True,goal,68,1.816578396782074,5.203205347061157
14,follower,head_on,basin,8.580724896282886,9.304144726251462,0,0,0,True,collision:target,26,0.7709430414177197,2.132564067840576
15,follower,head_on,basin,-2.0256421714227155,9.20575260113067,2,0,0,True,goal,67,0.8806948189099808,5.258887767791748
16,follower,head_on,basin,12.581281105048335,9.426345612222727,1,0,0,True,collision:obstacle,43,1.607764709181015,2.68481183052063
17,follower,head_on,basin,2.5649835602151936,9.209226660497965,0,0,0,True,collision:target,24,1.844853871050611,1.0303583145141602
18,follower,head_on,basin,-1.9690042796056655,9.205435251508588,1,0,0,True,collision:obstacle,40,1.0742712345463452,4.026157379150391
19,follower,head_on,channel,0.0,4.3925195597342315,0,0,0,True,collision:target,26,1.8422813883083158,3.7502403259277344
20,follower,crossing,basin,-9.39461820682397,9.325072549897683,0,0,0,True,goal,69,2.4574192601541522,3.3493905067443848
