policy,idx,width,coll_target,outcome,estops,u_min,ever_port_sense,p_port_sense
model,0,5.044964366615236,False,goal,0,0.5271787386075257,False,0.0
model,1,4.999999999999998,False,goal,0,0.5591368095975828,False,0.0
model,2,5.0,False,goal,1,0.06101164716090084,False,0.0
model,3,4.999999999999999,True,target,1,0.02522650098220398,False,0.0
model,4,4.415696545423335,False,goal,0,0.5377502934321705,False,0.0
model,5,5.032907986875176,False,goal,0,0.5191145049321383,False,0.0
model,6,4.869448784480107,False,goal,0,0.5253276429920517,False,0.0
model,7,5.0366771833384725,False,goal,2,0.002253290674492881,False,0.0
model,8,4.659191839445868,False,goal,0,0.5256511853106904,False,0.0
model,9,4.999999999999999,False,boundary,0,0.5053156798799091,False,0.0
model,10,5.0,False,goal,1,0.12329017140086866,False,0.0
model,11,4.968751119528688,True,target,1,0.5205189061748673,False,0.0
model,12,4.914547501044645,True,target,0,0.4216879321012717,False,0.0
model,13,5.005537710139628,False,goal,0,0.5168376161396153,False,0.0
model,14,4.926702222628319,False,boundary,1,0.04890167537062755,False,0.0
model,15,5.0,False,goal,0,0.47062969489857764,False,0.0
model,16,5.081094812806886,True,target,0,0.46534711525392075,False,0.0
model,17,5.0,True,target,0,0.45292590984182296,False,0.0
model,18,4.714898798648277,True,target,1,0.013215855575245374,False,0.0
model,19,4.688847854912078,True,target,0,0.46140660849225973,True,1.0
model,20,6.053957239938283,False,goal,0,0.5529892694226111,False,0.0
model,21,6.0,False,goal,0,0.571711510812083,False,0.0
model,22,5.999999999999999,False,goal,0,0.5270121708603424,False,0.0
model,23,5.999999999999999,True,target,0,0.540754463615555,False,0.0
model,24,5.298835854508,False,goal,0,0.5345332519294869,False,0.0
model,25,6.039489584250211,False,goal,0,0.5621170536379081,False,0.0
model,26,5.843338541376127,False,goal,0,0.5299858669455234,False,0.0
model,27,6.044012620006167,False,goal,0,0.38583210414840224,False,0.0
model,28,5.591030207335043,False,goal,0,0.5100722705591992,False,0.0
model,29,6.0,False,goal,0,0.5141453629651506,False,0.0
model,30,5.9034460921538585,False,goal,0,0.5304877272582492,False,0.0
model,31,6.0,False,goal,0,0.5476006242634214,False,0.0
model,32,5.962501343434427,True,target,0,0.11210445995071655,False,0.0
model,33,5.897457001253573,False,goal,0,0.5652708657857692,False,0.0
model,34,6.006645252167553,False,goal,0,0.5056281176143654,False,0.0
model,35,5.912042667153984,False,goal,0,0.5594616616907617,False,0.0
model,36,5.999999999999998,False,goal,0,0.49966688968888817,False,0.0
model,37,6.004268040872987,False,goal,0,0.48385938797697453,True,1.0
model,38,6.0973137753682645,False,goal,0,0.5514287881500098,True,1.0
model,39,5.999999999999999,False,goal,0,0.5285077206334516,False,0.0
model,40,7.06295011326133,False,goal,0,0.5397643406863026,False,0.0
model,41,6.999999999999999,False,goal,0,0.49211721653432505,False,0.0
model,42,6.999999999999998,False,goal,1,0.09713251051364531,False,0.0
model,43,6.999999999999999,True,target,0,0.5084912455659983,False,0.0
model,44,6.181975163592668,False,goal,0,0.5597593100871319,False,0.0
model,45,7.046071181625245,False,goal,0,0.561884226337109,False,0.0
model,46,6.817228298272148,False,goal,0,0.5499838426870626,False,0.0
model,47,7.05134805667386,False,goal,0,0.5236775130320057,False,0.0
model,48,6.522868575224217,False,goal,0,0.4844831244830897,False,0.0
model,49,7.0,False,goal,0,0.520533031935206,False,0.0
model,50,6.887353774179502,True,target,0,0.361849164404723,False,0.0
model,51,6.999999999999998,False,goal,0,0.5440559466222382,False,0.0
model,52,6.956251567340164,False,goal,0,0.5711369784623789,False,0.0
model,53,6.880366501462503,True,target,0,0.5115133192608599,False,0.0
model,54,7.007752794195478,False,goal,0,0.5211720648311301,False,0.0
model,55,6.897383111679649,False,goal,0,0.5709657512156001,False,0.0
model,56,6.999999999999999,False,goal,0,0.5278355208877247,False,0.0
model,57,7.004979381018484,True,target,0,0.482765132951727,False,0.0
model,58,7.113532737929641,False,goal,0,0.5299715334956557,False,0.0
model,59,6.999999999999999,False,goal,0,0.57086338158838,False,0.0
model,60,8.071942986584375,False,goal,0,0.5395804090026539,False,0.0
model,61,7.999999999999998,True,target,0,0.5420864943972237,False,0.0
model,62,7.999999999999998,False,goal,0,0.46409209413300895,False,0.0
model,63,7.999999999999998,True,target,0,0.5136698267066897,False,0.0
model,64,7.065114472677336,False,goal,0,0.5479220824576464,False,0.0
