idx,width,bend,step,cls,side,rng,ct_dev_perceived,ct_dev_true,tgt_heading_change,path_turn_since_start,alpha_path
1,4.999999999999998,-31.14206403956255,20,crossing,port,5.4591318908083055,-11.349080606386394,-6.99430338659846,0.0,-6.957640687232924e-05,-15.605770056517201
1,4.999999999999998,-31.14206403956255,21,crossing,port,4.934174504527367,-13.536777688331398,-6.994373780550092,0.0,8.175447305802663e-07,-16.921922067873567
1,4.999999999999998,-31.14206403956255,22,crossing,port,4.412141764512554,-16.754094218260548,-6.99430338659846,0.0,-6.957640687232924e-05,-18.541298393463194
1,4.999999999999998,-31.14206403956255,23,crossing,port,3.8942004284938743,-13.283424345459395,-6.994373780550092,0.0,8.175447305802663e-07,-20.580407793897223
1,4.999999999999998,-31.14206403956255,24,crossing,port,3.3822011356711053,-10.14078366393386,-6.988181513153336,0.0,-0.006191449852025244,-23.215452094464183
1,4.999999999999998,-31.14206403956255,25,crossing,port,2.879254600911844,-13.645307090938445,-6.94891891108216,0.0,-0.04545405192320118,-26.721112950612735
1,4.999999999999998,-31.14206403956255,26,crossing,port,2.39099009002932,-10.571720940316624,-6.844475450914729,0.0,-0.14989751209060387,-31.592564315342656
1,4.999999999999998,-31.14206403956255,27,crossing,port,1.928480507616021,-29.360088139663702,-6.686038343753069,0.0,-0.30833461925229244,-38.814942041114875
1,4.999999999999998,-31.14206403956255,28,crossing,none,1.5153030518929502,-159.79122362189858,-6.388061710666108,0.0,-0.6063112523392249,-50.12769218678369
1,4.999999999999998,-31.14206403956255,29,overtaking,none,1.2030694878503942,169.2095732483466,-5.951264732390143,0.0,-1.0431082306152177,-68.4034373255839
1,4.999999999999998,-31.14206403956255,30,overtaking,none,1.0824526252616617,169.80331600629802,-5.357521974438754,0.0,-1.6368509885665787,-94.40063573726115
1,4.999999999999998,-31.14206403956255,31,overtaking,none,1.2114845559122627,26.80471540108735,-4.734237911334532,0.0,-2.260135051670801,-120.15726364971442
2,5.0,8.138851896814414,22,crossing,port,4.52571510870506,-13.658469973165552,-7.602220541657772,0.0,0.00027303453938998246,-17.400924610066028
2,5.0,8.138851896814414,23,crossing,none,3.9318672890139985,-9.600744702859629,-7.602220541657772,0.0,0.00027303453938998246,-19.412895189445578
2,5.0,8.138851896814414,24,crossing,port,3.344722876487007,-12.578707480365551,-7.601947568739547,0.0,6.162116505947779e-08,-22.13439372512505
2,5.0,8.138851896814414,25,crossing,none,2.7684394614518144,-9.086965759368923,-7.602230566747096,0.0,0.0002830596287139997,-26.000606895921806
2,5.0,8.138851896814414,26,crossing,port,2.2114002698099124,-13.006465377494465,-7.602210391298314,0.0,0.0002628841799321435,-31.852097827012187
2,5.0,8.138851896814414,27,crossing,port,1.692563076897335,-21.851750636014458,-7.602230566747096,0.0,0.0002830596287139997,-41.449076818475476
2,5.0,8.138851896814414,28,crossing,port,1.2598739900155536,-70.62861087918628,-7.601957593827166,0.0,1.0086708783774156e-05,-58.46093177916137
2,5.0,8.138851896814414,29,crossing,port,1.0283488535809846,-70.62886367665737,-7.602210391298314,0.0,0.0002628841799321435,-87.24333288799987
2,5.0,8.138851896814414,30,crossing,port,1.1292118529606419,-70.62888385210618,-7.602230566747096,0.0,0.0002830596287139997,-119.73135263485217
2,5.0,8.138851896814414,31,crossing,port,1.4966146680778676,-70.62888385210618,-7.602230566747096,0.0,0.0002830596287139997,-141.38645398789288
4,4.415696545423335,-19.25205912183695,22,crossing,port,2.341360446403317,-29.1714321409126,-7.351417307078691,0.0,-0.8980957629546538,-22.33335267043347
4,4.415696545423335,-19.25205912183695,23,crossing,port,1.7728431147312695,-70.47910787796366,-6.998258078615976,0.0,-1.251254991417369,-28.059104319528785
4,4.415696545423335,-19.25205912183695,24,crossing,none,1.2413827735590595,-171.8965904037487,-7.0780048258612,0.0,-1.171508244172145,-39.58336029633489
4,4.415696545423335,-19.25205912183695,25,overtaking,none,0.8515226120386894,-172.41842753259021,-7.599841954702725,0.0,-0.6496711153306194,-61.81187836870839
19,4.688847854912078,-33.02159070968628,4,crossing,port,11.275508336249498,-23.510965697427707,-32.7904030851866,0.0,0.0003037356774768796,-14.292709426881032
19,4.688847854912078,-33.02159070968628,5,crossing,port,10.749350833933176,-29.314739117805146,-32.7904030851866,0.0,0.0003037356774768796,-14.198286244443693
19,4.688847854912078,-33.02159070968628,6,crossing,port,10.223135906759996,-33.53778217723374,-32.79035392622268,0.0,0.00025457671358708467,-14.090938233892302
19,4.688847854912078,-33.02159070968628,7,crossing,port,9.696832782674031,-29.970086502090993,-32.7904030851866,0.0,0.0003037356774768796,-13.967739636629318
19,4.688847854912078,-33.02159070968628,8,crossing,port,9.170414172203273,-39.2258306912602,-32.7904030851866,0.0,0.0003037356774768796,-13.824649609513756
19,4.688847854912078,-33.02159070968628,9,crossing,port,8.643856774581877,-38.940992435513095,-32.78972919058657,0.0,-0.00037015892254999017,-13.65600526988186
19,4.688847854912078,-33.02159070968628,10,crossing,port,8.117145141004467,-38.8234403146252,-32.777744910916,0.0,-0.01235443859309271,-13.444593506014883
19,4.688847854912078,-33.02159070968628,11,crossing,port,7.590277024229269,-38.317911071233596,-32.7213670649474,0.0,-0.06873228456169045,-13.148643286836204
19,4.688847854912078,-33.02159070968628,12,crossing,port,7.063270400444977,-31.439614120691203,-32.616397868518504,0.0,-0.17370148099058724,-12.752265845595417
19,4.688847854912078,-33.02159070968628,13,crossing,port,6.536182207389736,-29.940372477247905,-32.39440064761905,0.0,-0.39569870189004064,-12.17142301282388
19,4.688847854912078,-33.02159070968628,14,crossing,port,6.009123100278403,-29.733758396580697,-32.04206783985859,0.0,-0.7480315096505024,-11.371508306753896
19,4.688847854912078,-33.02159070968628,15,crossing,port,5.482282738552536,-27.37519329084705,-31.632854575366252,0.0,-1.1572447741428675,-10.396360107419213
19,4.688847854912078,-33.02159070968628,16,crossing,none,4.955966704516982,-29.686261676999237,-30.986885902471272,0.0,-1.8032134470378196,-9.02380895149949
19,4.688847854912078,-33.02159070968628,17,crossing,none,4.430657983019908,-27.362013325916024,-30.31170632866474,0.0,-2.478393020844379,-7.399150820175294
19,4.688847854912078,-33.02159070968628,18,crossing,none,3.907124070972784,-31.33709338770214,-29.33167460962676,0.0,-3.4584247398823607,-5.1514875487100085
19,4.688847854912078,-33.02159070968628,19,none,none,3.386619139607129,-30.529482512188736,-28.16572631749864,0.0,-4.624373032010453,-2.2473395313243145
19,4.688847854912078,-33.02159070968628,25,overtaking,none,0.8788320409259979,139.57154041328363,-19.273432231021474,0.0,-13.516667118487646,76.89458224819418
19,4.688847854912078,-33.02159070968628,26,overtaking,none,1.0087389403085099,141.4396950035756,-17.405277640729537,0.0,-15.384821708779583,110.65884405835413
20,6.053957239938283,3.595296311034113,29,overtaking,none,0.8139503496452511,-157.43269187439313,2.866434394211865,0.0,0.00027772072169796047,-78.92889734466566
21,6.0,-31.14206403956255,31,overtaking,none,1.175151730143807,38.26574471622001,-4.868485531395436,0.0,-2.125887431609925,-118.24676385674289
24,5.298835854508,-18.827308416366577,20,crossing,port,3.584290289571966,-13.282862204320537,-7.9781723374989895,0.0,-0.27134073253438373,-16.50249941392991
24,5.298835854508,-18.827308416366577,21,crossing,port,2.9970260546000085,-10.910662359756515,-7.754534370150367,0.0,-0.49497869988297793,-18.6496968443669
24,5.298835854508,-18.827308416366577,22,crossing,port,2.417025171123558,-17.441182818189844,-7.499502194449093,0.0,-0.7500108755842518,-21.88548823694279
