estop,idx,width,dcpa,coll_target,outcome,estops,u_min
on,0,5.044964366615236,1.1610102603999974,False,goal,1,0.026840191783489807
on,1,4.999999999999998,1.1532522249845545,False,goal,0,0.5859218489817081
on,2,5.0,1.0548264325212529,False,goal,0,0.5508114578901238
on,3,4.999999999999999,0.03670725630003924,True,target,2,0.00940233008032097
on,4,4.415696545423335,0.7870190103627532,False,boundary,1,0.023052892355149873
on,5,5.032907986875176,1.1594090426277182,True,target,2,0.0358109485348459
on,6,4.869448784480107,0.4570427385228544,False,goal,0,0.5253276429920517
on,7,5.0366771833384725,0.8932258039252212,False,goal,1,0.01792583434643328
on,8,4.659191839445868,0.5419955389240594,True,target,2,0.01131770450356388
on,9,4.999999999999999,0.37413948972481004,False,boundary,1,0.04432606547472631
on,10,5.0,1.3472959214865994,False,goal,0,0.5532417584415037
on,11,4.968751119528688,0.04001909622158317,True,target,2,0.04383644694272715
on,12,4.914547501044645,1.1675514419324189,True,target,0,0.4216879321012717
on,13,5.005537710139628,1.3391572103818132,False,goal,0,0.5105560274772522
on,14,4.926702222628319,1.3960193236397112,False,goal,0,0.5548027972677299
on,15,5.0,1.8290081990792668,False,goal,0,0.47062969489857764
on,16,5.081094812806886,0.014278637154533813,True,target,2,0.035387725094465174
on,17,5.0,1.0531590099560793,True,target,0,0.4899039328679863
on,18,4.714898798648277,0.08594449996880371,True,target,2,0.01067902993875922
on,19,4.688847854912078,1.3885356859153797,True,target,0,0.1653143067570419
on,20,6.053957239938283,1.1610102603999974,True,target,1,0.022755943712674327
on,21,6.0,1.1532522249845545,False,goal,0,0.5824184558430429
on,22,5.999999999999999,1.0548264325212529,False,goal,0,0.5586622883444059
on,23,5.999999999999999,0.03670725630003924,True,target,1,0.020932807404053306
on,24,5.298835854508,0.7870190103627532,False,boundary,1,0.04564179905189484
on,25,6.039489584250211,1.1594090426277182,True,target,1,0.020923501194161972
on,26,5.843338541376127,0.4570427385228544,False,goal,0,0.5524889880781708
on,27,6.044012620006167,0.5317459855422795,False,goal,0,0.3641057630723358
