idx,width,bend,dcpa,coll,outcome,pre_frames,p_head_on,p_crossing,p_none,p_true_head_on,ct_dev_med,p_stbd_blocked,u_min,xte_max_stbd,xte_min
0,5.044964366615236,22.396864207356074,1.1610102603999974,False,goal,19,0.0,1.0,0.0,0.0,15.580036423597448,0.7894736842105263,0.027522893574837483,0.10375691950321198,-0.24843759834766388
1,4.999999999999998,-31.14206403956255,1.1532522249845545,False,goal,13,0.3076923076923077,0.6153846153846154,0.07692307692307693,0.15384615384615385,22.13664097303871,0.15384615384615385,0.6939437867936373,1.312025547027588,0.4978923797607422
2,5.0,8.138851896814414,1.0548264325212529,False,goal,11,0.0,0.7272727272727273,0.2727272727272727,0.0,17.790553501924677,1.0,0.7021936654935329,0.6227961778640747,0.3660983443260193
3,4.999999999999999,30.305572616163474,0.03670725630003924,True,target,19,0.8421052631578947,0.15789473684210525,0.0,0.631578947368421,2.9273448444139945,1.0,0.00940233008032097,0.2174554169178009,0.15423782169818878
4,4.415696545423335,-19.25205912183695,0.7870190103627532,False,boundary,16,0.25,0.75,0.0,0.125,36.24891294635884,1.0,0.023052892355149873,1.1093965768814087,0.25746434926986694
5,5.032907986875176,38.869121074676514,1.1594090426277182,True,target,19,0.15789473684210525,0.8421052631578947,0.0,0.0,21.380489025505796,1.0,0.0358109485348459,0.7468097805976868,0.5543835759162903
6,4.869448784480107,44.811705350875854,0.4570427385228544,False,goal,13,0.0,0.0,1.0,0.0,22.712627491006316,0.0,0.5607648889000678,1.3405579328536987,0.4558272361755371
7,5.0366771833384725,33.02159070968628,0.8932258039252212,False,goal,19,0.0,0.3157894736842105,0.6842105263157895,0.0,14.225837496846282,1.0,0.01792583434643328,0.4256937503814697,0.04854993149638176
8,4.659191839445868,22.09088059648826,0.5419955389240594,True,target,18,0.2777777777777778,0.7222222222222222,0.0,0.16666666666666666,30.115328484922273,1.0,0.01131770450356388,0.8871826529502869,0.6217604279518127
9,4.999999999999999,-4.9761759547219375,0.37413948972481004,False,boundary,20,0.2,0.8,0.0,0.05,32.28001601854612,1.0,0.04432606547472631,1.070889949798584,0.14077048003673553
10,5.0,27.74596505443528,1.3472959214865994,False,goal,13,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.23076923076923078,13.774353297543684,0.46153846153846156,0.6506565257782123,1.1097389459609985,0.39576828479766846
11,4.968751119528688,-16.78141914067757,0.04001909622158317,True,target,19,0.42105263157894735,0.5789473684210527,0.0,0.3684210526315789,16.75019046360657,1.0,0.04383644694272715,0.9194518327713013,0.4157586097717285
12,4.914547501044645,-41.82861685752869,1.1675514419324189,True,target,9,0.0,0.0,1.0,0.0,30.80573513257997,0.0,0.4216879321012717,0.2543242573738098,-0.011998320929706097
13,5.005537710139628,24.46288421027566,1.3391572103818132,False,goal,14,0.0,0.42857142857142855,0.5714285714285714,0.0,4.498433954818395,0.0,0.5194221851715686,-0.3041297197341919,-0.9574365615844727
14,4.926702222628319,-9.245457058804845,1.3960193236397112,False,goal,12,0.0,0.6666666666666666,0.3333333333333333,0.0,11.707258328550438,0.5833333333333334,0.732070028636938,1.0414097309112549,0.25963109731674194
15,5.0,27.337535062502525,1.8290081990792668,False,goal,14,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.0,14.356641410918243,0.0,0.5418778777763896,0.22824716567993164,-0.33939751982688904
16,5.081094812806886,-12.579800621547006,0.014278637154533813,True,target,18,0.2777777777777778,0.7222222222222222,0.0,0.16666666666666666,19.16189172041767,1.0,0.035387725094465174,0.16055794060230255,-0.03419921174645424
17,5.0,47.818204164505005,1.0531590099560793,True,target,14,0.0,0.42857142857142855,0.5714285714285714,0.0,55.99542436858442,0.0,0.4899039328679863,0.6761544346809387,0.47288113832473755
18,4.714898798648277,-14.079746443687108,0.08594449996880371,True,target,19,0.8421052631578947,0.15789473684210525,0.0,0.5789473684210527,4.93905361452093,0.9473684210526315,0.01067902993875922,0.12496882677078247,-0.08092128485441208
19,4.688847854912078,-33.02159070968628,1.3885356859153797,True,target,13,0.0,0.23076923076923078,0.7692307692307693,0.0,23.007831680276496,1.0,0.1653143067570419,0.358108252286911,0.1686408668756485
20,6.053957239938283,3.595296311034113,1.1610102603999974,True,target,19,0.15789473684210525,0.8421052631578947,0.0,0.05263157894736842,26.459888756149184,1.0,0.022755943712674327,0.2827606201171875,0.02395521104335785
21,6.0,-31.14206403956255,1.1532522249845545,False,goal,13,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.07692307692307693,17.21770670034067,0.0,0.6523090872204171,1.0590890645980835,0.4400304853916168
22,5.999999999999999,8.138851896814414,1.0548264325212529,False,goal,11,0.0,0.8181818181818182,0.18181818181818182,0.0,13.615869113091577,0.9090909090909091,0.6357155293369144,0.7425951361656189,0.37301552295684814
23,5.999999999999999,21.617038249969482,0.03670725630003924,True,target,16,0.0625,0.8125,0.125,0.0,18.82395236753341,1.0,0.020932807404053306,0.10652858763933182,-0.06311240047216415
24,5.298835854508,-18.827308416366577,0.7870190103627532,False,boundary,16,0.1875,0.8125,0.0,0.0625,48.83128451720647,1.0,0.04564179905189484,0.8911511301994324,0.2468212991952896
25,6.039489584250211,27.27047324180603,1.1594090426277182,True,target,15,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333333,6.632405449355645,0.8666666666666667,0.020923501194161972,0.7584473490715027,0.6620997190475464
26,5.843338541376127,30.133899450302124,0.4570427385228544,False,goal,13,0.0,0.7692307692307693,0.23076923076923078,0.0,33.95230542063098,1.0,0.5865804949801219,1.5193687677383423,0.4782710671424866
27,6.044012620006167,18.827308416366577,0.5317459855422795,False,goal,18,0.0,0.0,0.8333333333333334,0.0,23.402954189843527,1.0,0.3641057630723358,0.19715256989002228,0.049894366413354874
28,5.591030207335043,22.09088059648826,0.011739362685243115,False,goal,15,0.0,0.2,0.8,0.0,12.472676451914168,0.2,0.5100722705591992,1.6430965662002563,0.5217240452766418
29,6.0,-4.9761759547219375,0.37413948972481004,False,goal,19,0.2631578947368421,0.7368421052631579,0.0,0.21052631578947367,25.08385568154364,1.0,0.02229617026532167,0.9318293929100037,0.03513624146580696
30,5.9034460921538585,33.02159070968628,1.4743688155362717,False,goal,16,0.125,0.1875,0.6875,0.0,14.46817305825887,0.875,0.054440288977340816,0.30479317903518677,0.17587850987911224
31,6.0,21.617038249969482,1.3472959214865994,False,goal,13,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.23076923076923078,13.962923031815563,0.0,0.6727069056129119,1.1667630672454834,0.416863352060318
32,5.962501343434427,-16.78141914067757,0.04001909622158317,True,target,18,0.2777777777777778,0.7222222222222222,0.0,0.16666666666666666,47.71079317875626,1.0,0.007198282551292136,0.6099226474761963,0.38717642426490784
33,5.897457001253573,-30.133899450302124,0.8918293425608059,True,target,24,0.20833333333333334,0.625,0.16666666666666666,0.125,14.370709611342562,1.0,0.023108179578809916,0.4248194098472595,0.30893760919570923
34,6.006645252167553,24.46288421027566,1.3391572103818132,False,goal,14,0.0,0.5,0.5,0.0,4.436935893127142,0.0,0.47110340402860784,-0.36990341544151306,-0.9165045619010925
35,5.912042667153984,-9.245457058804845,1.3960193236397112,False,goal,11,0.0,1.0,0.0,0.0,18.92065422801565,0.0,0.7775151528084427,1.1674761772155762,0.14682358503341675
36,5.999999999999998,27.337535062502525,1.8290081990792668,False,goal,15,0.06666666666666667,0.6,0.3333333333333333,0.0,20.22707943251359,0.0,0.5279481714208679,0.19619785249233246,-0.3933544158935547
37,6.004268040872987,-35.9333860874176,1.2199365365344372,False,goal,14,0.0,0.14285714285714285,0.8571428571428571,0.0,13.121042145181931,0.14285714285714285,0.45089299471467403,0.37967512011528015,-0.27741244435310364
38,6.0973137753682645,-12.579800621547006,0.6135191627434522,False,goal,12,0.08333333333333333,0.9166666666666666,0.0,0.0,26.745859482144297,0.75,0.621450644350333,0.9168455004692078,0.08181342482566833
39,5.999999999999999,35.9333860874176,0.14137351270705856,False,goal,14,0.0,0.0,1.0,0.0,9.985482819539996,0.0,0.5285077206334516,1.9299724102020264,0.5374782085418701
40,7.06295011326133,3.595296311034113,1.1610102603999974,False,goal,12,0.0,0.75,0.25,0.0,12.732660328768873,0.0,0.6579988070012371,0.0470980741083622,-0.12611034512519836
41,6.999999999999999,-24.43147301673889,0.5309420280403896,False,goal,13,0.0,0.38461538461538464,0.6153846153846154,0.0,7.559578514574184,0.0,0.5459495682510891,0.4260755777359009,-1.0528590679168701
42,6.999999999999998,8.138851896814414,1.0548264325212529,False,goal,12,0.0,0.9166666666666666,0.08333333333333333,0.0,31.285049334945484,0.16666666666666666,0.6208518290620638,1.0746406316757202,0.11172134429216385
43,6.999999999999999,10.60754656791687,0.03670725630003924,True,target,13,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.5384615384615384,14.396007168517826,0.5384615384615384,0.010013206466629577,-0.16233064234256744,-0.33048173785209656
44,6.181975163592668,-5.253220796585083,0.7870190103627532,False,goal,10,0.0,1.0,0.0,0.0,15.393669461929989,1.0,0.5972591587238758,0.8334416747093201,0.4638659656047821
45,7.046071181625245,13.322453498840332,1.1594090426277182,True,target,16,0.875,0.0,0.125,0.3125,8.823266273360957,0.8125,0.029755627919434417,1.0680406093597412,0.7805207371711731
46,6.817228298272148,18.827308416366577,0.4570427385228544,False,boundary,20,0.15,0.85,0.0,0.1,47.891419892525235,1.0,0.004680586964861872,1.741929292678833,0.5847929120063782
47,7.05134805667386,5.253220796585083,1.8903711810709838,False,goal,13,0.0,0.7692307692307693,0.23076923076923078,0.0,16.64073712466285,0.0,0.6336032194522822,0.8051713109016418,0.24319316446781158
48,6.522868575224217,13.322453498840332,0.660787727619307,False,goal,12,0.0,0.5,0.5,0.0,6.937810152697068,0.08333333333333333,0.5635005550126099,1.6941492557525635,0.5992894172668457
49,7.0,-4.9761759547219375,0.37413948972481004,True,target,20,0.25,0.75,0.0,0.2,34.38856640061772,1.0,0.04354057202101494,0.6023343801498413,-0.04210689663887024
50,6.887353774179502,21.617038249969482,0.8568397995754622,False,goal,17,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.17647058823529413,6.164787331126604,0.17647058823529413,0.4010676105515988,0.0766059160232544,-1.0200605392456055
51,6.999999999999998,7.9177772998809814,1.3472959214865994,False,goal,13,0.0,0.6923076923076923,0.3076923076923077,0.0,15.79880951902095,0.0,0.6986251291812909,1.2802528142929077,0.3505055010318756
52,6.956251567340164,-13.322453498840332,0.04001909622158317,False,goal,11,0.36363636363636365,0.6363636363636364,0.0,0.36363636363636365,23.567747127106998,0.0,0.6322575225945763,1.628365397453308,0.6072641015052795
53,6.880366501462503,-16.062408685684204,0.8918293425608059,True,target,16,0.875,0.125,0.0,0.9375,6.348920059458436,1.0,0.04146663365046131,0.9391369223594666,0.6069574356079102
54,7.007752794195478,21.617038249969482,1.3391572103818132,False,goal,13,0.0,0.46153846153846156,0.5384615384615384,0.0,7.799458558079124,0.0,0.5558733815739516,-0.5335996747016907,-1.1826093196868896
55,6.897383111679649,-9.245457058804845,1.3960193236397112,False,goal,12,0.0,1.0,0.0,0.0,14.867263375141818,0.0,0.6061894585636906,1.044419765472412,0.28412482142448425
56,6.999999999999999,21.617038249969482,1.8290081990792668,False,goal,14,0.0,0.7142857142857143,0.2857142857142857,0.0,14.477891199677387,0.0,0.5482483337802058,0.03991464525461197,-0.5675422549247742
57,7.004979381018484,-24.43147301673889,0.3852504113926303,True,target,13,0.6153846153846154,0.38461538461538464,0.0,0.46153846153846156,16.521495680359124,0.0,0.4296003032844696,0.2519589066505432,-0.18815486133098602
58,7.113532737929641,-12.579800621547006,0.6135191627434522,False,goal,14,0.0,0.42857142857142855,0.5714285714285714,0.0,5.643892481464491,0.0,0.5220543049441373,-0.34475916624069214,-0.7074252367019653
59,6.999999999999999,21.617038249969482,0.14137351270705856,False,goal,14,0.21428571428571427,0.7857142857142857,0.0,0.14285714285714285,22.785989379379586,0.0,0.633943087539346,1.8188278675079346,0.7959588170051575
60,8.071942986584375,3.595296311034113,1.1610102603999974,False,goal,12,0.0,0.6666666666666666,0.3333333333333333,0.0,16.174962317735535,0.0,0.6689332270961592,-0.029692087322473526,-0.2825559675693512
61,7.999999999999998,-13.322453498840332,0.5309420280403896,True,target,11,0.36363636363636365,0.6363636363636364,0.0,0.09090909090909091,20.021810874268738,0.0,0.46724650068419715,0.49604296684265137,0.07572156190872192
62,7.999999999999998,0.0,1.0548264325212529,False,goal,11,0.09090909090909091,0.9090909090909091,0.0,0.0,41.652547017444476,0.0,0.654877024115002,1.2479872703552246,-0.06123792752623558
63,7.999999999999998,0.0,0.03670725630003924,True,target,11,0.6363636363636364,0.36363636363636365,0.0,0.36363636363636365,12.179980499461408,0.0,0.5752070623532396,-0.128723606467247,-0.34595170617103577
64,7.065114472677336,0.0,0.7870190103627532,False,goal,11,0.0,1.0,0.0,0.0,25.300793581970822,0.8181818181818182,0.6633154984741869,1.284343957901001,0.4607757329940796
65,8.052652779000283,0.0,1.1594090426277182,True,target,11,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.45454545454545453,13.140330223179404,0.0,0.6257711275068879,1.7542243003845215,0.8668904900550842
66,7.7911180551681705,7.9177772998809814,0.4570427385228544,False,goal,13,0.23076923076923078,0.7692307692307693,0.0,0.0,35.90160936450107,0.0,0.6366199389191284,2.070706844329834,0.5372305512428284
67,8.058683493341555,0.0,1.8903711810709838,False,goal,13,0.0,0.5384615384615384,0.46153846153846156,0.0,9.874912404866194,0.0,0.6055381355907012,0.6375141739845276,0.21413730084896088
68,7.45470694311339,0.0,0.660787727619307,False,goal,12,0.25,0.75,0.0,0.16666666666666666,15.690855976448077,0.0,0.6603229892397768,1.6387208700180054,0.7577822208404541
69,8.0,-4.9761759547219375,0.5039496003729844,False,goal,11,0.0,1.0,0.0,0.0,23.914744860628417,0.0,0.6656763349612755,1.009917974472046,0.08602703362703323
70,7.871261456205144,10.60754656791687,1.8533873149793867,False,goal,11,0.0,0.7272727272727273,0.2727272727272727,0.0,13.333880455925396,0.0,0.6242633794702536,0.8817951083183289,0.42832303047180176
71,7.999999999999998,0.0,1.3472959214865994,False,goal,13,0.0,0.6923076923076923,0.3076923076923077,0.0,15.194446079275764,0.0,0.607384501555509,1.0223462581634521,0.3572845160961151
72,7.950001791245903,0.0,0.04001909622158317,False,goal,11,0.2727272727272727,0.7272727272727273,0.0,0.2727272727272727,16.000099906246277,0.0,0.6106558805023881,1.5635058879852295,0.8064759969711304
73,7.863276001671432,-5.253220796585083,1.7471811503729884,False,goal,13,0.0,0.8461538461538461,0.15384615384615385,0.0,13.094436705165919,0.0,0.6483811404267965,0.33998262882232666,-0.2057071179151535
74,8.008860336223405,10.60754656791687,1.3391572103818132,False,goal,14,0.0,0.6428571428571429,0.35714285714285715,0.0,15.120194006605303,0.0,0.5694994203885243,-0.395999550819397,-1.1195870637893677
75,7.882723556205311,0.0,1.3960193236397112,False,goal,11,0.0,0.7272727272727273,0.2727272727272727,0.0,15.661447594916751,0.0,0.6478802321269538,1.0059863328933716,0.4533810317516327
76,7.999999999999998,10.60754656791687,1.8290081990792668,False,goal,14,0.0,0.7857142857142857,0.21428571428571427,0.0,21.068986717654354,0.0,0.5657515775113642,0.09927953779697418,-0.5444132685661316
77,8.005690721163983,-13.322453498840332,0.3852504113926303,False,goal,14,0.0,1.0,0.0,0.0,19.456594021983037,0.0,0.6525723467221434,1.7719931602478027,0.5823980569839478
78,8.129751700491019,-7.9177772998809814,0.6135191627434522,False,goal,13,0.0,0.8461538461538461,0.15384615384615385,0.0,8.770285399383624,0.0,0.6429110665948162,-0.3730512857437134,-0.7553879618644714
