scenario,class,width,crossing_side,outcome,steps,mean_speed,min_target_range,fallback_steps,rule_relaxed_steps,wall_s
0,head_on,9.556232149411287,,goal,81,0.48998327901533245,1.508824240080754,12,0,122.48878741264343
1,head_on,5.7479461611789,,goal,73,0.5242763068517987,2.2826106017216916,0,0,93.5879328250885
2,head_on,7.111260720178818,,goal,81,0.4818285332600443,1.1805182011983786,30,0,124.35886025428772
3,head_on,9.924433511599638,,collision:target,29,0.48473719637441726,1.8374098418563598,19,0,43.08987641334534
4,head_on,7.777153961253272,,goal,72,0.5350287035278624,1.5915000356045894,12,0,94.71374893188477
5,head_on,9.472351939506785,,goal,71,0.529330972455442,1.4204283544874066,8,0,88.35353469848633
6,head_on,6.791254452278463,,goal,90,0.4300140764839856,1.0003359644484509,39,0,134.05954599380493
7,head_on,7.618572716555467,,goal,69,0.5438197275412495,2.5628647705168937,0,0,96.72123384475708
8,head_on,8.61263148724731,,goal,70,0.540683825402584,1.8048786285452216,2,0,103.6578996181488
9,head_on,7.715636756725871,,goal,74,0.5182776180311671,1.8660984657241795,1,0,93.38835668563843
10,head_on,7.643066319700785,,goal,70,0.5410197918333268,1.6657580954563216,4,0,91.50521183013916
11,head_on,7.958885684444756,,goal,75,0.5213278325554782,1.504225820932548,12,0,87.79263925552368
12,head_on,8.919597231476935,,goal,78,0.49691777953950816,1.951974620990275,4,0,118.23996329307556
13,head_on,6.8745535936065325,,goal,71,0.5299028377257451,2.425920723442502,0,0,94.82997941970825
14,head_on,7.392424952880393,,goal,79,0.4760293598684703,1.547093705882613,9,0,100.03760957717896
15,head_on,8.211625632198505,,goal,69,0.5455795805581102,2.292801729234284,0,0,77.36389708518982
16,head_on,6.670301727029801,,goal,76,0.50846387531661,1.315180084769208,21,0,117.35548257827759
17,head_on,5.356479981505558,,goal,95,0.3993306680398178,1.587607000538565,44,2,146.60030484199524
18,head_on,5.304665427323811,,goal,68,0.5572010758239493,2.2269474189928786,2,0,94.74611830711365
19,head_on,9.457641443617554,,goal,75,0.5131032293325487,2.244590409028621,0,0,90.15254664421082
20,crossing,4.667290875464451,starboard,goal,72,0.5246403967146257,1.8856043492358088,19,1,51.040733098983765
21,crossing,3.7739332766476075,starboard,collision:target,22,0.5239214933123381,1.4242863897402265,7,0,23.796229124069214
22,crossing,6.835819471068554,port,goal,74,0.509380582576758,2.333276464638494,21,0,48.785003900527954
23,crossing,8.158253975323385,starboard,goal,127,0.30927473995706256,1.6777773171362274,67,0,172.0218551158905
24,crossing,9.79861013596842,port,goal,83,0.45600156195351127,2.30500585797292,11,0,60.759921073913574
25,crossing,6.794447015498243,port,goal,76,0.5006226370307943,1.0282422951851973,20,0,59.22487139701843
26,crossing,4.54979421904873,starboard,collision:obstacle,39,0.38704793328957987,1.0507773246527385,37,0,54.62482833862305
27,crossing,9.679268550899316,port,goal,82,0.4615045141689471,2.3567593395618425,16,0,78.7291305065155
28,crossing,6.058594996054423,starboard,collision:target,26,0.4670253860170632,1.3435111166339702,11,0,35.86696434020996
29,crossing,5.474427570062953,port,collision:target,16,0.5128243517155961,1.3942842309184607,5,0,16.20784091949463
30,crossing,3.9950540465771436,starboard,goal,109,0.34749032777311883,2.4783548638531836,97,0,141.12586784362793
31,crossing,7.735291501066443,port,collision:obstacle,52,0.3560464297690906,2.1536101046139655,36,0,83.74011278152466
32,crossing,7.0168699613170915,starboard,goal,75,0.5080672721135299,2.2057300524165466,8,0,47.24763369560242
33,crossing,5.7425453375411974,port,goal,68,0.5536566893328378,2.78852786533238,0,0,34.412089824676514
34,crossing,4.158950744671773,starboard,collision:obstacle,60,0.34291692866760237,2.5100985072354685,33,2,76.10072088241577
35,crossing,7.317595379330987,port,goal,81,0.4770325483998147,1.8493271503905453,7,0,119.33879065513611
36,crossing,4.125240439053129,starboard,goal,81,0.4671342848961979,2.281997128217465,33,0,64.97599697113037
37,crossing,3.80127026892346,port,goal,75,0.505000435190645,2.5573109321752114,20,0,43.89127159118652
38,crossing,4.882180392282005,port,goal,77,0.4998570687595419,1.9322537364325265,15,0,37.536405086517334
39,crossing,4.159052935705747,starboard,goal,105,0.36369303685229926,1.5784591630496496,87,2,146.18570828437805
40,overtaking,9.556232149411287,,goal,60,0.6545300395843718,2.5787549937110668,0,0,89.67034435272217
41,overtaking,5.7479461611789,,goal,83,0.456974937580377,1.528041575657912,41,0,127.24397706985474
42,overtaking,7.111260720178818,,goal,54,0.705000152442889,2.636901763696095,0,0,80.45207262039185
43,overtaking,9.924433511599638,,goal,55,0.7152272418333652,2.627772734470598,0,0,99.28876733779907
44,overtaking,7.777153961253272,,goal,66,0.573535015139723,1.666414634207647,17,1,92.73303318023682
45,overtaking,9.472351939506785,,goal,62,0.6255396275363458,1.8625289159841911,9,0,95.60604500770569
46,overtaking,6.791254452278463,,goal,54,0.7099533041619928,2.465766085515353,0,0,95.47655940055847
47,overtaking,7.618572716555467,,goal,53,0.7165955447220407,2.6843526832201796,0,0,80.7705729007721
48,overtaking,8.61263148724731,,goal,57,0.6786887202791048,2.6060417344281865,3,0,97.61657309532166
49,overtaking,7.715636756725871,,collision:boundary,145,0.31823398908547146,2.1218648076091657,63,0,192.2564353942871
50,overtaking,7.643066319700785,,collision:obstacle,16,0.5084733185850265,5.877527866079333,14,0,20.98760676383972
51,overtaking,7.958885684444756,,goal,56,0.6917536472669947,2.561118872934812,0,0,83.70269560813904
52,overtaking,8.919597231476935,,goal,64,0.6127233824926986,1.795667575685113,17,0,101.87222361564636
53,overtaking,6.8745535936065325,,goal,64,0.5925211040202388,1.719537450082634,13,0,97.85390448570251
54,overtaking,7.392424952880393,,goal,52,0.7344239754117035,2.62825295849917,0,0,80.20148086547852
55,overtaking,8.211625632198505,,goal,54,0.7091328766500143,2.4785616225150626,0,0,77.60741591453552
56,overtaking,6.670301727029801,,goal,57,0.6951616843002001,2.533078048635979,1,0,98.72192692756653
57,overtaking,5.356479981505558,,goal,54,0.6944809262306606,1.7852117157935914,1,0,88.68034386634827
58,overtaking,5.304665427323811,,goal,56,0.672983863125968,1.3287448789917717,21,0,89.66917514801025
59,overtaking,9.457641443617554,,goal,62,0.618689184932178,2.5730477914072467,0,0,88.75187635421753
60,being_overtaken,9.556232149411287,,goal,91,0.4196105896219722,2.0647406556690697,22,0,121.40907192230225
61,being_overtaken,5.7479461611789,,goal,107,0.36601068142126236,1.9071545594178991,20,0,132.4900622367859
62,being_overtaken,7.111260720178818,,collision:obstacle,41,0.39006682023918565,1.9362305581983208,9,0,60.7622435092926
63,being_overtaken,9.924433511599638,,collision:boundary,101,0.3962101676074685,2.012426199825642,48,0,146.76707291603088
64,being_overtaken,7.777153961253272,,goal,110,0.3429729773676212,1.8414653282176985,48,0,152.93320083618164
65,being_overtaken,9.472351939506785,,goal,72,0.5242769756417727,2.1685068752585375,0,0,69.13957118988037
66,being_overtaken,6.791254452278463,,collision:obstacle,53,0.39264562081275944,1.875614990255181,11,0,98.81052589416504
67,being_overtaken,7.618572716555467,,collision:obstacle,49,0.3963571048147545,1.123285217357758,33,0,76.32370114326477
68,being_overtaken,8.61263148724731,,goal,73,0.5127617055696698,1.6481652356469565,1,0,88.73041939735413
69,being_overtaken,7.715636756725871,,goal,88,0.4331233648446313,1.6785661467388393,14,0,108.19732308387756
70,being_overtaken,7.643066319700785,,goal,70,0.5392341108974523,2.0145484869890624,0,0,74.98007559776306
71,being_overtaken,7.958885684444756,,goal,71,0.5289015591499725,2.0306355878149427,0,0,77.8336853981018
72,being_overtaken,8.919597231476935,,goal,90,0.4222232889693705,2.0376171896529325,11,0,115.63497042655945
73,being_overtaken,6.8745535936065325,,collision:obstacle,44,0.34845736082893414,2.132542081304747,13,0,66.96845126152039
74,being_overtaken,7.392424952880393,,goal,72,0.5194941477506185,1.753224452599837,0,0,84.95422101020813
75,being_overtaken,8.211625632198505,,goal,70,0.5372452381723504,1.8347549209114589,0,0,81.21832275390625
76,being_overtaken,6.670301727029801,,goal,98,0.3993772764046644,2.180046029653246,23,0,153.7228455543518
77,being_overtaken,5.356479981505558,,goal,72,0.5201521505507064,1.7521622621912447,0,0,80.11871123313904
78,being_overtaken,5.304665427323811,,goal,72,0.5239124357578677,2.0609025658029663,0,0,77.60648798942566
79,being_overtaken,9.457641443617554,,goal,73,0.5136620149767437,1.9442094455769923,2,0,107.47481679916382
80,null,9.556232149411287,,goal,79,0.4866649068288114,6.900094889037093,2,0,104.20124983787537
81,null,7.111260720178818,,goal,75,0.5087446743624626,8.943377672848309,1,0,96.93752360343933
82,null,9.924433511599638,,goal,79,0.4868075384881868,8.310839241495064,6,0,107.00452947616577
83,null,7.777153961253272,,goal,74,0.5098582883403715,8.646550162346742,2,0,95.7832362651825
84,null,9.472351939506785,,goal,72,0.5287336919749698,9.10288614989583,2,0,98.74304294586182
85,null,8.61263148724731,,goal,69,0.5519736856214437,8.753700560187522,2,0,88.99437665939331
86,null,7.715636756725871,,goal,82,0.4773988575170081,10.798222684618658,3,0,108.04164457321167
87,null,7.643066319700785,,goal,59,0.6408870457519111,6.3331990780186755,0,0,78.68339848518372
88,null,7.958885684444756,,goal,70,0.5431342206864251,6.843340493903999,0,0,96.75399422645569
89,null,8.919597231476935,,goal,90,0.4191958254925945,8.545102251546599,34,0,120.96184802055359
90,null,7.392424952880393,,goal,83,0.4540171404339615,9.79523362931983,24,0,108.46721720695496
91,null,8.211625632198505,,goal,79,0.5018971471064239,10.243469592850065,3,0,105.8330590724945
92,null,9.457641443617554,,goal,66,0.5704475132931924,10.09683106622245,0,0,67.84387445449829
93,null,7.939459934530462,,collision:obstacle,40,0.34900454928283375,8.594886487871836,19,0,60.898168325424194
94,null,7.215085798855989,,goal,114,0.34020352389593256,8.608053890355345,45,0,163.13323736190796
95,null,8.956662509461438,,goal,86,0.44906724829883926,8.27480770594436,24,0,131.02516412734985
96,null,7.341087164074281,,goal,53,0.7414362747631643,5.017955061887734,9,0,77.74151396751404
97,null,8.017900515989506,,collision:obstacle,48,0.3248980080792508,8.457958709264073,23,0,62.34798288345337
98,null,7.7229461986988115,,goal,69,0.5454862364189812,9.178965695628497,0,0,70.57320070266724
99,null,7.3766880761663485,,goal,72,0.5225741255626543,8.76102057328309,0,0,83.81013870239258
100,no_target,9.556232149411287,,goal,76,0.5026724121303066,inf,0,0,96.28197431564331
101,no_target,5.7479461611789,,goal,74,0.514732871835854,inf,1,0,88.74722862243652
102,no_target,7.111260720178818,,goal,81,0.4808534634683996,inf,10,0,97.5169768333435
103,no_target,9.924433511599638,,goal,85,0.4524067843747118,inf,5,0,114.04802203178406
104,no_target,7.777153961253272,,goal,69,0.5451566367621787,inf,0,0,3.62986421585083
105,no_target,9.472351939506785,,goal,96,0.39931369032451286,inf,29,0,139.95160937309265
106,no_target,6.791254452278463,,goal,76,0.5062555898740753,inf,3,0,87.69224762916565
107,no_target,7.618572716555467,,goal,79,0.4833438671925219,inf,2,0,103.83927178382874
108,no_target,8.61263148724731,,goal,79,0.4868705126682896,inf,10,0,94.18005585670471
109,no_target,7.715636756725871,,goal,72,0.5261446673860322,inf,1,0,83.96293091773987
110,no_target,7.643066319700785,,goal,90,0.41664563496154555,inf,24,0,104.7328028678894
111,no_target,7.958885684444756,,goal,85,0.46396566403309125,inf,10,0,90.38058185577393
112,no_target,8.919597231476935,,goal,73,0.5190804563586252,inf,3,0,87.11023926734924
113,no_target,6.8745535936065325,,goal,75,0.5077049539288454,inf,4,0,87.50475692749023
114,no_target,7.392424952880393,,goal,74,0.5204145743021694,inf,1,0,82.894052028656
115,no_target,8.211625632198505,,goal,72,0.5279888875928198,inf,3,0,67.81174421310425
116,no_target,6.670301727029801,,goal,72,0.5281170206817013,inf,8,0,50.88694906234741
117,no_target,5.356479981505558,,goal,67,0.5627087499063894,inf,0,0,5.668362140655518
118,no_target,5.304665427323811,,goal,68,0.5573812868642305,inf,0,0,4.884314775466919
119,no_target,9.457641443617554,,goal,70,0.5343383227668018,inf,1,0,47.8178231716156
