scenario,policy,outcome,mode,side,dcpa_drawn,tcpa_drawn,sense,tcpa_at_engage,tcpa_at_first_turn,first_turn_compliant,peak_dpsi_compliant,peak_dpsi_wrong,min_speed,speed_at_closest,min_range,mean_throttle_engaged
20,run7,goal,basin,starboard,2.455380360551736,9.042169361535493,1,7.23198797267411,7.23198797267411,False,35.18013570763378,34.28075214892982,0.28463167092268093,0.2971478624965902,2.511430255427196,-0.701903161406517
21,run7,collision:target,basin,starboard,0.3757033796243289,9.49896904568514,1,7.478811620488119,4.736936001808236,False,0.0,25.816343058076995,0.5254211477792918,0.7200864540353895,1.415595781319804,0.31590695797719737
22,run7,collision:target,basin,port,1.4601377428364724,8.377208724734128,-1,6.315197465996447,6.8521144482929754,False,-0.0,31.966215438921722,0.501659542325058,0.8255362304288937,1.8307121999530744,0.4849315968652566
23,run7,collision:target,basin,port,0.8128280920360667,10.13576215092496,0,,,,38.45306255555499,0.5502809920403706,0.5423922579332793,0.6563292522980171,1.198417439788509,
24,run7,collision:target,channel,starboard,2.4658059993829493,8.556858237844443,0,,,,4.569109806040416,30.02754683575381,0.46494957855181224,0.5842174227832235,1.6631175454942069,
25,run7,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,7.405261678049931,6.563834332434158,False,34.139352143481176,30.42671715378293,0.514679679896007,0.9252345027927222,1.9523284015300022,0.6512253645009228
26,run7,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.752462237267757,6.333242102289204,True,42.54633710791609,42.84045388147172,0.5581909514189132,0.7964273087690287,2.1589940603282196,0.49256070082386333
27,run7,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,9.83887724365262,10.084917026460044,False,3.45512222854245,29.0905434476702,0.5372276463698707,0.5514357036084656,1.5615105783325227,0.010275323316454888
28,run7,collision:target,basin,port,0.23622966892240083,8.507879150870341,-1,6.565259796887617,4.427423806473396,False,0.038571385089028354,43.34252052912291,0.5131492781211847,0.8281895699058878,1.2244661075074914,0.37534883911056177
29,run7,collision:boundary,basin,starboard,1.5379687920128267,9.281948455447523,1,7.81521175405031,,False,17.853421963555547,40.18964911861559,0.25732166683047075,0.5406933362576735,2.1185524189141303,-0.507660826498812
30,run7,collision:target,basin,port,2.226126868249491,9.64953455321088,-1,8.684739342760816,8.770424897113799,True,43.09634066933506,0.0,0.42874804092976804,0.5155428595734979,2.041871362536408,-0.04157251616319021
31,run7,collision:target,basin,port,0.23366396928340888,10.766328830535238,-1,8.612220125213415,,False,1.4765968924609183,39.631799307364815,0.5259158500227754,0.7351276918848315,1.4460032200476862,0.25627236079205484
32,run7,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.4978562054611455,4.974133441915376,False,36.81505172351689,31.65478342874684,0.5509260123442228,0.8341869519495724,2.499719883599115,0.7258821690025238
33,run7,collision:target,basin,port,1.4394070464462696,10.383855597374302,-1,7.542602008033408,,False,6.3855318456930945,37.44956311141115,0.4619576948315699,0.5237441767504676,1.7657556936719723,-0.003557010491689046
