scenario,file,class,mode,slant_deg,width_m,w_eff_at_cpa_m,start,goal,panels,crossing_side,dcpa_m,tcpa_s,speed_ratio,ct_deg,spawn_range_m,dcpa_below_floor,crossing_escapable,run8_final,run8_best,run7,reference
0,scenarios/000_head_on_channel.png,head_on,channel,,4.67,5.02,"[5.25, 1.45]","[5.25, 21.4]",2,,1.16,14.33,1.18,187.8,17.43,,,collision:obstacle,collision:target,collision:boundary,goal
1,scenarios/001_head_on_basin.png,head_on,basin,6.33,9.26,9.26,"[2.71, 2.0]","[4.93, 22.0]",0,,0.2,14.9,0.74,180.4,14.44,,,goal,goal,goal,goal
2,scenarios/002_head_on_basin.png,head_on,basin,6.72,9.26,9.26,"[5.07, 2.0]","[7.42, 22.0]",0,,0.9,16.7,0.81,172.7,16.86,,,goal,goal,goal,goal
3,scenarios/003_head_on_channel.png,head_on,channel,,8.16,8.29,"[5.66, 1.45]","[5.66, 21.4]",0,,1.83,15.48,0.97,176.9,17.08,,,goal,goal,goal,goal
4,scenarios/004_head_on_channel.png,head_on,channel,,9.8,9.54,"[5.97, 1.45]","[5.97, 21.4]",0,,0.79,12.87,1.17,171.8,15.59,,,goal,goal,goal,goal
5,scenarios/005_head_on_channel.png,head_on,channel,,6.79,6.85,"[4.43, 1.45]","[4.43, 21.4]",0,,0.82,15.06,1.06,186.2,17.31,,,goal,goal,goal,goal
6,scenarios/006_head_on_basin.png,head_on,basin,10.36,9.35,9.35,"[3.64, 2.0]","[7.29, 22.0]",0,,0.74,15.19,0.81,189.9,15.27,,,goal,goal,goal,goal
7,scenarios/007_head_on_basin.png,head_on,basin,-4.32,9.23,9.23,"[7.03, 2.0]","[5.52, 22.0]",1,,0.86,13.04,1.27,181.2,16.52,,,collision:target,goal,goal,goal
8,scenarios/008_head_on_channel.png,head_on,channel,,6.06,6.11,"[4.8, 1.45]","[4.8, 21.4]",0,,1.84,12.95,1.27,178.4,16.53,,,goal,goal,goal,goal
9,scenarios/009_head_on_basin.png,head_on,basin,0.37,9.2,9.2,"[4.01, 2.0]","[4.14, 22.0]",1,,1.0,12.4,1.29,171.7,15.83,,,goal,goal,goal,goal
10,scenarios/010_head_on_basin.png,head_on,basin,9.9,9.34,9.34,"[3.1, 2.0]","[6.59, 22.0]",0,,1.33,12.64,0.96,188.1,13.85,,,goal,goal,goal,goal
11,scenarios/011_head_on_basin.png,head_on,basin,-1.17,9.2,9.2,"[5.92, 2.0]","[5.51, 22.0]",0,,1.35,13.55,0.88,177.5,14.3,,,goal,goal,goal,goal
12,scenarios/012_head_on_channel.png,head_on,channel,,7.02,6.93,"[4.68, 1.45]","[4.68, 21.4]",1,,0.02,16.8,0.71,190.0,15.93,,,goal,goal,goal,goal
13,scenarios/013_head_on_basin.png,head_on,basin,0.94,9.2,9.2,"[4.23, 2.0]","[4.55, 22.0]",0,,1.77,15.06,0.95,186.3,16.43,,,goal,goal,goal,goal
14,scenarios/014_head_on_basin.png,head_on,basin,8.58,9.3,9.3,"[2.99, 2.0]","[6.0, 22.0]",0,,0.66,13.19,0.9,189.3,13.99,,,goal,goal,goal,goal
15,scenarios/015_head_on_basin.png,head_on,basin,-2.03,9.21,9.21,"[5.44, 2.0]","[4.73, 22.0]",2,,0.85,12.46,1.03,173.1,14.1,,,collision:target,goal,goal,collision:target
16,scenarios/016_head_on_basin.png,head_on,basin,12.58,9.43,9.43,"[2.98, 2.0]","[7.44, 22.0]",1,,1.64,16.39,0.95,185.8,17.85,,,goal,goal,collision:target,goal
17,scenarios/017_head_on_basin.png,head_on,basin,2.56,9.21,9.21,"[2.72, 2.0]","[3.62, 22.0]",0,,0.06,13.29,0.88,184.5,13.92,,,goal,goal,goal,goal
18,scenarios/018_head_on_basin.png,head_on,basin,-1.97,9.21,9.21,"[3.56, 2.0]","[2.88, 22.0]",1,,1.07,13.17,1.11,174.2,15.5,,,goal,goal,goal,goal
19,scenarios/019_head_on_channel.png,head_on,channel,,4.16,4.39,"[4.8, 1.45]","[4.8, 21.4]",0,,0.14,14.69,0.72,170.3,14.08,,,goal,goal,collision:boundary,goal
20,scenarios/020_crossing_basin.png,crossing,basin,-9.39,9.33,9.33,"[6.11, 2.0]","[2.8, 22.0]",0,starboard,2.46,9.04,0.83,268.8,7.07,,True,goal,goal,goal,goal
21,scenarios/021_crossing_basin.png,crossing,basin,0.48,9.2,9.2,"[4.93, 2.0]","[5.1, 22.0]",0,starboard,0.38,9.5,0.81,250.8,7.86,,True,collision:target,collision:target,collision:target,goal
22,scenarios/022_crossing_basin.png,crossing,basin,-11.98,9.4,9.4,"[7.42, 2.0]","[3.18, 22.0]",3,port,1.46,8.38,1.2,82.4,6.98,,True,collision:obstacle,collision:obstacle,collision:target,goal
23,scenarios/023_crossing_basin.png,crossing,basin,-1.11,9.2,9.2,"[5.41, 2.0]","[5.03, 22.0]",2,port,0.81,10.14,0.65,70.7,5.7,,True,collision:target,goal,collision:target,goal
