policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario,start,who
follower,head_on,9.556232149411287,0.7589141160070894,188.5960326544994,,,,goal,False,False,68,119.15777344309147,-37.55819155818093,0,0,23,0,23,0.0,0.0,4.5035760153194575,0.0,4.7434039784513065,0.5499470845518935,0.5576958521762974,0.7911676026366926,0,,False,head_on,23,0.0,False,0.0,0,cruise,follower
follower,head_on,5.7479461611789,1.2248627607666025,177.49061558127943,,,,goal,False,False,69,163.81088570361607,-15.978214841718438,0,0,0,0,26,0.0,0.0,0.0,0.0,3.550714409270763,0.5461950835614,0.5574844451973853,1.2494482552584518,0,,False,head_on,26,0.0,False,0.0,1,cruise,follower
follower,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,,goal,False,False,69,95.88320276220094,-77.28712464954523,0,0,30,0,30,0.0,0.0,6.452916977176485,0.0,12.01258300704664,0.5426130857181701,0.5572649370173868,0.8539727365974287,0,,False,head_on,30,0.0,False,0.0,2,cruise,follower
follower,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,,collision:target,True,True,28,-312.2487820712947,-43.525358238947085,0,0,20,0,22,0.0,0.0,2.9474238839310556,0.0,7.314362723732286,0.5392947967939021,0.5579682112984838,1.7889082208157367,0,,False,head_on,22,0.0,False,0.0,3,cruise,follower
follower,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,,collision:target,True,True,29,-327.4905547068075,-58.9693783367448,0,0,4,0,26,0.0,0.0,0.31142453358121436,0.0,12.855166670189426,0.5473239771289647,0.5646970381054253,1.8550703223551674,0,,False,head_on,26,0.0,False,0.0,4,cruise,follower
follower,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,,goal,False,False,68,105.10607774453732,-77.56094156113528,0,0,29,0,29,0.0,0.0,8.11509643462707,0.0,10.743687643661737,0.5535439097319751,0.5578765815395261,1.220563115472093,0,,False,head_on,29,0.0,False,0.0,5,cruise,follower
follower,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,,collision:target,True,True,24,-306.8503739465594,-31.901143810942507,0,0,8,0,10,0.0,0.0,1.308636119079353,0.0,6.042234173834853,0.5417817476717927,0.5575835827011653,1.8225936219649967,0,,False,head_on,10,0.0,False,0.0,6,cruise,follower
follower,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,,goal,False,False,67,182.2112862778013,-1.538713722198712,0,0,0,0,1,0.0,0.0,0.0,0.0,0.3419363827108249,0.565459943804486,0.5665493324938993,1.9204367700578635,0,,False,crossing,1,1.0,True,0.0,7,cruise,follower
follower,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,,goal,False,False,68,125.70808993942796,-56.077937143039264,0,0,25,0,24,0.0,0.0,9.036398120829986,0.0,5.2326453129002894,0.5519100340495581,0.557847510425062,1.8417101439139105,0,,False,head_on,25,0.0,False,0.0,8,cruise,follower
follower,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,,goal,False,False,70,116.5615029359885,-55.63322564497379,0,0,0,0,24,0.0,0.0,0.0,0.0,12.362939032216397,0.5412212892350616,0.5571736970491616,0.7515995927534699,0,,False,head_on,24,0.0,False,0.0,9,cruise,follower
