policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,case_id,scenario,stratum,supervisor,behaviour
model,head_on,9.201050650314883,0.3795356237898264,178.95927753168954,,,,goal,False,False,58,28.95647568513496,-80.64029343825395,21,0,27,0,14,8.473401854314293,0.0,9.117207989348914,0.0,1.3055567772760164,0.665561956698072,0.8541968046568349,2.3182214122653555,1.3260093035209308,0,,False,head_on,27,0.0,False,0.0,tier_b,B-00-00,0,basin,off,cv
model,head_on,9.222510656862552,1.13358741649509,180.00418128547236,,,,goal,False,False,60,41.52469805579254,-33.07340031950431,9,0,5,0,7,4.9805514332694685,0.0,1.0456462873020484,0.0,1.0345209090073455,0.6834555898851169,0.862136377740433,2.4637603347067056,1.9871301580252865,0,,False,head_on,25,0.0,False,0.0,tier_b,B-00-01,1,basin,off,cv
model,head_on,9.227601416936492,0.3111495018368153,185.8184109182404,,,,goal,False,False,62,57.93321353934424,-2.0606318128783867,0,5,0,0,2,0.0,0.3120952711938133,0.0,0.0,0.1146133823264469,0.6553845401295348,0.9264588895359308,2.8196094859041523,2.162751262995368,0,,False,crossing,13,0.0,False,0.0,tier_b,B-00-02,2,basin,off,cv
model,head_on,9.211701876994978,0.0740218435444108,177.28911239474493,,,,goal,False,False,62,-26.42150594793009,-77.71461185024042,25,0,26,0,5,9.6313844685991,0.0,8.018189856506162,0.0,0.2608389438339283,0.646341677838848,0.8414836484795005,2.708670816702004,2.3660520202792643,0,,False,head_on,26,0.0,False,0.0,tier_b,B-00-03,3,basin,off,cv
model,head_on,9.264485118721964,0.3626861566840971,186.68262445978752,,,,goal,False,False,61,77.32830237701666,-13.099524937830664,8,0,0,0,3,2.5770062050874585,0.0,0.0,0.0,0.0762987161439437,0.649834370960903,0.7839455500480514,2.608505347043082,1.5534372388456903,0,,False,crossing,11,0.0,False,0.0,tier_b,B-00-04,4,basin,off,cv
model,head_on,9.279173642526487,1.5737887332183131,176.16465774492912,,,,goal,False,False,62,83.95558594060047,-48.07473297489234,20,0,26,0,3,5.294708179217899,0.0,5.871457772896615,0.0,0.1619287789635392,0.6182571333491172,0.7749660354235469,3.1627645907414914,1.0869020680647468,0,,False,head_on,26,0.0,False,0.0,tier_b,B-00-05,5,basin,off,cv
model,head_on,9.263500800417557,0.3276717884184064,186.411902250338,,,,goal,False,False,62,15.881528407650435,-30.822466627455864,16,1,0,0,1,6.09513064982696,0.0439747211217341,0.0,0.0,0.0964211202799618,0.6705013346616892,0.8792892729927152,3.0386179557328816,2.426863746075599,0,,False,crossing,17,0.0,False,0.0,tier_b,B-00-06,6,basin,off,cv
model,head_on,9.217044165236686,1.5298989422236204,183.93190001103895,,,,goal,False,False,63,93.9398181578201,-52.59753608439161,20,0,31,0,3,3.1690860734470983,0.0,10.118415339151886,0.0,0.1076143999737069,0.5975587817297799,0.7151659903553144,2.8261549887715938,0.8630850682498129,0,,False,head_on,31,0.0,False,0.0,tier_b,B-00-07,7,basin,off,cv
model,head_on,9.23906371178969,1.2066477096482957,180.7054566274249,,,,goal,False,False,58,36.49393483775633,-58.6820012761028,13,0,14,0,6,8.987037566746475,0.0,3.1912760360017254,0.0,0.6016825758003403,0.6800788844326509,0.9706787037218024,1.8672423515735408,0.6297588219078578,0,,False,head_on,26,0.0,False,0.0,tier_b,B-00-08,8,basin,off,cv
model,head_on,9.20081860180611,0.5759708659372964,176.20715365651006,,,,goal,False,False,60,82.09495289080411,-36.065062507562,13,0,7,0,8,5.013147912006504,0.0,1.0063863477999804,0.0,1.6948865535666382,0.6544093853338998,0.948482884791673,1.749984920716149,1.3600768226623372,0,,False,head_on,24,0.0,False,0.0,tier_b,B-00-09,9,basin,off,cv
