class,side,candidate,outcome,min_range,steps,mode,dcpa_drawn
head_on,,0,other,2.4,31,channel,1.16
head_on,,1,goal,2.34,64,basin,0.2
head_on,,2,goal,3.05,64,basin,0.9
head_on,,3,goal,2.56,61,channel,1.83
crossing,starboard,0,goal,2.5,72,basin,2.46
crossing,starboard,1,target,1.58,18,basin,0.38
crossing,starboard,2,other,2.08,45,channel,2.47
crossing,starboard,3,target,1.99,17,basin,0.01
crossing,port,0,goal,2.71,79,basin,1.46
crossing,port,1,target,1.57,21,basin,0.81
crossing,port,2,target,1.35,17,basin,2.45
crossing,port,3,goal,2.2,71,channel,0.17
overtaking,,0,goal,3.19,107,channel,1.16
overtaking,,1,goal,2.35,109,basin,0.2
overtaking,,2,goal,2.53,75,basin,1.05
overtaking,,3,goal,3.6,65,channel,0.61
being_overtaken,,0,goal,1.23,44,basin,1.75
being_overtaken,,1,goal,1.54,47,basin,1.39
being_overtaken,,2,goal,0.82,48,basin,1.72
being_overtaken,,3,goal,1.4,45,basin,1.34
no_target,,0,other,inf,56,basin,0.0
no_target,,1,goal,inf,59,basin,0.0
no_target,,2,goal,inf,63,basin,0.0
no_target,,3,goal,inf,64,basin,0.0
