Being-overtaken development episodes, run11s1, supervisor off (43 s)
outcomes {'goal': 18, 'collision:boundary': 1, 'collision:target': 1}; max speed mean 0.70 m/s; min range to overtaker median 2.10 m

== per-step means by phase (weighted reward terms)
              engaged   other
steps          23.550  18.300
u               0.603   0.579
throttle        0.089  -0.020
over_gate       0.099   0.134
v_hold_fires    0.522   0.083
v_hold_mean     0.338   0.053
col            -1.367  -0.216
pf             -0.165  -0.445
prog            1.500   1.476
exist          -0.250  -0.250
reward         -0.504   3.623
