Being-overtaken development episodes, run12s0, supervisor off (35 s)
outcomes {'goal': 18, 'collision:obstacle': 1, 'collision:target': 1}; max speed mean 0.81 m/s; min range to overtaker median 2.08 m

== per-step means by phase (weighted reward terms)
              engaged   other
steps          24.550  12.900
u               0.639   0.675
throttle        0.248   0.287
over_gate       0.288   0.415
v_hold_fires    0.578   0.133
v_hold_mean     0.459   0.081
col            -1.845  -0.327
pf             -0.334  -0.594
prog            1.500   1.497
exist          -0.250  -0.250
reward         -0.324   0.770
