Being-overtaken development episodes, run8, supervisor off (192 s)
outcomes {'goal': 18, 'collision:boundary': 1, 'collision:target': 1}; max speed mean 0.80 m/s; min range to overtaker median 2.30 m

== per-step means by phase (weighted reward terms)
              engaged  other
steps          26.600  9.850
u               0.688  0.675
throttle        0.314  0.260
over_gate       0.537  0.552
v_hold_fires    0.652  0.301
v_hold_mean     0.354  0.146
col            -1.433 -0.590
pf             -0.582 -0.726
prog            1.482  1.480
exist          -0.250 -0.250
reward         -0.448  6.736

