scenario,t,dpsi,tracked,state,cls,sense,tcpa,range,bearing,panels_near
20,0.0,0.0,0,none,,0,,7.067607875983484,18.927162352881112,0
20,0.5,-0.536748489194963,0,none,,0,,6.705241880784947,18.445275298644617,0
20,1.0,-3.522721139343844,0,none,,0,,6.3101985293117435,20.47813922490093,0
20,1.5,-9.440088183854527,0,none,,0,,5.891251239783523,25.5982983362519,0
20,2.0,-17.256436944211373,1,engaged,crossing,1,6.069336746978323,5.460211521030148,32.88592937655619,0
20,2.5,-25.29840179614399,1,engaged,crossing,1,5.841708068766191,5.039232892033556,40.69672199343057,0
20,3.0,-32.110084738728744,1,engaged,crossing,1,5.364064354648935,4.640194337798652,47.58711928229701,0
20,3.5,-36.392186215314325,1,engaged,crossing,1,5.297478446144549,4.257548109869674,52.34914950285321,0
20,4.0,-38.01835509001978,1,engaged,crossing,1,4.36803001118394,3.883567272015714,54.963441050536346,0
20,4.5,-35.79109881306539,1,engaged,crossing,1,3.8818004782513165,3.5063186309728693,54.309564492970026,0
20,5.0,-30.12497907460579,1,engaged,crossing,1,3.220268206871759,3.111985706831192,50.82870593537842,0
20,5.5,-22.311428087535603,1,engaged,crossing,1,2.7029000217339694,2.69195070599822,45.822873453778186,0
20,6.0,-13.82938111700605,1,engaged,crossing,1,1.8097913569209894,2.245516252577269,40.82514620832791,0
20,6.5,-5.880411725122258,1,engaged,crossing,1,1.223084203568998,1.7776587897473688,37.27827523289187,0
21,0.0,0.0,0,none,,0,,7.861505158917649,28.468464724435023,0
21,0.5,-0.43100987358093334,0,none,,0,,7.43058962501725,28.831656541717138,0
21,1.0,-2.8712232927616697,0,none,,0,,6.969029483639224,31.401761494725008,0
21,1.5,-7.882294772945897,1,engaged,crossing,1,5.851168167655213,6.488437956973317,36.831134813782285,0
21,2.0,-14.818337354913751,1,engaged,crossing,1,5.356993219061821,6.0107083498047595,44.5207188502809,0
21,2.5,-22.54643569777045,1,engaged,crossing,1,4.804606278666659,5.547080554753962,53.44198698452351,0
21,3.0,-30.22390406802168,1,engaged,crossing,1,4.657841610575598,5.103559006065066,62.927635840126015,0
21,3.5,-36.56775777063058,1,engaged,crossing,1,3.7959302191230555,4.6918801432541875,71.7765578689013,0
21,4.0,-39.496748612165504,1,engaged,crossing,1,4.294759758116749,4.3138906716074255,77.97932244850597,0
21,4.5,-37.21600566826601,1,engaged,crossing,1,2.9816706900951133,3.959437498224455,79.86985018350782,0
21,5.0,-29.673764998274976,1,engaged,crossing,1,2.469300941732266,3.612160150831595,77.59719394493987,0
21,5.5,-18.82576884518437,1,engaged,crossing,1,1.8897225119188616,3.2610146639125763,73.3221488111094,0
21,6.0,-7.311446077800156,1,engaged,crossing,1,1.363761287021344,2.911662982388944,69.88086363134812,0
21,6.5,2.7621267222730523,1,engaged,crossing,1,1.2999729977860917,2.582654838062702,69.64090183169469,0
21,7.0,10.30369464077927,1,engaged,crossing,1,0.6060071301396565,2.2994171866797175,74.0909812159764,0
21,7.5,15.508368969808913,1,engaged,crossing,1,0.09518421294320285,2.0953504378009646,83.38459919474184,0
21,8.0,18.666389655449592,1,clearing,crossing,1,-0.1318634084167269,2.0110971829810973,96.8716494219542,0
21,8.5,19.36709226077545,1,clearing,crossing,1,-0.7584803200857626,2.0751424851452547,112.77648610286673,0
