policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario
follower,head_on,9.556232149411287,0.7589141160070894,188.5960326544994,,,,goal,False,False,68,150.73555394382498,-23.59392681745598,0,0,21,0,19,0.0,0.0,4.1809613254912055,0.0,1.8983257879305853,0.5499470845518935,0.5576958521762974,0.7911676026366926,0,,False,head_on,21,0.0,False,0.0,0
follower,head_on,5.7479461611789,1.2248627607666025,177.49061558127943,,,,goal,False,False,69,136.66049681029892,-43.12860373503557,0,0,0,0,27,0.0,0.0,0.0,0.0,9.58413416334124,0.5461950835614,0.5574844451973853,1.2494482552584518,0,,False,head_on,27,0.0,False,0.0,1
follower,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,,goal,False,False,69,94.39121921093678,-78.77910820080939,0,0,32,0,31,0.0,0.0,7.104547188687186,0.0,11.822830738119,0.5426130857181701,0.5572649370173868,0.8539727365974287,0,,False,head_on,32,0.0,False,0.0,2
follower,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,,collision:target,True,True,28,-328.79660480521113,-60.07318097286348,0,0,21,0,22,0.0,0.0,3.3327961085259226,0.0,10.6833588849267,0.5392947967939021,0.5579682112984838,1.7889082208157367,0,,False,head_on,22,0.0,False,0.0,3
follower,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,,collision:target,True,True,29,-301.03537031056504,-32.514193940502345,0,0,3,0,26,0.0,0.0,0.1544615524072966,0.0,7.101807189296906,0.5473239771289647,0.5646970381054253,1.8550703223551674,0,,False,head_on,26,0.0,False,0.0,4
follower,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,,goal,False,False,68,111.8424071149855,-70.82461219068708,0,0,25,0,25,0.0,0.0,7.229818886485374,0.0,9.954947599853275,0.5535439097319751,0.5578765815395261,1.220563115472093,0,,False,head_on,25,0.0,False,0.0,5
follower,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,,collision:target,True,True,24,-328.20351657548747,-53.30973137849716,0,0,20,0,22,0.0,0.0,2.5703429613781505,0.0,9.79033260389685,0.5417817476717927,0.5575835827011653,1.8225936219649967,0,,False,head_on,22,0.0,False,0.0,6
follower,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,,goal,False,False,67,160.61108190300422,-23.13891809699578,0,0,0,0,28,0.0,0.0,0.0,0.0,5.141981799332395,0.565459943804486,0.5665493324938993,1.9204367700578635,0,,False,head_on,29,0.0,False,0.0,7
follower,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,,goal,False,False,68,154.1477042468479,-27.638322835619316,0,0,21,0,0,0.0,0.0,7.677311898783141,0.0,0.0,0.5519100340495581,0.557847510425062,1.8417101439139105,0,,False,head_on,21,0.0,False,0.0,8
follower,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,,goal,False,False,70,154.70703626184405,-17.487692319118224,0,0,0,0,24,0.0,0.0,0.0,0.0,3.8861538486929397,0.5412212892350616,0.5571736970491616,0.7515995927534699,0,,False,head_on,24,0.0,False,0.0,9
follower,head_on,7.643066319700785,1.7056406923796066,175.83686086831378,,,,goal,False,False,67,153.0014466593481,-30.7485533406519,0,0,24,0,6,0.0,0.0,8.416646167515875,0.0,0.09969491946550048,0.5599933397368805,0.5602933856996017,1.7153622417329726,0,,False,head_on,24,0.0,False,0.0,10
follower,head_on,7.958885684444756,0.5220743990799206,173.00682712496027,,,,collision:target,True,True,25,-310.69656741556594,-37.66969759538963,0,0,21,0,23,0.0,0.0,2.902220424117445,0.0,6.049267570792629,0.542874678181347,0.5580318232465658,1.7675663602668026,0,,False,head_on,23,0.0,False,0.0,11
follower,crossing,4.667290875464451,1.7227470900651785,236.13301209616918,starboard,,True,goal,False,False,69,178.5425420299565,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5440198397180602,0.5573501625469612,1.7708838343852291,0,,False,never,0,0.0,False,0.0,12
follower,crossing,3.7739332766476075,1.173528774453069,270.329950237396,starboard,,True,collision:target,True,True,21,-283.4341242925125,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5537053401114708,0.5578085634175971,1.348064988355089,0,,False,never,0,0.0,False,0.0,13
follower,crossing,6.835819471068554,1.5587616535741629,95.48905312983425,port,,True,collision:target,True,True,24,-292.1330889374911,-17.207722914235674,0,0,0,0,13,0.0,0.0,0.0,0.0,3.823938425385705,0.5376148789030976,0.5572583526848081,1.655466428828503,0,,False,crossing,13,1.0,True,0.0,14
follower,crossing,8.158253975323385,0.44228992836946146,258.61746858688855,starboard,,True,collision:target,True,True,14,-329.6879505534827,-43.69421885604012,0,6,0,0,12,0.0,2.5464424869967073,0.0,0.0,6.908739676756984,0.5596811355471766,0.5605736067033202,1.3781727105760386,0,,False,crossing,12,0.0,False,0.0,15
follower,crossing,9.79861013596842,0.44328075371819986,82.03474253870037,port,,True,collision:target,True,True,22,-302.8479502022051,-24.3980741428391,0,6,0,0,18,0.0,2.816292431019704,0.0,0.0,2.3238725798425692,0.5328075790031758,0.5577424381101519,1.3627977974148804,0,,False,crossing,19,1.0,True,0.0,16
follower,crossing,6.794447015498243,0.5473514842917628,131.07964188304754,port,,True,goal,False,False,92,114.033197480889,-8.074998482917758,0,2,0,0,5,0.0,0.08483254372868881,0.0,0.0,1.7011283092134997,0.4079429952270521,0.5576976817533756,2.0168095152312575,1,"8(e) in extremis: crossing, compliant alteration inadmissible (DCPA 0.58 m, TCPA 4.4 s)",False,crossing,19,1.0,True,0.0,17
follower,crossing,4.54979421904873,1.3867036468224696,202.19120555738766,starboard,,True,goal,False,False,63,158.77533562273052,-19.97466437726948,0,0,0,0,10,0.0,0.0,0.0,0.0,4.438814306059884,0.5933877973396935,0.6000133000420149,1.4204743686808092,0,,False,crossing,10,0.0,False,0.0,18
follower,crossing,9.679268550899316,0.5087939358206104,67.81442945798263,port,,True,collision:target,True,True,22,-316.5342985174784,-39.8328150561446,0,3,0,0,15,0.0,1.234015221047052,0.0,0.0,7.4943199359914825,0.5412339970379082,0.55802646072397,1.30522828605353,0,,False,crossing,15,1.0,True,0.0,19
follower,crossing,6.058594996054423,0.9795735001537526,250.52553445208008,starboard,,True,collision:target,True,True,22,-280.89096417149483,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5607433100577942,0.5619440045950803,1.3124347888937988,0,,False,never,0,0.0,False,0.0,20
follower,crossing,5.474427570062953,0.4460543842171416,107.4313409364459,port,,True,collision:target,True,True,15,-286.6810813136574,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5510267745929841,0.5586253447229588,1.379952514045523,0,,False,never,0,0.0,False,0.0,21
follower,crossing,3.9950540465771436,1.7781064429160531,255.25704639569454,starboard,,True,goal,False,False,67,183.70081967886512,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5625218260792993,0.5632409769890998,1.7621179092455113,0,,False,never,0,0.0,False,0.0,22
follower,crossing,7.735291501066443,0.8388778432043928,94.48823574345055,port,,True,collision:target,True,True,22,-311.15792339180877,-28.641561357640352,0,4,0,0,13,0.0,1.346317387601807,0.0,0.0,4.883842286446979,0.5532854208985015,0.5584397451944838,1.2536960857302473,0,,False,crossing,13,1.0,True,0.0,23
follower,overtaking,9.556232149411287,0.16856401487441053,1.6101026039999748,,,,collision:target,True,True,30,-306.34896184777057,-32.316427626313846,0,0,8,0,22,0.0,0.0,0.6173364017729767,0.0,6.687559239984697,0.534005606259851,0.5574761059513698,1.8682894982133345,0,,False,overtaking,23,0.0,False,0.0,24
follower,overtaking,5.7479461611789,1.2248627607666025,-2.509384418720579,,,,goal,False,False,67,107.85902501039261,-76.07344434692146,0,0,46,0,32,0.0,0.0,13.3641828086384,0.0,6.2138636079607155,0.5656244234804428,0.5667954796969639,1.2171698041458237,0,,False,overtaking,49,0.0,False,0.0,25
follower,overtaking,7.111260720178818,1.545817447677813,0.5482643252125285,,,,goal,False,False,69,141.62503316060315,-39.000290722907046,0,0,0,0,36,0.0,0.0,0.0,0.0,8.666731271757122,0.5476832767884,0.5575654252902562,1.5484242156241532,0,,False,overtaking,49,0.0,False,0.0,26
