policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,collision:boundary,True,False,31,-385.8034263553126,-46.56975485442558,10,0,6,0,7,7.171313079801943,0.0,1.5614611363802398,0.0,1.2112211152082444,0.6522366004998942,0.8166169938953446,2.401449183567547,0.7916857115120642,0,,False,head_on,24,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,64,102.62688276241583,-26.464271937805258,9,0,3,0,5,4.527409042994842,0.0,0.3113697570735593,0.0,0.6517035665591071,0.6174198148867316,0.8300206245321696,2.3363746591246484,1.1982200570850337,0,,False,head_on,26,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,64,67.81508100993295,-58.89804942784493,25,0,30,0,3,5.844006950669374,0.0,8.142778789558452,0.0,0.14582475102691375,0.605424513597493,0.7402747706061676,3.05220471264744,1.4570062280133331,0,,False,head_on,30,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,61,126.18047790640966,-16.723653631549183,10,0,3,0,2,2.698655859394969,0.0,0.5815901219974237,0.0,0.28257393074519166,0.6298320331481096,0.8471313487366374,2.557901916078409,0.4126946834233551,0,,False,head_on,24,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,58,107.20289116280884,-26.356769500419006,6,0,5,0,5,3.7188995894477954,0.0,0.43926725868951383,0.0,1.4148565336378147,0.6607990280936569,0.9387957672126798,1.763109645653026,0.47527707947620673,0,,False,head_on,17,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,64,85.47615994806591,-52.82185992630788,15,0,26,0,10,2.365453451488736,0.0,8.625251636890612,0.0,2.2359909885849865,0.5970721759100015,0.7500467841392702,1.7670656863057423,0.5499800765604569,0,,False,head_on,26,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,63,111.8462221153157,-18.131535084528686,7,0,2,0,2,3.238616237483027,0.0,0.32599087453107944,0.0,0.2059594579279584,0.6309225540214579,0.9055281205908527,1.808439968589841,0.6682996298995201,0,,False,head_on,21,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,goal,False,False,67,46.600496582518936,-27.444054386218298,7,0,14,0,3,2.2724421413223213,0.0,3.441986135758514,0.0,0.8454034884315909,0.6028817155069125,0.8503210383160917,1.0700033255444807,2.1477305504097792,0,,False,head_on,14,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,59,110.22159380204357,-27.99593527717196,10,0,0,0,5,4.434949344846764,0.0,0.0,0.0,1.342874671151217,0.6508013273142935,0.8384775252596272,2.5266837405279445,0.34314630310042976,0,,False,head_on,20,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,61,31.61543844802503,-22.016478953490576,11,0,2,0,7,3.5148011650197484,0.0,0.09585394119674948,0.0,0.9495864440743377,0.6650521429412602,0.8580990195536601,2.687306549928915,1.615735742601045,0,,False,head_on,21,0.0,False,0.0,development,9
model,head_on,9.33910709037673,1.3293144757328503,188.10570753975367,,,,goal,False,False,65,96.41078712884271,-46.22878276234958,17,0,22,0,11,2.4970150062645313,0.0,7.703831764759037,0.0,1.363280917379471,0.5959979300863362,0.7454628854902391,2.3362653884567064,0.799455280059416,0,,False,head_on,22,0.0,False,0.0,development,10
model,head_on,9.201918994820689,1.3472959214865994,177.51607921353337,,,,goal,False,False,63,111.44883208360206,-27.720340944952838,12,0,1,0,7,4.164655037359823,0.0,0.18490923464232537,0.0,1.431027836735411,0.6136304908390453,0.8466193084838785,2.3034228127317586,0.5359049570724513,0,,False,head_on,23,0.0,False,0.0,development,11
model,head_on,7.0168699613170915,0.015575077797397752,189.9520951299898,,,,goal,False,False,55,64.44694043287795,-35.08807280842731,7,0,9,0,3,5.392716281376162,0.0,2.0151521220038466,0.0,0.2532399058669899,0.7175232477327145,0.9067100329841316,1.5072287200263135,0.8987998843273534,0,,False,head_on,23,0.0,False,0.0,development,12
model,head_on,9.201228208159643,1.773234588430947,186.26632667244348,,,,goal,False,False,63,120.67585374227892,-21.697671374734803,11,0,0,0,3,3.928722179663829,0.0,0.0,0.0,0.5001103523108543,0.6036434214871558,0.808111776401641,2.9955181271093783,0.666647610203246,0,,False,head_on,25,0.0,False,0.0,development,13
model,head_on,9.304144726251463,0.6644683462769254,189.27794679609093,,,,goal,False,False,68,74.82754444873312,-63.35017922268733,14,0,23,0,14,6.345039760875213,0.0,4.7500120442568585,0.0,3.2982642326734077,0.5595665699281679,0.7254303481137485,1.3014032047661495,0.6284320434631868,0,,False,head_on,23,0.0,False,0.0,development,14
model,head_on,9.20575260113067,0.849192777252975,173.08181901960162,,,,goal,False,False,68,-41.02166362442887,-7.038690644142077,0,0,3,0,3,0.0,0.0,1.0271983549119255,0.0,0.7423947925464769,0.6029433691659398,0.8203877628440763,1.6327809566458167,2.2275381248062884,0,,False,head_on,3,0.0,False,0.0,development,15
model,head_on,9.426345612222729,1.6398199049458149,185.8333102281301,,,,collision:target,True,True,34,-310.0121012900019,-16.17672561841318,4,0,8,0,6,0.9702703449237051,0.0,0.826992584916484,0.0,1.8659364678536663,0.5153777229887917,0.5743070422746824,0.8145482629031472,0.8077197849262646,0,,False,head_on,21,0.0,False,0.0,development,16
model,head_on,9.209226660497963,0.05633275187814779,184.51465458980437,,,,goal,False,False,64,104.41505963245358,-17.050329052736465,8,0,2,0,5,2.3420205499571995,0.0,0.09330305816493766,0.0,1.1380969602343456,0.6140362458440545,0.8178385233780168,2.163097904891747,1.434140242424868,0,,False,head_on,23,0.0,False,0.0,development,17
model,head_on,9.20543525150859,1.0728865077879095,174.193266873849,,,,goal,False,False,59,61.99543129972378,-15.520264701921896,8,0,1,0,4,2.5706289676689593,0.0,0.2375180361470796,0.0,0.4312414181846804,0.6953635032497788,0.926515070890762,2.9525341438299195,1.5067821392457337,0,,False,head_on,23,0.0,False,0.0,development,18
model,head_on,4.159052935705747,0.14137351270705856,170.32558044002377,,,,goal,False,False,57,16.44128069806638,-39.23516020508302,8,0,13,0,6,4.550075052218505,0.0,3.325580674600059,0.0,1.0533773928980465,0.7016477447221023,0.9148436668514899,1.1034398456089676,0.7489867485101713,0,,False,head_on,23,0.0,False,0.0,development,19
model,crossing,9.325072549897683,2.455380360551736,268.8460486216667,starboard,,True,goal,False,False,70,107.98030509129664,-19.765970244154946,12,0,0,0,3,3.4723669935587873,0.0,0.0,0.0,0.5728341391197641,0.5604981176459568,0.6758880760048115,2.301637909852568,0.6430053250144185,0,,False,crossing,20,0.0,False,0.0,development,20
model,crossing,9.20032035773287,0.3757033796243289,250.8363733912049,starboard,,True,collision:target,True,True,18,-345.0041620724546,-40.00639314795097,10,5,0,0,4,5.131270261250323,1.8956386259971403,0.0,0.0,1.1607098124613382,0.4695885723259917,0.6058549196718739,1.403650415556889,0.2460029619186448,0,,False,crossing,16,0.0,False,0.0,development,21
model,crossing,9.40498678456392,1.4601377428364724,82.39726623201037,port,,True,collision:obstacle,True,False,39,-389.83807976962197,-0.9494449873382922,0,0,0,0,1,0.0,0.0,0.0,0.0,0.21098777496406493,0.3838706349265622,0.5553586327477181,2.8352395938495847,1.5003489863271657,0,,False,crossing,13,1.0,True,0.0,development,22
model,crossing,9.201731668071005,0.8128280920360667,70.71932239246014,port,,True,goal,False,False,72,45.41032104328025,-22.642152036392496,9,0,0,0,3,4.042617620193723,0.0,0.0,0.0,0.5847099592074583,0.5468273960074136,0.8218525617056771,1.9656842171115572,1.1293991018414347,0,,False,crossing,10,1.0,True,0.0,development,23
