policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,collision:target,True,True,28,-346.8833322959763,-50.216174998017,16,0,3,0,10,8.768455624836644,0.0,0.1847962415546446,0.0,1.36601181899531,0.4860405250851757,0.6309395752708956,1.7729246051656604,0.3595703127147491,0,,False,head_on,25,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,64,108.39862439906548,-7.196053997091198,6,0,2,0,4,0.8878965726930983,0.0,0.17662939059939403,0.0,0.4811333680227873,0.6157433453949601,0.7931333701666784,2.3137819972275637,1.4283644324365774,0,,False,head_on,27,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,68,42.23885937270667,-72.63773151666781,20,0,27,0,15,7.453469917724461,0.0,6.99100704435647,0.0,2.3500955698329857,0.5747708111600743,0.8709074325920306,2.2234027209928313,0.9717586112159583,0,,False,head_on,31,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,63,132.59628942504176,-2.35356322694225,5,0,0,0,1,0.4392674603557949,0.0,0.0,0.0,0.03981984404023682,0.6045385011456724,0.7611357068706767,3.0072156829441097,0.749455802246366,0,,False,head_on,26,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,62,110.98543536138259,-20.033662182634473,8,0,0,0,8,2.5430127595696703,0.0,0.0,0.0,1.654610893947689,0.6143671197852213,0.794842464792141,1.9489589348909473,0.8611856780685102,0,,False,head_on,19,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,57,86.70103509332527,-7.855040374128947,5,0,3,0,3,0.878560025796211,0.0,0.6009735247331902,0.0,0.29836967942182635,0.6867387848649764,0.8690574249354229,1.1616279257828899,1.4289128126843165,0,,False,head_on,22,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,66,112.56813096690959,-12.392408192880493,6,0,1,0,4,1.8915459429202577,0.0,0.032932699296431195,0.0,0.6468217906573478,0.5971700050781793,0.8188999621510464,2.2767022513257458,0.7815029570550512,0,,False,head_on,25,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,goal,False,False,60,100.26511424468144,-2.5187813005521598,0,0,0,0,2,0.0,0.0,0.0,0.0,0.5597291779004799,0.660557740740294,0.8433858438625508,1.590479051181589,1.1618637867075963,0,,False,head_on,11,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,60,114.20378078525006,-2.555936459313477,5,0,0,0,3,0.28550711220882036,0.0,0.0,0.0,0.25392805641773686,0.639893509152843,0.7653799766958105,2.9286529389296665,0.6804167761711607,0,,False,head_on,23,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,69,46.719151611829275,-9.82353526116954,5,0,0,0,5,1.3347385089371289,0.0,0.0,0.0,0.7147954759846117,0.5780649919398536,0.8130423409487264,2.610498354443206,1.9877190003401641,0,,False,head_on,25,0.0,False,0.0,development,9
model,head_on,9.33910709037673,1.3293144757328503,188.10570753975367,,,,goal,False,False,61,118.36782293705363,-5.008660644088659,6,1,0,0,3,0.7915964796699465,2.2178749729597894e-06,0.0,0.0,0.24227713138695728,0.6376015704733511,0.9219717723520067,2.5955380352583277,0.8598671488051106,0,,False,crossing,10,0.0,False,0.0,development,10
model,head_on,9.201918994820689,1.3472959214865994,177.51607921353337,,,,goal,False,False,65,126.2891656522125,-1.7252829311757738,4,0,0,0,4,0.03867831073414822,0.0,0.0,0.0,0.3408500651203867,0.5912745856134822,0.7506679568496004,2.5061446602221773,0.8303150854450277,0,,False,head_on,24,0.0,False,0.0,development,11
model,head_on,7.0168699613170915,0.015575077797397752,189.9520951299898,,,,goal,False,False,55,71.22701871372954,-12.587264930335724,9,0,0,0,4,1.902316247354575,0.0,0.0,0.0,0.704622112429017,0.7171514165828494,0.9334579143773905,2.327303221393379,1.3331443908032552,0,,False,head_on,23,0.0,False,0.0,development,12
model,head_on,9.201228208159643,1.773234588430947,186.26632667244348,,,,goal,False,False,64,120.43241767965459,-1.4677057487333303,1,0,0,0,1,0.1350187911457056,0.0,0.0,0.0,0.177636162791575,0.5926357844134589,0.7484119983441132,3.1666165517917544,1.0692814415070884,0,,False,head_on,23,0.0,False,0.0,development,13
model,head_on,9.304144726251463,0.6644683462769254,189.27794679609093,,,,collision:target,True,True,22,-323.70451332255686,-40.491237802565436,5,0,9,0,14,3.7025084464081672,0.0,0.571235155068299,0.0,4.468305429910918,0.5967637123180718,0.6637099768218644,1.9020520055343388,0.2662136424180826,0,,False,head_on,18,0.0,False,0.0,development,14
model,head_on,9.20575260113067,0.849192777252975,173.08181901960162,,,,goal,False,False,74,-14.670986315678917,-40.05384889265998,8,1,9,0,10,1.144555910633977,0.7002194504696285,1.675697513386271,0.0,5.53104440155701,0.5553545272063151,0.8690425969966344,1.1049616217872276,1.8774977429866067,0,,False,crossing,19,0.5263157894736842,True,0.0,development,15
model,head_on,9.426345612222729,1.6398199049458149,185.8333102281301,,,,goal,False,False,69,53.946431590417454,-4.4310089719372066,4,0,0,0,8,0.15084870808099626,0.0,0.0,0.0,0.8187350815413944,0.5817101771417419,0.8407408720169193,1.927195239007397,0.9835001343226116,0,,False,head_on,22,0.0,False,0.0,development,16
model,head_on,9.209226660497963,0.05633275187814779,184.51465458980437,,,,goal,False,False,64,93.99912403208398,-9.086340734458243,7,0,1,0,5,0.8783594121413132,0.0,0.08238706711275284,0.0,0.9870818228339627,0.6096502236593683,0.803139705783103,2.2206269166007204,1.593316864279724,0,,False,head_on,24,0.0,False,0.0,development,17
model,head_on,9.20543525150859,1.0728865077879095,174.193266873849,,,,goal,False,False,59,60.239170272018804,-4.2885551419622265,5,0,1,0,2,0.569688381888025,0.0,0.2022503697101724,0.0,0.16455473792441827,0.6690502832260703,0.9240221131786319,3.086064578040565,2.006539277184598,0,,False,head_on,26,0.0,False,0.0,development,18
model,head_on,4.159052935705747,0.14137351270705856,170.32558044002377,,,,goal,False,False,54,83.48966174625637,-20.13429360339671,6,0,1,0,6,2.3534498634212104,0.0,0.11127953354482771,0.0,1.7964689908222966,0.7113406742996832,0.8590275981220957,1.1849802512723617,0.655130609268016,0,,False,head_on,22,0.0,False,0.0,development,19
model,crossing,9.325072549897683,2.455380360551736,268.8460486216667,starboard,,True,goal,False,False,80,21.62793946401102,-40.62411985872483,22,0,0,0,4,7.749862553596065,0.0,0.0,0.0,0.5027333818720691,0.5236312395166937,0.8796653204759729,2.5272179764152285,1.459870660720561,0,,False,crossing,22,0.0,False,0.0,development,20
model,crossing,9.20032035773287,0.3757033796243289,250.8363733912049,starboard,,True,collision:target,True,True,17,-384.8771635945818,-90.84952923754715,15,12,0,0,15,4.5573470823995414,5.532959695942646,0.0,0.0,9.08944681883407,0.6043330589222762,0.8311450599525947,1.2739719851358935,0.4608294435586322,0,,False,crossing,15,0.0,False,0.0,development,21
model,crossing,9.40498678456392,1.4601377428364724,82.39726623201037,port,,True,goal,False,False,72,60.425855253143325,-10.85107444556749,6,0,0,0,1,1.7920024814589028,0.0,0.0,0.0,0.44014714718798215,0.5351640805591784,0.8409135780710477,2.0087038622030264,0.41142806732329495,0,,False,crossing,14,1.0,True,0.0,development,22
model,crossing,9.201731668071005,0.8128280920360667,70.71932239246014,port,,True,collision:target,True,True,14,-300.88842774909784,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7434800113529985,0.8438054180324454,0.9611478234781125,0.1359312374984005,0,,False,never,0,0.0,False,0.0,development,23
model,crossing,4.213321680937903,2.4658059993829493,249.48839528708197,starboard,,True,collision:target,True,True,17,-307.173343094201,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6511084233992451,0.7975126072951154,1.3921936346758095,0.4027240116723013,0,,False,never,0,0.0,False,0.0,development,24
