policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,9.556232149411287,0.7589141160070894,188.5960326544994,,,goal,False,False,57,64.76793517829663,-24.077907985994038,10,0,1,0,13,2.6547898418828506,0.0,0.12302130351318896,0.0,2.3319603502281008,0.7056585790845077,0.9477657809612273,1.774583408558083,0,,False,head_on,27,0.0,False,0.0,development,0
model,head_on,5.7479461611789,1.2248627607666025,177.49061558127943,,,goal,False,False,57,105.04876827425095,-4.48510410564849,8,0,0,0,1,0.8728322637378477,0.0,0.0,0.0,0.03657431114358733,0.6801105582152321,0.9101481654312791,2.8272359786177885,0,,False,head_on,25,0.0,False,0.0,development,1
model,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,goal,False,False,59,61.598662914892316,-40.71938540809431,11,0,5,0,16,3.097118572539519,0.0,0.2624736790836625,0.0,5.431942939849448,0.6707431440372107,0.8998658962569313,1.4538677352052896,0,,False,head_on,27,0.0,False,0.0,development,2
model,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,goal,False,False,61,82.11219877338716,-30.051470669649817,8,0,3,0,11,3.536054932244491,0.0,0.30220328319585354,0.0,2.5466815412298915,0.6473333570090309,0.8953830962464787,1.5066220671425175,0,,False,head_on,25,0.0,False,0.0,development,3
model,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,goal,False,False,57,93.13472591481249,-19.712219216369633,9,0,0,0,10,2.641436775330976,0.0,0.0,0.0,1.4749127063291787,0.6823742731922001,0.9243758111703573,2.1480843850404434,0,,False,head_on,27,0.0,False,0.0,development,4
model,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,goal,False,False,73,-99.79607300362062,-35.96550878937645,10,0,9,0,7,5.580473564792456,0.0,1.007774841031733,0.0,1.0475944924310103,0.5712497218676676,0.8784901028712045,1.0837129992210732,1,"8(e) in extremis: head_on, compliant alteration inadmissible (DCPA 0.71 m, TCPA 3.3 s)",False,head_on,24,0.0,False,0.0,development,5
model,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,collision:target,True,True,25,-285.52533031117383,-5.561335031599086,0,0,4,0,4,0.0,0.0,0.40179467756159537,0.0,0.9144164871949649,0.5668880839108725,0.6098926724555427,1.1610007248209557,0,,False,head_on,11,0.0,False,0.0,development,6
model,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,goal,False,False,55,122.86155362609242,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6901545594316009,0.8874118838789177,2.9308538949020844,0,,False,never,0,0.0,False,0.0,development,7
model,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,collision:target,True,True,25,-325.0501238101387,-30.999029067520496,5,0,13,0,1,3.9313110253142325,0.0,3.1516010807221173,0.0,0.04295013369231497,0.5214400199806595,0.5859055165122699,1.7572606449520014,0,,False,head_on,24,0.0,False,0.0,development,8
model,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,goal,False,False,59,105.4872993901101,-10.057605402741887,10,0,0,0,7,1.604938762849224,0.0,0.0,0.0,0.4695907836973835,0.6593190108737653,0.8575943857638234,2.9536071874323557,0,,False,head_on,22,0.0,False,0.0,development,9
