policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,9.556232149411287,0.7589141160070894,188.5960326544994,,,,goal,False,False,55,60.86466713951559,-33.74190860441655,8,0,0,0,20,0.924090710215767,0.0,0.0,0.0,6.481702130855224,0.7136864537606717,1.013052062820356,1.3767796602916054,0,,False,head_on,20,0.0,False,0.0,development,0
model,head_on,5.7479461611789,1.2248627607666025,177.49061558127943,,,,goal,False,False,58,109.76335039310554,-9.708441486952498,15,0,0,0,6,1.4292829690751059,0.0,0.0,0.0,0.5852201755623829,0.6614965107240609,0.8827804956236168,2.1870396059440105,0,,False,head_on,26,0.0,False,0.0,development,1
model,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,,collision:target,True,True,30,-310.64430598666837,-27.230568167181083,0,0,22,0,23,0.0,0.0,2.446223606877866,0.0,4.094258484982392,0.5550445547170024,0.7530730410597037,1.9094488670818612,0,,False,head_on,25,0.0,False,0.0,development,2
model,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,,goal,False,False,57,90.46359221981145,-21.042401871871792,4,0,7,0,13,0.79104163556389,0.0,0.9600178837395774,0.0,3.037929198748458,0.6983357777462842,0.9299667372319004,1.1855762205091913,0,,False,head_on,20,0.0,False,0.0,development,3
model,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,,goal,False,False,58,96.52915775175293,-20.940212588796058,10,0,1,0,10,2.1745705625943126,0.0,0.03879414598402626,0.0,2.230317639647048,0.6618807017611432,0.9394694778201377,1.5679355239745962,0,,False,head_on,28,0.0,False,0.0,development,4
model,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,,goal,False,False,61,56.94172954717523,-65.6583994545825,12,0,20,0,20,3.5821745269011456,0.0,5.740017893443688,0.0,6.058349140005452,0.6266843823162047,0.8859601855677499,2.094067355043595,0,,False,head_on,20,0.0,False,0.0,development,5
model,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,,collision:target,True,True,25,-305.28944339783123,-9.213222957631793,0,0,0,0,4,0.0,0.0,0.0,0.0,2.047382879473732,0.6396181509452243,0.8657705724595203,1.0785314325431279,0,,False,head_on,8,0.0,False,0.0,development,6
model,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,,goal,False,False,57,112.41301094743504,-2.755879815422461,12,0,0,0,1,0.4684476938986678,0.0,0.0,0.0,0.09712527347201229,0.6659635406592272,0.9327417707153366,2.991873076931817,0,,False,head_on,27,0.0,False,0.0,development,7
model,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,,goal,False,False,60,77.55827509098205,-38.035565425169594,9,0,22,0,12,1.5482588049793902,0.0,6.819263331287292,0.0,1.2938525217527501,0.6372180055430092,0.8406069308109521,3.1421848748018353,0,,False,head_on,22,0.0,False,0.0,development,8
model,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,,goal,False,False,57,109.53410660456424,-5.618538400148641,9,0,0,0,4,0.7294522851435229,0.0,0.0,0.0,0.44616657526404496,0.6655350832060274,0.9093205303155004,2.377298200012252,0,,False,head_on,23,0.0,False,0.0,development,9
model,head_on,7.643066319700785,1.7056406923796066,175.83686086831378,,,,goal,False,False,57,75.61561081126872,-28.910838013792777,7,0,20,0,5,1.0334159074638858,0.0,5.911224101725707,0.0,0.5588938901408881,0.6770430010679019,0.9409923832855173,3.0273499979413345,0,,False,head_on,20,0.0,False,0.0,development,10
model,head_on,7.958885684444756,0.5220743990799206,173.00682712496027,,,,goal,False,False,55,84.39737274163521,-24.46102791341031,7,0,2,0,6,3.617127492143223,0.0,0.233564206001092,0.0,1.2700923745994268,0.7085582822080435,0.9454155382662801,1.399505262110845,0,,False,head_on,22,0.0,False,0.0,development,11
model,head_on,8.919597231476935,0.015575077797397752,189.9520951299898,,,,goal,False,False,56,79.43766375707894,-24.033842033149565,9,0,4,0,10,3.253852405589757,0.0,0.5172961879590807,0.0,1.34777918862835,0.6908921736559884,0.9401234923068981,1.4647976580959179,0,,False,head_on,26,0.0,False,0.0,development,12
model,head_on,6.8745535936065325,1.611600490742285,187.4718115037299,,,,goal,False,False,58,112.13404712547315,-3.082147259379397,13,0,0,0,1,0.6186065555236168,0.0,0.0,0.0,0.004454402119443003,0.6607321535214413,0.9020128567518815,2.920513256599488,0,,False,head_on,22,0.0,False,0.0,development,13
model,head_on,7.392424952880393,1.4530951074163598,170.337965767494,,,,goal,False,False,62,59.08632925218021,-60.82483998293354,13,0,17,0,17,4.35568118136348,0.0,4.85887508397213,0.0,4.8382817406410314,0.6296409493348942,0.8635438884521784,2.29516519780906,0,,False,head_on,17,0.0,False,0.0,development,14
model,head_on,8.211625632198505,1.4671958493469026,183.96019323639712,,,,goal,False,False,58,117.42931977764103,-4.923095893513372,8,0,0,0,4,0.5480753623935449,0.0,0.0,0.0,0.4911384110367389,0.6571706047655175,0.9264352843282416,2.6528910171969553,0,,False,head_on,22,0.0,False,0.0,development,15
model,head_on,6.670301727029801,0.3400603298527174,181.04111298916908,,,,goal,False,False,54,59.66407252295455,-33.86518459670718,9,0,4,0,13,3.4344594369590373,0.0,0.38037511306941196,0.0,3.4433911059355706,0.7141567462670286,0.9248157787110826,1.0927716766501598,0,,False,head_on,25,0.0,False,0.0,development,16
model,head_on,5.356479981505558,1.47502256148603,173.8525041139263,,,,goal,False,False,49,34.67143343110611,-13.092047996498113,7,0,0,0,3,2.1318179077722674,0.0,0.0,0.0,0.5643443006723081,0.7758755268059696,0.9872129645854274,1.862831126898568,0,,False,crossing,11,0.0,False,0.0,development,17
model,head_on,5.304665427323811,1.4300146119796155,188.9556404236401,,,,goal,False,False,55,116.71012957077217,-3.0534593036943356,1,0,0,0,7,0.10447695452485174,0.0,0.0,0.0,0.5636218619547377,0.6988096930244293,0.7953947111312182,1.5845905041612711,0,,False,head_on,18,0.0,False,0.0,development,18
model,head_on,9.457641443617554,0.5956007947889601,171.4137351270706,,,,goal,False,False,57,116.62001612507312,-9.47485863019535,7,0,1,0,6,1.1953901108382472,0.0,0.0010517164351222421,0.0,0.7897536449732414,0.6665259615480079,0.9544728622106657,1.7452451034725573,0,,False,head_on,25,0.0,False,0.0,development,19
model,crossing,4.667290875464451,1.7227470900651785,236.13301209616918,starboard,,True,collision:target,True,True,13,-315.80089717377393,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8369789736870067,1.0026783728817092,1.7782900451315962,0,,False,never,0,0.0,False,0.0,development,20
model,crossing,3.7739332766476075,1.173528774453069,270.329950237396,starboard,,True,collision:boundary,True,False,28,-422.1017278481659,-30.94985888955972,11,3,0,0,1,4.145693392840427,1.6847989669535328,0.0,0.0,0.4642048241288027,0.4349482592802566,0.9409921051274687,1.8727473682751783,1,"8(e) in extremis: crossing, compliant alteration inadmissible (DCPA 0.90 m, TCPA 3.4 s)",False,crossing,11,0.0,False,0.0,development,21
model,crossing,6.835819471068554,1.5587616535741629,95.48905312983425,port,,True,goal,False,False,50,-25.899464768565437,-39.69096575707091,5,4,0,0,5,4.065319388246932,1.9042094671707783,0.0,0.0,2.5481646238567532,0.7788006062048428,0.9798767380417773,1.5129567798318515,0,,False,crossing,5,1.0,True,0.0,development,22
model,crossing,8.158253975323385,0.44228992836946146,258.61746858688855,starboard,,True,collision:obstacle,True,False,26,-424.69411324407815,-30.812283487661244,6,12,0,0,10,2.0477647201698517,1.9979479614523656,0.0,0.0,2.396890158584726,0.8977422963135824,1.0632029268898422,2.064068091304871,0,,False,crossing,12,0.0,False,0.0,development,23
model,crossing,9.79861013596842,0.44328075371819986,82.03474253870037,port,,True,goal,False,False,51,70.6819494603117,-20.29639218512886,8,12,0,0,9,2.1208565676944584,0.9329393529618324,0.0,0.0,1.151133861751159,0.753019077091112,0.9787364190785224,2.7735450667108066,0,,False,crossing,17,1.0,True,0.0,development,24
model,crossing,6.794447015498243,0.5473514842917628,131.07964188304754,port,,True,goal,False,False,51,55.2362210818586,-25.08347679242419,5,7,0,0,5,1.4661060252594402,1.3288254963318649,0.0,0.0,2.4996812801216057,0.7630761100578873,0.997102799906197,1.8550413957861984,0,,False,crossing,7,1.0,True,0.0,development,25
model,crossing,4.54979421904873,1.3867036468224696,202.19120555738766,starboard,,True,goal,False,False,47,-272.7038805990002,-13.01196888140566,5,5,0,0,7,1.314996295788422,0.08901378212511293,0.0,0.0,1.3471375546074804,0.8311392954804312,1.0750719544920495,2.2814671058265588,0,,False,crossing,7,0.0,False,0.0,development,26
model,crossing,9.679268550899316,0.5087939358206104,67.81442945798263,port,,True,goal,False,False,51,73.3224299442009,-14.320627643199122,6,7,0,0,4,1.819203493350493,0.6040952835893794,0.0,0.0,0.5167330438548343,0.7592614320514658,1.0228525420564758,3.031145416384864,0,,False,crossing,15,1.0,True,0.0,development,27
model,crossing,6.058594996054423,0.9795735001537526,250.52553445208008,starboard,,True,goal,False,False,58,-30.34016334906427,-7.754296550874473,0,4,0,0,1,0.0,1.1901036383486796,0.0,0.0,0.4140630091218909,0.7119818726994642,0.9262837639243957,1.7195640739070437,0,,False,crossing,4,0.0,False,0.0,development,28
model,crossing,5.474427570062953,0.4460543842171416,107.4313409364459,port,,True,collision:target,True,True,14,-301.18052684588804,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6987589660214113,0.8404555362752931,1.2740866498318537,0,,False,never,0,0.0,False,0.0,development,29
model,crossing,3.9950540465771436,1.7781064429160531,255.25704639569454,starboard,,True,collision:target,True,True,24,-348.66303388311286,-12.848896202014195,3,3,0,0,2,1.3165914084128678,0.8179256822663846,0.0,0.0,0.507341467367088,0.504077450264496,0.8727632823640027,1.522790497361021,1,"8(e) in extremis: crossing, compliant alteration inadmissible (DCPA 1.73 m, TCPA 4.9 s)",True,crossing,11,0.0,False,0.0,development,30
model,crossing,7.735291501066443,0.8388778432043928,94.48823574345055,port,,True,goal,False,False,51,49.07988049642047,-30.352338223994074,9,9,0,0,4,3.4925185352245958,1.9602448347121553,0.0,0.0,0.7469243428460339,0.7802695898180166,1.0176820233972461,2.2067023163745256,0,,False,crossing,16,1.0,True,0.0,development,31
model,crossing,7.0168699613170915,1.3350829370449335,259.65497700971713,starboard,,True,collision:target,True,True,15,-348.79610644670623,-39.701725506734846,4,13,0,0,10,1.6766231326687338,4.283075816833974,0.0,0.0,2.2669368237103185,0.7472651766699375,0.8970016264065365,1.7416981068013817,0,,False,crossing,13,0.0,False,0.0,development,32
model,crossing,5.7425453375411974,2.4838158273022763,81.51973469732295,port,,True,collision:target,True,True,17,-410.056394891259,-93.64114020607249,8,12,0,0,12,5.217302308583234,8.184815485912855,0.0,0.0,7.916040712397482,0.8114042745101705,0.9898170925891,1.1660977201870717,0,,False,crossing,12,1.0,True,0.0,development,33
model,crossing,4.158950744671773,1.7839877353952436,251.91684018788132,starboard,,True,collision:target,True,True,19,-364.4823178682971,-44.76616348527473,3,9,0,0,7,1.7534751525579373,3.9146881610124793,0.0,0.0,3.7130566851335947,0.8397595035839749,0.9556843526596557,1.2839281470145392,0,,False,crossing,9,0.0,False,0.0,development,34
model,crossing,7.317595379330987,0.8351865361628191,113.10816249444454,port,,True,goal,False,False,51,-311.9672128991575,-77.21239646750398,10,13,0,0,13,5.891454980126763,3.7087349787709565,0.0,0.0,6.601687488789969,0.7863462433597354,0.9946575570356591,1.6857828972912294,0,,False,crossing,13,1.0,True,0.0,development,35
model,crossing,4.125240439053129,1.0096759554242565,290.7369904682177,starboard,,True,collision:target,True,True,18,-360.83944074368634,-45.923161243500054,3,10,0,0,10,0.5427788745586678,4.441884018280086,0.0,0.0,4.7220177608773835,0.8233988489804239,0.946858809636066,1.2101835676537864,0,,False,crossing,10,0.0,False,0.0,development,36
model,crossing,3.80127026892346,2.2456241657517846,68.44938096346765,port,,True,collision:target,True,True,20,-304.3338926131642,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7468884931907352,0.8351455221587483,1.3321692395880262,0,,False,never,0,0.0,False,0.0,development,37
model,crossing,4.882180392282005,0.8698810019652079,96.53683227753992,port,,True,collision:boundary,True,False,25,-410.2782943847269,-44.623776569423086,14,5,0,0,4,5.18848230249909,2.515315477540036,0.0,0.0,1.4422172351620908,0.4468839336266719,0.8050971372793054,1.5668832816182847,1,"8(e) in extremis: crossing, compliant alteration inadmissible (DCPA 0.49 m, TCPA 4.6 s)",False,crossing,19,1.0,True,0.0,development,38
model,crossing,4.159052935705747,1.804027892232582,217.08416514541523,starboard,,True,collision:obstacle,True,False,22,-389.6047864472953,-11.489401867591079,5,6,0,0,6,1.2930584587829022,0.3080243611055985,0.0,0.0,0.7920093131428887,0.8689200609650805,1.0433632562194812,2.334553867005387,0,,False,crossing,7,0.0,False,0.0,development,39
model,overtaking,9.556232149411287,0.16856401487441053,1.6101026039999748,,,,goal,False,False,64,40.150486119512045,-60.92442482242453,14,2,34,0,12,2.7216238621866884,0.13829410882165505,10.87148456351483,0.0,1.6956636527288484,0.6040882740776203,0.9691007965360413,1.6051223397284575,0,,False,overtaking,41,0.0,False,0.0,development,40
model,overtaking,5.7479461611789,1.2248627607666025,-2.509384418720579,,,,goal,False,False,61,44.84553821128555,-56.29871808386603,17,0,46,0,6,1.2036199515263515,0.0,13.68468461266542,0.0,0.23909660404779798,0.6196984256745929,0.8332136277347586,2.234407636039529,0,,False,overtaking,47,0.0,False,0.0,development,41
model,overtaking,7.111260720178818,1.545817447677813,0.5482643252125285,,,,goal,False,False,54,89.35221467691916,-6.8894224329777956,13,0,0,0,0,1.3918025117126858,0.0,0.0,0.0,0.0,0.7116576930135962,0.8605787909818224,2.9542608900900786,0,,False,overtaking,33,0.0,False,0.0,development,42
