policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,goal,False,False,72,51.70480455348226,-9.668440355774726,15,0,0,0,3,1.7102004339904304,0.0,0.0,0.0,0.26732182389379894,0.5309509425201787,0.8221130052492193,2.004800356786583,0,,False,head_on,29,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,59,102.43896357140731,-7.283645985503909,11,0,0,0,2,1.304504585205032,0.0,0.0,0.0,0.18363295305311086,0.6652413390352001,0.8836320248801747,2.2176144447530453,0,,False,head_on,26,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,68,70.88670411672251,-20.167812188232034,11,0,3,0,7,2.7399736268971675,0.0,0.4550271047564387,0.0,1.1037433684373048,0.5903749044969726,0.8935817927896541,1.119497627010744,0,,False,head_on,30,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,58,136.81958993474734,-4.193162316061682,12,0,0,0,3,0.6532718376464349,0.0,0.0,0.0,0.21321482660262875,0.648279749730946,0.7999277186023643,2.631448247868549,0,,False,head_on,25,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,55,98.01258181342784,-12.514293492139716,8,0,0,0,9,1.275624227242908,0.0,0.0,0.0,1.3777674593971827,0.6940073065603669,0.9230821038641506,2.2914373497660807,0,,False,head_on,17,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,62,71.53229141269956,-14.290466048775873,9,0,2,0,7,1.5942687502789403,0.0,0.06302680529868698,0.0,1.3715420524044095,0.6390852845831415,0.9203338580958436,1.3687296926587296,0,,False,head_on,29,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,62,121.04387509115097,-8.438920576144248,9,0,0,0,1,1.539345369324203,0.0,0.0,0.0,0.18203577733098733,0.6353628645391944,0.7597369698984426,1.9907129293817214,0,,False,head_on,22,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,goal,False,False,53,81.88904037249924,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7358423194539981,1.018280812134439,2.145130905755844,0,,False,never,0,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,60,122.07799561587782,-5.16085249125704,11,0,0,0,3,0.692938883947649,0.0,0.0,0.0,0.38462333682581695,0.6264127097287828,0.8038190591739656,2.425146948088107,0,,False,head_on,24,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,61,60.463406223344144,-5.129227710069119,7,0,0,0,2,0.7818943685142601,0.0,0.0,0.0,0.2797445746496736,0.6482492959473292,0.9706818608565982,2.6283508111696245,0,,False,head_on,23,0.0,False,0.0,development,9
