policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,goal,False,False,55,5.85987051619621,-31.4064038753095,11,0,1,0,3,5.605454774873336,0.0,0.09536481845019933,0.0,0.7369087540590593,0.6983219470363367,0.8672116168983776,1.943778422524113,0.5153413957322254,0,,False,head_on,24,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,61,94.33502328515152,-28.108663517718625,13,0,5,0,3,4.703963348930272,0.0,0.7355464756264818,0.0,0.48357280627965427,0.6530345129383888,0.8764725557354998,2.1354417652084052,1.0499573429335072,0,,False,head_on,27,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,60,58.56586496746404,-52.14343767695931,14,0,2,0,9,8.197270667311214,0.0,0.6654744530123107,0.0,2.0380532984276636,0.6739385655658626,0.8840398196423177,1.2838108017711878,1.1433008390589907,0,,False,head_on,28,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,61,116.98875942123928,-14.451216572109677,8,0,1,0,2,2.50197006737952,0.0,0.037964187446172276,0.0,0.42884303639440613,0.6423646397858394,0.8534414344874464,2.9992957260858364,0.6711661847161411,0,,False,head_on,24,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,57,101.88358360829923,-14.61593279913154,8,0,0,0,2,2.396765002677741,0.0,0.0,0.0,0.6115435635281609,0.6837915709056326,0.8961653100329359,1.942374989742675,0.853280213309238,0,,False,head_on,18,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,59,59.75116483392848,-43.53708410517864,15,0,8,0,9,6.5599115178042275,0.0,1.7785372348477457,0.0,1.0361751214657378,0.6754189134927352,0.9078781934759884,1.4380171025640331,1.1233415988798185,0,,False,head_on,27,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,61,87.16426748305663,-31.8532533482296,10,0,0,0,4,5.951548012049034,0.0,0.0,0.0,0.5317979307970832,0.6626039957200787,0.8827420275074458,2.6882147842825916,1.1077659741608208,0,,False,head_on,23,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,goal,False,False,56,-5.7510704468940474,-64.43100277287716,9,0,10,0,10,6.81548510524354,0.0,2.5456606695804673,0.0,4.7844384647626566,0.7226190752617084,1.0047401534358065,1.4732013548211198,1.7810328648238123,0,,False,head_on,10,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,53,95.26499820045527,-17.252159542941378,7,0,0,0,4,2.6661908978990674,0.0,0.0,0.0,0.9010032440757761,0.7137511948860391,0.8913523675513516,2.4082092529540606,0.3214467835491871,0,,False,head_on,18,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,54,45.94794983637428,-5.228886230679066,5,0,0,0,5,0.4229629356316524,0.0,0.0,0.0,0.6967154887338637,0.7205052130440477,0.9161717396089755,2.942600459949606,1.93645478035814,0,,False,head_on,22,0.0,False,0.0,development,9
