#{"t_start": 1789347209.8203492, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-327.3368,20,20.607662,False,True,no_target
-308.71527,31,21.002746,False,True,no_target
-305.0483,31,21.002746,False,True,no_target
-315.0383,31,21.002746,False,True,no_target
-368.17398,35,21.151673,False,True,no_target
-318.5972,20,21.332487,False,True,no_target
-316.27942,22,21.755539,False,True,no_target
-328.95343,54,21.784494,False,True,no_target
-305.87656,56,21.851583,False,True,no_target
-354.25275,61,22.066175,False,True,no_target
57.2342,61,22.066175,True,False,no_target
-304.69977,36,22.300771,False,True,no_target
-313.60315,29,22.366976,False,True,no_target
-368.20395,78,22.668733,False,True,no_target
-326.58398,33,22.936983,False,True,no_target
-332.83417,28,23.051877,False,True,no_target
-300.27133,35,23.301046,False,True,no_target
-347.3777,69,23.44085,False,True,no_target
-324.1477,66,23.475672,False,True,no_target
137.35867,55,23.843089,True,False,no_target
-315.2569,47,23.959054,False,True,no_target
-323.62894,26,24.021262,False,True,no_target
-302.80783,62,24.065734,False,True,no_target
-357.36478,52,24.563218,False,True,no_target
-344.46677,67,24.763805,False,True,no_target
-349.34647,38,24.830684,False,True,no_target
-340.22467,33,25.202228,False,True,no_target
-314.91794,53,25.392766,False,True,no_target
97.99988,59,25.441027,True,False,no_target
-348.6998,70,25.481484,False,True,no_target
89.027534,57,26.111706,True,False,no_target
-344.35263,56,26.111706,False,True,no_target
-328.76868,63,26.215443,False,True,no_target
-304.09354,37,26.841846,False,True,no_target
-350.76028,44,27.132926,False,True,no_target
-392.3977,64,27.182123,False,True,no_target
-322.6984,70,27.182123,False,True,no_target
-325.17572,63,27.226828,False,True,no_target
117.89138,54,27.313088,True,False,no_target
-337.36414,37,27.480333,False,True,no_target
-321.99997,62,27.814019,False,True,no_target
-334.8348,40,28.257782,False,True,no_target
-377.67923,70,28.622269,False,True,no_target
-300.50406,36,28.729509,False,True,no_target
-328.33704,43,28.806457,False,True,no_target
-328.20895,80,29.095508,False,True,no_target
134.79535,58,29.228153,True,False,no_target
-312.2452,39,29.228153,False,True,no_target
137.01192,58,29.308942,True,False,no_target
-339.57388,64,29.510171,False,True,no_target
-332.84814,64,29.510171,False,True,no_target
-313.52414,28,29.864546,False,True,no_target
84.176994,56,30.325052,True,False,no_target
-318.08353,30,30.325052,False,True,no_target
-318.87473,27,30.458805,False,True,no_target
-326.74304,35,30.734468,False,True,no_target
127.1906,65,31.024458,True,False,no_target
-328.68106,69,31.27999,False,True,no_target
-317.61008,14,31.27999,False,True,no_target
