#{"t_start": 1789676109.9945467, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-312.3464,29,23.356508,False,True,no_target
-338.93472,30,23.397063,False,True,no_target
91.61451,52,24.234225,True,False,no_target
111.262436,56,24.41031,True,False,no_target
74.05931,58,24.553058,True,False,no_target
118.04919,60,24.729821,True,False,no_target
75.79099,61,24.846001,True,False,no_target
-379.3556,66,25.338333,False,True,no_target
-342.2873,68,25.54048,False,True,no_target
-414.34225,71,25.867933,False,True,no_target
-314.38306,20,26.887597,False,True,no_target
-341.32684,22,27.316846,False,True,no_target
90.67434,56,27.55012,True,False,no_target
-322.33572,19,28.204269,False,True,no_target
-431.40067,38,29.051516,False,True,no_target
-322.6744,21,29.882487,False,True,no_target
-319.909,40,32.460996,False,True,no_target
107.181595,76,37.34548,True,False,no_target
-372.96918,29,41.219069,False,True,head_on
-300.33694,28,42.95822,False,True,head_on
-343.5036,39,43.850407,False,True,null
-460.71957,57,44.042086,False,True,no_target
-852.9716,69,44.728498,False,True,no_target
-341.8393,31,47.608114,False,True,head_on
-470.13965,54,50.08268,False,True,head_on
58.593395,57,53.821819,True,False,head_on
106.754,55,54.986928,True,False,no_target
-352.39258,31,55.585686,False,True,head_on
-355.85092,18,57.963413,False,True,crossing
-319.1159,29,59.992206,False,True,no_target
-357.6401,46,63.104805,False,True,null
-336.19324,28,63.451253,False,True,overtaking
-332.53406,23,64.515589,False,True,crossing
-333.6996,18,64.660356,False,True,crossing
-572.1176,76,65.935676,False,True,no_target
136.21042,59,66.304291,True,False,null
-392.10815,65,67.424182,False,True,no_target
-304.5066,15,67.424182,False,True,crossing
-387.76874,68,68.817645,False,True,null
62.704296,56,72.445951,True,False,head_on
-496.05444,32,74.136772,False,True,head_on
-332.0411,25,74.925674,False,True,being_overtaken
53.256325,63,74.925674,True,False,overtaking
-322.70013,29,76.516519,False,True,null
-365.15756,38,76.961014,False,True,head_on
-325.66608,33,79.461188,False,True,crossing
-328.24887,22,83.468513,False,True,no_target
-352.50534,20,83.468513,False,True,crossing
127.45314,63,83.97665,True,False,no_target
-488.31857,48,86.291403,False,True,head_on
-15.811922,55,86.729306,True,False,head_on
-371.57083,28,89.193298,False,True,null
-369.79474,37,89.57967,False,True,head_on
-359.72235,20,90.429734,False,True,crossing
-326.13947,13,93.062912,False,True,crossing
-380.23938,61,96.095009,False,True,being_overtaken
47.913074,61,96.574195,True,False,overtaking
-376.4959,80,98.499594,False,True,head_on
-327.66376,33,101.669166,False,True,no_target
-503.7848,44,101.669166,False,True,crossing
-420.5956,57,102.820715,False,True,head_on
-406.08286,47,104.439544,False,True,head_on
-565.1978,59,107.005908,False,True,null
-345.37228,38,107.892701,False,True,overtaking
-332.07132,17,108.741404,False,True,being_overtaken
-370.0267,73,110.217156,False,True,overtaking
-389.44016,33,110.217156,False,True,head_on
-316.00818,30,113.229676,False,True,overtaking
-393.54538,43,115.772245,False,True,no_target
-398.51663,43,116.456489,False,True,no_target
-338.21152,30,116.997165,False,True,being_overtaken
-334.71503,36,117.306863,False,True,being_overtaken
-480.8516,29,117.306863,False,True,crossing
-353.00443,35,118.294215,False,True,being_overtaken
-322.8826,34,120.06385,False,True,no_target
-329.03015,17,122.401686,False,True,crossing
-390.65607,71,122.621631,False,True,null
-313.37985,17,123.809407,False,True,no_target
-310.7994,17,125.018576,False,True,crossing
-332.86276,21,125.018576,False,True,crossing
-316.084,18,126.593776,False,True,no_target
-319.1228,13,127.926878,False,True,crossing
-563.67377,41,128.955103,False,True,no_target
-339.73508,16,128.955103,False,True,crossing
-330.6488,23,129.444092,False,True,null
46.610977,61,129.444092,True,False,overtaking
-339.97513,37,129.444092,False,True,head_on
19.283886,58,131.19804,True,False,head_on
-342.5805,13,131.19804,False,True,crossing
-347.24115,14,132.151953,False,True,crossing
-426.60513,41,133.324196,False,True,null
-308.03613,24,133.735585,False,True,crossing
-324.04605,26,134.175425,False,True,no_target
-378.00354,31,137.318059,False,True,overtaking
-313.33398,23,137.85852,False,True,crossing
-701.67065,62,139.504848,False,True,no_target
-329.88406,12,140.092003,False,True,crossing
-295.63403,22,174.141886,False,True,head_on
-336.26468,26,174.672343,False,True,head_on
-335.4268,22,175.087651,False,True,head_on
-440.15518,49,177.754179,False,True,head_on
-417.91782,61,178.640424,False,True,overtaking
-325.72177,15,180.213264,False,True,no_target
-324.31738,14,180.520205,False,True,null
-325.9271,17,181.562662,False,True,crossing
-329.2822,25,183.515284,False,True,being_overtaken
-388.45743,63,183.785436,False,True,crossing
-359.1668,16,184.078034,False,True,crossing
-366.22897,72,184.581914,False,True,head_on
-472.5619,33,184.581914,False,True,crossing
-377.3617,58,187.430992,False,True,being_overtaken
-320.9934,27,187.430992,False,True,head_on
-319.61542,16,187.696998,False,True,crossing
-435.79047,55,189.024164,False,True,no_target
21.566837,50,189.951147,True,False,crossing
-351.5445,25,190.339053,False,True,crossing
-318.12955,14,193.731268,False,True,no_target
-303.6308,27,194.421557,False,True,head_on
-423.45956,36,195.319264,False,True,no_target
-310.86414,25,195.319264,False,True,null
-328.33945,34,195.590865,False,True,overtaking
118.738075,61,203.224851,True,False,crossing
-359.4468,34,203.617464,False,True,crossing
-352.97748,26,205.592078,False,True,being_overtaken
-350.57993,30,206.898741,False,True,no_target
-684.113,42,208.470813,False,True,no_target
-326.0135,20,209.365271,False,True,crossing
-450.99524,41,210.106373,False,True,being_overtaken
