#{"t_start": 1789422961.366761, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-330.92874,13,2.281556,False,True,crossing
-317.04916,13,2.281556,False,True,being_overtaken
-357.07666,20,2.689509,False,True,null
-315.47482,24,2.902841,False,True,crossing
-310.8821,16,3.227134,False,True,crossing
-359.4552,16,3.227134,False,True,being_overtaken
-326.95078,31,3.379358,False,True,null
-283.0519,34,3.547969,False,True,head_on
-483.37656,35,3.766804,False,True,crossing
-305.0337,17,3.901014,False,True,crossing
-321.72986,13,3.901014,False,True,crossing
-354.08594,21,4.530992,False,True,no_target
-354.4752,16,4.714789,False,True,being_overtaken
-348.38303,54,4.763604,False,True,no_target
-332.434,22,5.149692,False,True,crossing
-378.4361,58,5.217633,False,True,being_overtaken
49.499996,61,5.395905,True,False,no_target
-351.81778,17,6.134987,False,True,crossing
-317.58127,16,6.134987,False,True,crossing
-335.6248,24,6.300989,False,True,head_on
-378.08157,23,6.300989,False,True,head_on
-455.38986,50,6.779161,False,True,no_target
-342.05908,40,7.025474,False,True,no_target
-352.91727,19,7.303183,False,True,crossing
-448.67346,67,7.303183,False,True,null
-404.842,69,7.490011,False,True,crossing
-406.12885,19,8.024675,False,True,crossing
-376.80374,72,8.024675,False,True,head_on
-328.2785,14,8.271845,False,True,crossing
-291.58313,18,8.701896,False,True,crossing
-611.72375,48,8.874341,False,True,crossing
-341.14264,37,9.118889,False,True,head_on
-575.8625,66,9.118889,True,False,no_target
-460.80646,51,9.184533,True,False,overtaking
-319.74506,18,9.184533,False,True,no_target
-517.7964,55,9.234935,False,True,crossing
-306.1813,33,9.807384,False,True,no_target
-323.0416,13,9.970628,False,True,overtaking
-453.32632,39,10.134244,False,True,crossing
-368.893,25,10.249431,False,True,being_overtaken
-520.3586,53,10.361885,False,True,crossing
-465.65765,42,11.402058,False,True,overtaking
-407.35565,42,11.448017,False,True,crossing
-324.79877,32,11.754946,False,True,overtaking
-470.91257,55,11.984138,False,True,head_on
-368.06375,69,12.261864,False,True,no_target
-312.02255,17,12.261864,False,True,no_target
-562.2995,48,12.64787,False,True,crossing
-319.78827,27,12.697116,False,True,head_on
-447.48877,70,12.822307,False,True,no_target
-340.20007,22,12.872991,False,True,being_overtaken
-311.7047,61,13.08037,True,False,overtaking
-323.27713,25,13.31056,False,True,overtaking
-340.25876,22,13.433128,False,True,being_overtaken
-360.96948,73,13.593872,False,True,head_on
-370.23352,66,13.737294,False,True,null
-343.1601,33,14.006835,False,True,no_target
-344.93942,29,14.268283,False,True,no_target
-304.09454,15,14.268283,False,True,crossing
-345.14926,29,14.323749,False,True,overtaking
-345.05505,20,14.469765,False,True,being_overtaken
-300.7821,12,14.469765,False,True,being_overtaken
-332.34335,24,15.005905,False,True,head_on
-296.02322,33,15.005905,False,True,overtaking
-303.941,12,15.066831,False,True,being_overtaken
-324.3569,16,15.926583,False,True,no_target
-344.2776,22,16.381944,False,True,crossing
-351.898,25,16.755352,False,True,overtaking
113.14261,57,16.987616,True,False,null
-557.7143,56,16.987616,False,True,crossing
-365.4477,36,17.089554,False,True,null
-338.20505,22,17.26441,False,True,being_overtaken
-340.5092,26,17.635489,False,True,no_target
-331.7949,18,17.721496,False,True,being_overtaken
-344.6962,26,17.858344,False,True,crossing
-295.0403,16,18.302821,False,True,crossing
-301.95758,19,19.214915,False,True,crossing
-343.9922,20,19.633347,False,True,being_overtaken
-663.1468,66,19.71415,False,True,being_overtaken
-338.33307,31,19.845171,False,True,overtaking
-362.05905,41,19.896024,False,True,overtaking
-582.1191,52,20.395828,False,True,overtaking
-364.47348,70,20.51543,False,True,null
-406.1302,54,20.879345,False,True,no_target
-308.7428,28,21.334189,False,True,crossing
-405.89597,36,21.405012,False,True,head_on
-314.50397,15,21.791529,False,True,being_overtaken
-299.18707,34,21.791529,False,True,head_on
-855.85034,73,21.852871,False,True,overtaking
-373.86206,25,22.29339,False,True,crossing
-340.1798,28,22.641214,False,True,no_target
-549.4048,72,22.870654,False,True,null
-410.26547,42,23.012422,False,True,overtaking
-320.86203,15,23.315313,False,True,crossing
-302.46475,21,23.315313,False,True,crossing
-331.0654,16,23.38585,False,True,no_target
-324.87674,16,23.64814,False,True,null
-322.7713,14,23.950119,False,True,no_target
-408.88895,40,24.721307,False,True,head_on
-264.3365,67,25.60829,True,False,head_on
-373.9549,36,26.03569,False,True,null
-302.10657,24,26.253673,False,True,crossing
-323.48407,29,26.315948,False,True,head_on
-331.12277,45,26.376672,False,True,overtaking
-328.7798,41,26.569861,False,True,head_on
-411.02652,24,28.038817,False,True,no_target
-377.63058,45,28.038817,False,True,crossing
-324.49542,15,28.140064,False,True,crossing
-330.5339,20,28.372926,False,True,being_overtaken
-387.48438,22,28.792507,False,True,being_overtaken
-346.1543,15,29.416367,False,True,crossing
84.99438,56,29.609441,True,False,head_on
-403.5364,67,29.748451,False,True,crossing
-338.48352,24,29.942689,False,True,no_target
-308.2278,31,30.982737,False,True,overtaking
66.33843,61,31.275718,True,False,null
-355.83896,27,31.596954,False,True,head_on
-372.72025,40,31.795687,False,True,head_on
98.41791,61,31.899983,True,False,overtaking
-325.45483,18,31.899983,False,True,crossing
-324.26166,27,32.686795,False,True,head_on
-310.3167,30,32.686795,False,True,null
-297.74237,14,33.440639,False,True,crossing
-310.68726,23,33.73369,False,True,head_on
-358.31195,28,33.799171,False,True,head_on
-312.9748,19,34.17254,False,True,being_overtaken
-409.00726,85,34.352515,False,True,head_on
-342.52805,23,34.653509,False,True,overtaking
-415.02127,41,34.653509,False,True,null
-408.71906,44,35.755577,False,True,crossing
-326.9679,15,35.755577,False,True,being_overtaken
-392.1342,66,35.868758,False,True,crossing
-310.0338,24,36.197035,False,True,crossing
-309.29874,24,36.430329,False,True,head_on
-322.49222,16,36.764292,False,True,being_overtaken
-324.11975,16,37.118878,False,True,no_target
-384.35855,72,37.564074,False,True,no_target
-1215.3715,58,37.86066,False,True,crossing
-313.91925,73,43.466099,False,True,no_target
-341.10217,45,43.527846,False,True,being_overtaken
43.64248,59,44.105458,True,False,null
-332.6613,35,44.105458,False,True,being_overtaken
-302.60162,30,44.229653,False,True,overtaking
-395.9711,72,44.385279,False,True,head_on
-337.7301,28,44.509239,False,True,being_overtaken
-309.06216,16,45.088351,False,True,being_overtaken
22.263042,62,45.150253,True,False,null
-363.5964,38,45.47905,False,True,null
-336.48096,19,45.912183,False,True,no_target
-345.34906,24,46.03571,False,True,being_overtaken
-343.9213,29,46.17939,False,True,overtaking
-294.86313,28,46.41802,False,True,head_on
-345.03094,13,46.924401,False,True,crossing
-330.62183,23,47.183765,False,True,head_on
-398.78238,60,47.412367,False,True,overtaking
-356.19757,52,47.651213,False,True,overtaking
-427.95956,36,47.651213,False,True,head_on
-326.99002,15,48.935739,False,True,no_target
-310.1296,19,48.935739,False,True,crossing
44.71972,63,49.202739,True,False,head_on
-410.4371,46,49.707548,False,True,no_target
130.57831,59,50.700318,True,False,no_target
-464.33875,43,50.700318,False,True,overtaking
-331.24487,15,50.700318,False,True,no_target
-293.7977,31,51.804638,False,True,head_on
-306.39575,33,52.085206,False,True,crossing
-381.65366,23,52.880945,False,True,crossing
-321.52582,23,53.776461,False,True,crossing
-310.66156,13,53.926355,False,True,being_overtaken
-326.90347,40,53.926355,False,True,crossing
-336.3706,29,54.187624,False,True,no_target
-391.01154,81,54.350282,False,True,null
-343.18597,20,54.350282,False,True,crossing
-356.79358,32,54.468683,False,True,being_overtaken
-408.8814,25,54.805693,False,True,head_on
-323.42358,11,54.980727,False,True,head_on
71.56028,68,55.44695,True,False,head_on
-322.232,15,55.681637,False,True,being_overtaken
-439.9798,20,56.18575,False,True,null
-382.68796,24,56.351868,False,True,crossing
-335.40637,31,56.802501,False,True,crossing
-526.51984,81,58.042936,False,True,overtaking
-317.90796,18,58.835772,False,True,no_target
-470.20947,47,59.457335,False,True,head_on
-520.59357,67,60.274698,False,True,null
57.83371,66,60.426753,True,False,head_on
-492.89645,66,60.716743,False,True,head_on
-337.2361,41,60.716743,False,True,overtaking
-356.20822,42,60.924468,False,True,null
-302.10214,4,61.007349,False,True,being_overtaken
121.211655,65,61.131037,True,False,crossing
-323.638,16,61.517977,False,True,being_overtaken
-335.56055,23,62.002601,False,True,crossing
-571.8558,73,62.603629,False,True,no_target
-602.62024,48,63.058542,False,True,overtaking
