#{"t_start": 1789423487.3895488, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-344.1325,12,2.728375,False,True,crossing
-316.49545,16,3.090317,False,True,crossing
-334.2039,23,3.859109,False,True,null
-319.08914,29,4.528658,False,True,no_target
-316.03177,32,4.830715,False,True,null
-338.80905,33,4.939071,False,True,crossing
-366.1556,41,5.736427,False,True,being_overtaken
-242.70439,51,6.82668,True,False,head_on
23.653446,53,8.1814,True,False,overtaking
-446.8507,44,8.903131,False,True,crossing
-438.1783,44,9.148297,False,True,overtaking
-384.4799,61,9.512853,False,True,head_on
-338.50964,16,9.829275,False,True,crossing
-370.7432,39,10.664573,False,True,null
73.418,59,10.874767,True,False,no_target
-870.6299,72,11.135926,False,True,head_on
-335.11285,23,11.588124,False,True,being_overtaken
61.34297,58,11.588124,True,False,no_target
-327.91858,30,11.970245,False,True,null
-379.92892,17,12.584158,False,True,being_overtaken
-340.5692,19,13.88871,False,True,being_overtaken
-412.57785,52,14.866649,True,False,head_on
21.528961,57,15.275919,True,False,head_on
-347.81732,41,15.421684,False,True,being_overtaken
-400.0005,41,15.712257,False,True,crossing
-429.73868,53,15.97334,False,True,no_target
-305.6823,11,16.676024,False,True,being_overtaken
-466.56302,44,16.867418,False,True,being_overtaken
-491.958,58,17.250079,False,True,being_overtaken
-346.03284,24,17.745618,False,True,head_on
-310.69855,29,18.014501,False,True,null
-377.29486,35,18.705544,False,True,overtaking
-624.2946,50,18.789587,False,True,no_target
-316.8205,17,19.023514,False,True,null
-316.49585,20,19.201773,False,True,crossing
-388.42343,29,19.464834,False,True,crossing
-363.6937,22,19.831168,False,True,head_on
-355.9226,14,19.934748,False,True,being_overtaken
-444.90634,59,22.388816,False,True,head_on
-431.964,69,22.388816,False,True,head_on
-294.06506,32,22.682857,False,True,overtaking
-384.65393,39,23.292013,False,True,crossing
-236.51201,52,23.578382,True,False,overtaking
67.0702,61,24.087557,True,False,head_on
66.51917,58,24.363116,True,False,null
-307.487,28,24.697106,False,True,null
-646.0914,65,25.087529,False,True,head_on
-326.16718,24,25.302501,False,True,crossing
-436.15454,29,25.921295,False,True,no_target
-347.50696,21,25.921295,False,True,head_on
-343.16147,19,26.143947,False,True,crossing
-324.58432,26,26.143947,False,True,no_target
28.838123,57,27.036604,True,False,crossing
-432.13684,28,27.688777,False,True,no_target
-800.618,68,28.369778,False,True,overtaking
-677.927,41,28.535119,False,True,overtaking
-466.53583,33,29.026235,False,True,crossing
-324.50494,28,29.50057,False,True,overtaking
-318.93744,14,29.630329,False,True,being_overtaken
-330.84747,16,30.979211,False,True,being_overtaken
-332.44943,28,31.060038,False,True,head_on
-331.6165,24,31.739768,False,True,head_on
-568.76056,68,31.912981,False,True,head_on
-318.09122,17,32.430747,False,True,no_target
-374.11716,73,32.604312,False,True,overtaking
-309.49405,78,32.779876,True,False,overtaking
-443.28992,63,33.19756,False,True,head_on
-367.15402,20,33.59647,False,True,no_target
-350.66617,27,34.02059,False,True,head_on
-329.03253,15,34.02059,False,True,being_overtaken
-345.53592,13,34.734766,False,True,crossing
-333.1831,27,34.93728,False,True,head_on
-440.52063,67,34.93728,False,True,overtaking
-344.79153,24,35.310831,False,True,being_overtaken
-347.00568,34,35.402344,False,True,crossing
-425.5589,50,35.402344,False,True,overtaking
-301.2953,23,36.13326,False,True,crossing
-333.4835,15,36.288363,False,True,crossing
-360.65994,24,36.807837,False,True,crossing
-331.5282,15,37.301807,False,True,crossing
-288.36996,27,37.735867,False,True,overtaking
-317.0504,11,37.889938,False,True,crossing
-359.00104,43,38.802619,False,True,head_on
-311.47742,32,38.802619,False,True,overtaking
-471.40668,57,38.802619,False,True,no_target
-344.04532,41,40.461904,False,True,head_on
-575.3291,69,40.461904,False,True,no_target
-389.23666,26,40.756685,False,True,head_on
-388.28848,73,41.096408,False,True,no_target
-394.43015,32,41.171634,False,True,being_overtaken
-325.06485,33,41.245177,False,True,no_target
-488.195,47,41.245177,False,True,crossing
-321.78732,13,42.464049,False,True,no_target
-329.3082,25,42.684401,False,True,crossing
-324.15735,15,42.763887,False,True,being_overtaken
-472.71713,65,42.964715,False,True,null
-394.7352,28,42.964715,False,True,crossing
-350.24118,24,42.964715,False,True,no_target
-319.86118,12,43.464118,False,True,null
-476.53833,24,43.464118,False,True,overtaking
-346.93622,17,44.248611,False,True,crossing
-304.74472,21,44.862098,False,True,head_on
-611.8765,51,45.867269,False,True,no_target
-339.71506,14,45.943076,False,True,crossing
-323.20132,30,46.014915,False,True,no_target
-450.73166,40,46.166088,False,True,head_on
-366.13495,34,46.312191,False,True,being_overtaken
-323.7783,20,47.825257,False,True,crossing
7.4686832,56,47.940844,True,False,crossing
-360.39618,24,50.260629,False,True,head_on
-143.31078,65,50.546835,True,False,no_target
-418.99954,39,51.506937,False,True,crossing
-334.60483,30,52.020572,False,True,no_target
-325.05853,27,52.138671,False,True,being_overtaken
-404.01764,75,52.279749,False,True,head_on
-24.313377,55,52.421532,True,False,crossing
-359.2255,49,53.493985,False,True,no_target
-415.39035,28,53.762209,False,True,no_target
-549.0802,72,54.017577,False,True,head_on
-294.80652,26,54.279103,False,True,crossing
89.50895,53,54.695563,True,False,crossing
-326.20868,19,55.055772,False,True,no_target
-346.21988,39,55.761707,False,True,head_on
-316.40207,20,56.206752,False,True,no_target
-469.03574,45,56.304959,False,True,head_on
-313.67752,26,56.493757,False,True,null
-373.13208,36,57.128396,False,True,head_on
-455.3553,61,57.484187,False,True,overtaking
-337.0916,33,58.179113,False,True,overtaking
-295.62433,22,58.179113,False,True,head_on
-327.58713,26,58.750028,False,True,overtaking
-322.9057,19,59.161008,False,True,no_target
-324.4408,16,59.600838,False,True,null
-306.24173,16,59.600838,False,True,being_overtaken
-323.02487,14,60.722245,False,True,crossing
-880.4708,60,61.01395,False,True,no_target
113.940796,56,61.095439,True,False,no_target
-489.09607,76,61.455585,False,True,overtaking
-327.17673,24,61.564523,False,True,overtaking
-318.06592,34,62.422791,False,True,overtaking
-307.29666,15,63.096369,False,True,crossing
-356.28214,68,63.261728,False,True,overtaking
-685.35284,50,63.338207,False,True,crossing
-316.56357,14,63.553643,False,True,being_overtaken
-362.88577,33,64.672358,False,True,head_on
-355.90143,30,64.857113,False,True,crossing
-453.78287,38,65.039409,False,True,head_on
-416.38202,51,65.824273,False,True,overtaking
-434.67236,27,65.824273,False,True,crossing
-378.5318,30,66.293854,False,True,head_on
-341.22232,20,66.686557,False,True,null
-317.67816,12,67.045898,False,True,crossing
-326.47278,24,67.242347,False,True,head_on
-323.07736,18,67.97768,False,True,crossing
95.6277,54,68.41657,True,False,head_on
-460.02036,29,68.769575,False,True,crossing
-436.62756,59,69.061176,False,True,being_overtaken
-477.1672,49,69.147819,False,True,overtaking
-314.5542,18,69.509805,False,True,being_overtaken
-331.29388,14,70.181634,False,True,crossing
77.03035,59,70.828032,True,False,no_target
-301.53748,12,71.285775,False,True,being_overtaken
-335.51974,21,71.285775,False,True,no_target
-394.0322,36,71.520926,False,True,head_on
-375.4061,35,71.798398,False,True,no_target
-531.7243,64,72.34514,False,True,no_target
-418.99927,41,72.499767,False,True,crossing
-394.2166,70,73.307137,False,True,head_on
-331.7966,23,73.541702,False,True,head_on
-409.41275,26,74.068533,False,True,overtaking
-321.3807,27,74.435753,False,True,head_on
-361.99728,23,74.803896,False,True,being_overtaken
-352.55255,22,74.885493,False,True,being_overtaken
-305.48077,19,75.36912,False,True,being_overtaken
-405.14816,26,75.801348,False,True,overtaking
-325.1073,16,76.194229,False,True,crossing
-386.5331,22,76.352313,False,True,null
-722.39557,58,76.818575,False,True,crossing
-329.58054,23,76.818575,False,True,null
-332.9973,36,77.284838,False,True,crossing
-13.482772,74,78.001277,True,False,crossing
-316.75256,18,78.433753,False,True,null
-367.53415,40,78.993564,False,True,no_target
-319.5311,25,79.094956,False,True,head_on
-348.2894,26,79.728123,False,True,crossing
-350.84793,41,80.167132,False,True,no_target
109.82105,53,80.583885,True,False,no_target
-320.24942,25,80.783653,False,True,null
-288.69595,24,81.210296,False,True,head_on
-29.041,57,81.480017,True,False,overtaking
-340.17368,18,83.306239,False,True,being_overtaken
-319.23138,15,83.30828,False,True,crossing
-330.7771,31,83.999724,False,True,overtaking
-439.6117,36,83.999724,False,True,no_target
-341.0124,52,84.391308,False,True,head_on
-323.05478,16,84.918437,False,True,no_target
-485.3301,72,85.056312,False,True,head_on
-319.3279,17,85.056312,False,True,no_target
-331.5706,20,86.049334,False,True,crossing
-313.95908,16,86.558047,False,True,no_target
104.6655,57,86.789161,True,False,null
-525.8412,70,86.964395,False,True,null
-309.5756,37,87.723694,False,True,no_target
-448.80182,34,88.609276,False,True,overtaking
-376.8299,27,88.924823,False,True,crossing
-350.98416,25,89.264228,False,True,overtaking
-370.38058,47,89.358457,False,True,crossing
-341.55997,30,89.891193,False,True,null
-349.12985,29,90.713642,False,True,overtaking
-320.02936,27,91.312705,False,True,overtaking
-383.39307,24,91.312705,False,True,head_on
-325.19965,12,92.54672,False,True,no_target
-366.384,75,92.723466,False,True,head_on
-449.4899,67,93.674745,False,True,head_on
-384.11584,49,94.005676,False,True,crossing
-360.53995,38,94.51244,False,True,being_overtaken
118.40688,59,95.526014,True,False,no_target
-376.089,68,95.77865,False,True,head_on
-461.55383,50,95.946652,False,True,no_target
-317.266,36,95.946652,False,True,no_target
-316.5996,29,96.312287,False,True,no_target
-453.67374,52,97.359302,False,True,head_on
-328.6978,17,97.473557,False,True,crossing
-379.96304,21,97.888893,False,True,being_overtaken
-346.69507,41,101.254438,False,True,head_on
-320.42645,18,102.226867,False,True,no_target
-338.659,20,102.326812,False,True,overtaking
-527.8506,57,102.443482,False,True,head_on
-325.65732,19,102.443482,False,True,being_overtaken
-319.18774,19,104.492495,False,True,crossing
-320.28436,31,104.663691,False,True,no_target
22.064312,61,105.191474,True,False,overtaking
-311.38116,27,105.191474,False,True,head_on
-358.07474,67,105.752447,False,True,overtaking
-560.78827,70,106.537818,False,True,overtaking
-357.46423,26,108.171219,False,True,being_overtaken
-322.85056,33,108.270314,False,True,null
-348.30063,28,108.374681,False,True,head_on
-356.01172,58,108.591225,False,True,being_overtaken
-352.95248,42,109.142966,False,True,no_target
-318.00095,18,110.962531,False,True,being_overtaken
-323.65182,19,111.1831,False,True,no_target
-382.5144,45,112.183099,False,True,head_on
-418.38983,77,112.183099,False,True,head_on
-464.58786,28,112.470953,False,True,being_overtaken
-390.6626,44,112.76478,False,True,head_on
-309.16907,13,113.610007,False,True,crossing
-320.67462,28,114.512349,False,True,overtaking
-332.02078,20,114.690462,False,True,crossing
-316.16315,29,115.125462,False,True,head_on
-742.6532,50,115.433188,False,True,overtaking
-427.09158,50,116.000547,False,True,overtaking
-310.50558,25,116.44202,False,True,head_on
-345.65054,41,116.732271,False,True,overtaking
-363.40054,24,117.18907,False,True,crossing
-320.32898,24,117.299808,False,True,null
-332.7763,15,117.472928,False,True,crossing
-323.55402,37,118.720047,False,True,null
-321.55963,25,118.835496,False,True,head_on
112.246574,59,119.044453,True,False,null
-361.60284,24,119.044453,False,True,head_on
-343.66306,10,120.21207,False,True,being_overtaken
-328.7823,32,120.625933,False,True,overtaking
-565.665,38,121.131549,False,True,overtaking
-516.35443,39,121.520467,False,True,overtaking
-294.4263,24,121.616417,False,True,crossing
-317.3962,15,122.064742,False,True,crossing
-369.58408,70,122.66394,False,True,crossing
-322.8159,35,123.819852,False,True,overtaking
-450.13016,19,124.108584,False,True,no_target
-335.5917,15,124.251981,False,True,crossing
26.591637,54,124.525742,True,False,crossing
-362.45306,29,124.525742,False,True,being_overtaken
42.055855,57,124.697583,True,False,head_on
-315.56833,31,124.786271,False,True,head_on
-328.43906,17,126.311213,False,True,crossing
-338.14966,25,126.851333,False,True,head_on
-391.10388,32,128.001886,False,True,no_target
-411.6769,66,128.095217,False,True,overtaking
-326.14603,32,128.327363,False,True,head_on
-649.929,44,128.540289,False,True,overtaking
-323.31424,37,130.089514,False,True,null
-5.0462,55,130.307503,True,False,head_on
101.36018,61,130.393501,True,False,crossing
-622.74475,55,132.068658,False,True,null
-320.47946,25,132.350261,False,True,head_on
-407.7396,36,133.518594,False,True,being_overtaken
-331.32663,16,133.68147,False,True,crossing
-474.44305,62,133.68147,False,True,overtaking
-691.7704,67,134.178812,False,True,no_target
-342.41467,68,134.498585,False,True,crossing
-322.71265,12,134.690777,False,True,crossing
-331.102,32,134.778446,False,True,overtaking
-319.7263,14,135.155601,False,True,crossing
-744.65546,77,135.155601,False,True,overtaking
-308.76022,17,135.234232,False,True,being_overtaken
-297.53793,10,135.380653,False,True,being_overtaken
-338.92752,18,136.848586,False,True,being_overtaken
-355.22543,19,137.088347,False,True,being_overtaken
-413.87875,73,137.294717,False,True,null
-614.3784,43,139.328508,False,True,overtaking
-616.92285,47,139.421056,False,True,being_overtaken
-352.07404,44,139.780589,False,True,head_on
47.20525,51,140.139589,True,False,overtaking
-328.59686,35,140.783298,False,True,no_target
-359.44467,26,141.834572,False,True,head_on
-296.23975,25,141.834572,False,True,head_on
-321.2223,23,141.992037,False,True,no_target
-789.2668,77,142.456783,False,True,overtaking
-774.6981,60,142.739749,False,True,head_on
-315.7503,15,143.199474,False,True,being_overtaken
-439.48663,64,143.320334,False,True,being_overtaken
-331.24924,26,144.35303,False,True,crossing
45.064407,57,145.304155,True,False,overtaking
-310.75113,27,145.559324,False,True,no_target
-347.94562,38,145.72355,False,True,overtaking
-349.83658,36,145.824939,False,True,overtaking
-485.39117,61,146.145639,False,True,being_overtaken
-303.4246,13,146.379284,False,True,being_overtaken
-312.5277,35,147.230782,False,True,no_target
-346.22568,20,147.499272,False,True,crossing
-318.09186,24,147.595497,False,True,crossing
-850.7754,69,147.794984,False,True,no_target
-337.25504,32,149.119403,False,True,overtaking
-385.56967,69,149.287948,False,True,overtaking
-330.6815,25,149.993711,False,True,no_target
-327.72855,46,149.993711,False,True,no_target
-381.01575,29,150.450757,False,True,no_target
-339.7232,40,151.083666,False,True,overtaking
-312.67422,35,151.208452,False,True,overtaking
-311.95447,32,152.243442,False,True,no_target
-546.37976,65,152.428285,False,True,overtaking
-372.20047,41,155.287232,False,True,being_overtaken
-378.80298,21,155.404908,False,True,being_overtaken
-314.46735,48,156.5169,False,True,no_target
-561.95465,34,158.093167,False,True,being_overtaken
94.96976,62,158.18217,True,False,no_target
-376.18314,71,158.467674,False,True,head_on
-221.90938,61,158.621272,True,False,overtaking
-333.74323,26,158.700809,False,True,no_target
102.545555,62,159.903435,True,False,head_on
-330.54126,19,160.375478,False,True,crossing
-342.15018,66,160.517656,False,True,overtaking
-324.64453,23,160.648394,False,True,head_on
-351.41895,15,161.35251,False,True,crossing
-605.1976,70,161.505307,False,True,no_target
-364.72723,15,161.877681,False,True,crossing
-345.8274,44,162.217029,False,True,no_target
-305.81433,39,162.432688,False,True,no_target
-329.7699,28,163.348469,False,True,being_overtaken
69.89127,58,163.579755,True,False,head_on
-331.13776,27,164.181184,False,True,head_on
-314.03555,21,165.58507,False,True,null
-364.19537,36,165.757893,False,True,head_on
-360.9277,49,166.083049,False,True,overtaking
-320.0338,28,166.681806,False,True,no_target
-334.3524,72,167.047298,False,True,head_on
-336.40887,42,167.047298,False,True,overtaking
97.9502,67,168.316255,True,False,overtaking
-302.85254,35,168.478375,False,True,overtaking
-297.7553,27,168.803211,False,True,crossing
-632.6645,81,169.029208,False,True,head_on
-322.0354,15,169.952358,False,True,being_overtaken
-378.47018,58,170.103948,False,True,no_target
-372.012,55,170.338977,False,True,overtaking
-356.20587,24,170.887829,False,True,head_on
-328.8981,16,171.335062,False,True,being_overtaken
-343.13327,20,171.846628,False,True,being_overtaken
65.069664,65,172.166726,True,False,overtaking
-420.0801,53,172.585781,False,True,head_on
-525.7011,26,172.858198,False,True,no_target
-875.7185,80,173.227138,False,True,crossing
-405.76913,44,173.297917,False,True,no_target
-848.9645,79,174.617995,False,True,no_target
-322.17203,25,174.714271,False,True,crossing
-531.5326,46,175.870007,False,True,null
-332.69492,30,175.870007,False,True,no_target
120.511406,57,175.979781,True,False,no_target
-322.5705,13,176.992797,False,True,crossing
-314.19052,14,177.176112,False,True,null
-322.79303,31,177.266299,False,True,being_overtaken
-340.4212,20,177.694183,False,True,being_overtaken
-428.6091,53,177.85655,False,True,overtaking
-322.29257,73,177.981304,False,True,no_target
14.6177435,62,178.125654,True,False,being_overtaken
-312.22815,23,178.89573,False,True,no_target
-332.18195,21,178.978017,False,True,crossing
-303.43823,13,179.132459,False,True,being_overtaken
-346.1968,21,179.283894,False,True,crossing
-316.2802,15,180.203125,False,True,being_overtaken
-342.5046,18,180.203125,False,True,crossing
-436.8293,74,180.510654,False,True,overtaking
-317.58017,25,181.133989,False,True,no_target
-301.79834,46,181.460334,False,True,overtaking
129.48674,63,182.184889,True,False,crossing
-628.6402,56,182.184889,True,False,crossing
