#{"t_start": 1789423211.4134636, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-330.92874,13,3.064577,False,True,crossing
-317.04916,13,3.064577,False,True,being_overtaken
-357.07666,20,3.919763,False,True,null
-315.47482,24,4.394831,False,True,crossing
-310.8821,16,5.073401,False,True,crossing
-359.4552,16,5.073401,False,True,being_overtaken
-326.95078,31,5.261677,False,True,null
-283.0519,34,5.561685,False,True,head_on
-483.37656,35,5.821475,False,True,crossing
-305.0337,17,5.989986,False,True,crossing
-321.72986,13,5.989986,False,True,crossing
-354.08594,21,7.238653,False,True,no_target
-354.4752,16,7.544217,False,True,being_overtaken
-348.38303,54,7.644702,False,True,no_target
-332.434,22,8.39399,False,True,crossing
-378.4361,58,8.486937,False,True,being_overtaken
49.499996,61,8.743823,True,False,no_target
-351.81778,17,9.912942,False,True,crossing
-317.58127,16,9.912942,False,True,crossing
-335.6248,24,10.204878,False,True,head_on
-378.08157,23,10.204878,False,True,head_on
-455.38986,50,11.092431,False,True,no_target
-342.05908,40,11.536729,False,True,no_target
-352.91727,19,12.072033,False,True,crossing
-448.67346,67,12.072033,False,True,null
-404.842,69,12.418417,False,True,crossing
-406.12885,19,13.392718,False,True,crossing
-376.80374,72,13.392718,False,True,head_on
-328.2785,14,13.68285,False,True,crossing
-291.58313,18,14.342211,False,True,crossing
-611.72375,48,14.725576,False,True,crossing
-341.14264,37,15.179367,False,True,head_on
-575.8625,66,15.179367,True,False,no_target
-460.80646,51,15.281548,True,False,overtaking
-319.74506,18,15.281548,False,True,no_target
-517.7964,55,15.360003,False,True,crossing
-306.1813,33,16.46752,False,True,no_target
-323.0416,13,16.691059,False,True,overtaking
-453.32632,39,16.941166,False,True,crossing
-368.893,25,17.135541,False,True,being_overtaken
-520.3586,53,17.324238,False,True,crossing
-465.65765,42,19.029878,False,True,overtaking
-407.35565,42,19.116977,False,True,crossing
-324.79877,32,19.64974,False,True,overtaking
-470.91257,55,20.032744,False,True,head_on
-368.06375,69,20.423401,False,True,no_target
-312.02255,17,20.423401,False,True,no_target
-562.2995,48,21.05637,False,True,crossing
-319.78827,27,21.146549,False,True,head_on
-447.48877,70,21.325606,False,True,no_target
-340.20007,22,21.414104,False,True,being_overtaken
-311.70468,61,21.706,True,False,overtaking
-323.27713,25,22.02307,False,True,overtaking
-340.25876,22,22.172746,False,True,being_overtaken
-360.96948,73,22.401735,False,True,head_on
-370.23352,66,22.632026,False,True,null
-343.1601,33,23.065325,False,True,no_target
-344.93942,29,23.398474,False,True,no_target
-304.09454,15,23.398474,False,True,crossing
-345.14926,29,23.489042,False,True,overtaking
-345.05505,20,23.638936,False,True,being_overtaken
-300.7821,12,23.638936,False,True,being_overtaken
-332.34335,24,24.289691,False,True,head_on
-296.02322,33,24.289691,False,True,overtaking
-303.941,12,24.357784,False,True,being_overtaken
-324.3569,16,24.872067,False,True,no_target
-344.2776,22,25.273155,False,True,crossing
-351.898,25,25.726238,False,True,overtaking
113.14261,57,25.941938,True,False,null
-557.7143,56,25.941938,False,True,crossing
-365.4477,36,26.030278,False,True,null
-338.20505,22,26.17612,False,True,being_overtaken
-340.5092,26,26.5045,False,True,no_target
-331.7949,18,26.587919,False,True,being_overtaken
-344.6962,26,26.721257,False,True,crossing
-295.0403,16,27.199779,False,True,crossing
-301.95758,19,28.170388,False,True,crossing
-343.9922,20,28.663679,False,True,being_overtaken
-663.1468,66,28.737231,False,True,being_overtaken
-338.33307,31,28.887167,False,True,overtaking
-362.05905,41,28.970148,False,True,overtaking
-582.1191,52,29.55364,False,True,overtaking
-364.47348,70,29.710239,False,True,null
-406.1302,54,30.130018,False,True,no_target
-308.7428,28,30.739158,False,True,crossing
-405.89597,36,30.803047,False,True,head_on
-314.50397,15,31.262723,False,True,being_overtaken
-299.18707,34,31.262723,False,True,head_on
-855.85034,73,31.340076,False,True,overtaking
-373.86206,25,31.65266,False,True,crossing
