#{"t_start": 1790111066.246177, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-336.18344,21,23.632172,False,True,no_target
-313.01758,25,23.734788,False,True,no_target
90.99307,52,24.418546,True,False,no_target
63.247395,57,24.550315,True,False,no_target
117.082085,58,24.578638,True,False,no_target
-312.34467,35,24.631494,False,True,no_target
77.09489,61,24.658429,True,False,no_target
119.90658,61,24.658429,True,False,no_target
-357.97214,64,24.731193,False,True,no_target
-381.19443,65,24.761278,False,True,no_target
-434.81424,70,24.881297,False,True,no_target
-316.48026,16,25.150408,False,True,no_target
-308.82623,35,25.425006,False,True,no_target
-327.0945,46,25.543845,False,True,no_target
-376.3359,36,25.596509,False,True,no_target
-343.1985,43,25.596509,False,True,no_target
-393.2193,84,25.715281,False,True,no_target
-325.07013,55,25.94309,False,True,no_target
-316.26282,21,26.039601,False,True,no_target
117.48813,65,26.206487,True,False,no_target
-356.92963,65,26.206487,False,True,no_target
-342.5365,39,26.349869,False,True,no_target
-336.32837,64,26.397696,False,True,no_target
-355.9842,54,26.4236,False,True,no_target
-313.65253,18,26.64108,False,True,no_target
119.31367,55,26.876668,True,False,no_target
125.64949,60,26.98588,True,False,no_target
85.92829,58,27.04427,True,False,no_target
88.889046,51,27.208022,True,False,no_target
-316.91168,26,27.570632,False,True,no_target
-354.18234,54,27.626476,False,True,no_target
124.25419,58,27.675733,True,False,no_target
-337.79428,64,27.675733,False,True,no_target
-390.59308,78,27.74172,False,True,no_target
131.05408,63,27.837941,True,False,no_target
47.82843,59,27.942501,True,False,no_target
34.226543,58,28.132604,True,False,no_target
-360.2217,67,28.691424,False,True,no_target
-384.70218,75,28.718458,False,True,no_target
-331.75812,37,28.769874,False,True,no_target
108.98482,55,28.799119,True,False,no_target
108.93311,53,28.848759,True,False,no_target
-334.21786,61,28.994813,False,True,no_target
134.88893,59,29.068161,True,False,no_target
-396.03473,63,29.095464,False,True,no_target
113.34867,56,29.12381,True,False,no_target
-311.69308,24,29.307573,False,True,no_target
-411.7897,63,29.699392,False,True,no_target
-319.91092,33,29.981822,False,True,no_target
-327.56808,34,29.981822,False,True,no_target
-376.67218,58,30.318758,False,True,no_target
-408.90784,64,30.396271,False,True,no_target
-416.23434,70,30.491631,False,True,no_target
-422.8394,64,30.623803,False,True,no_target
