#{"t_start": 1789606584.6252575, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
85.26398,60,7.48953,True,False,no_target
-403.95776,63,7.606449,False,True,no_target
121.23546,57,10.298858,True,False,no_target
-417.04507,82,11.512497,False,True,no_target
-332.19565,39,13.791341,False,True,no_target
86.75928,61,13.792339,True,False,no_target
-312.5599,22,15.251247,False,True,no_target
-573.61444,44,17.149336,False,True,no_target
-49.919407,63,19.036897,True,False,no_target
-323.98294,14,20.111286,False,True,no_target
50.105545,56,20.247847,True,False,no_target
-328.20013,11,21.265141,False,True,no_target
-317.8622,34,23.47419,False,True,no_target
-365.57394,67,25.131602,False,True,no_target
-417.43286,33,26.032799,False,True,no_target
-487.51523,50,28.873828,False,True,no_target
108.06065,63,29.113376,True,False,no_target
122.66293,64,32.910001,True,False,no_target
0.5406704,72,33.362426,True,False,head_on
-322.8258,39,38.560651,False,True,head_on
106.34995,53,38.863727,True,False,no_target
-381.6927,27,41.354049,False,True,head_on
-348.96826,22,42.406868,False,True,head_on
-412.54855,71,43.361925,False,True,no_target
-337.53345,30,45.501335,False,True,head_on
-441.5753,65,47.152588,False,True,no_target
116.30536,56,54.179218,True,False,no_target
-415.76947,80,72.064159,False,True,null
-370.14337,34,76.804484,False,True,null
-340.40363,34,78.626901,False,True,being_overtaken
-335.27542,16,80.316674,False,True,crossing
-316.67538,19,83.457822,False,True,no_target
-323.11298,14,87.513466,False,True,no_target
-319.56357,38,91.76873,False,True,crossing
-468.64212,71,93.801124,False,True,head_on
-316.83093,36,104.000465,False,True,overtaking
-344.79105,24,106.969821,False,True,crossing
-398.71777,65,108.353913,False,True,head_on
-355.19135,47,112.646589,False,True,crossing
-373.90808,36,112.776618,False,True,head_on
-316.6706,24,122.87358,False,True,being_overtaken
-380.22247,27,123.998982,False,True,head_on
-319.2138,19,126.469239,False,True,crossing
-351.16492,40,128.511273,False,True,being_overtaken
-466.5184,40,133.314606,False,True,null
-314.97458,28,134.288442,False,True,overtaking
-317.08252,11,136.172346,False,True,null
-331.85385,20,137.602962,False,True,null
-320.4613,17,187.902828,False,True,crossing
-320.69662,20,193.888975,False,True,crossing
-360.80414,37,195.721952,False,True,crossing
-376.9101,40,196.254849,False,True,being_overtaken
-340.20456,27,199.543659,False,True,head_on
-358.87808,18,203.10032,False,True,crossing
-341.92197,41,203.944419,False,True,head_on
-309.13785,16,204.997199,False,True,crossing
-311.77945,22,209.125303,False,True,no_target
-363.58978,32,209.316934,False,True,head_on
-292.49,16,215.728577,False,True,crossing
-349.5519,22,216.820864,False,True,head_on
-332.72223,33,220.301649,False,True,no_target
-431.63608,60,223.280139,False,True,being_overtaken
-372.21985,28,226.254706,False,True,head_on
-320.13547,18,227.076258,False,True,being_overtaken
-497.70786,49,235.008532,False,True,null
-425.76166,61,237.809129,False,True,head_on
-725.2981,60,241.317751,False,True,being_overtaken
-584.68896,48,241.843608,False,True,head_on
-331.6764,16,242.489392,False,True,head_on
-480.9808,47,243.991718,False,True,overtaking
-341.6124,33,244.996976,False,True,overtaking
-318.91373,42,250.140697,False,True,being_overtaken
-384.18314,73,252.258998,False,True,head_on
-297.33145,22,252.993478,False,True,crossing
-338.1494,29,258.588788,False,True,head_on
-317.24908,23,261.477995,False,True,being_overtaken
115.00572,56,262.981735,True,False,crossing
-318.86942,20,268.096405,False,True,crossing
-337.11655,18,274.957789,False,True,crossing
-322.59583,26,277.706437,False,True,head_on
-341.51828,36,279.164585,False,True,being_overtaken
-478.1526,73,284.590287,False,True,head_on
-408.13754,64,285.277072,False,True,head_on
-362.2243,23,293.027542,False,True,being_overtaken
88.24201,63,296.420292,True,False,overtaking
-314.9237,66,300.022089,False,True,being_overtaken
-328.08072,17,301.149788,False,True,no_target
-527.3453,66,301.967594,False,True,null
-365.61224,28,303.756862,False,True,no_target
-468.66287,58,305.169244,False,True,no_target
-353.16724,24,307.559705,False,True,head_on
-363.62457,22,310.136048,False,True,overtaking
-322.34995,14,310.897146,False,True,crossing
-333.69186,24,313.120372,False,True,no_target
-384.54602,85,315.411242,False,True,head_on
-372.1207,29,317.513529,False,True,being_overtaken
-295.06067,21,325.043781,False,True,crossing
11.517711,56,330.23628,True,False,no_target
83.47472,60,331.495305,True,False,being_overtaken
-290.47314,19,332.401706,False,True,crossing
-315.6261,26,334.38918,False,True,no_target
-326.75858,19,338.245329,False,True,crossing
-384.9558,43,338.975769,False,True,overtaking
