#{"t_start": 1789369176.8008964, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
128.57858,60,6.669397,True,False,no_target
-404.647,63,6.84707,False,True,no_target
125.693405,58,9.866366,True,False,no_target
-351.73578,81,10.876141,False,True,no_target
-325.66873,28,11.339665,False,True,no_target
-347.7424,37,13.288123,False,True,no_target
-329.32178,47,13.405307,False,True,no_target
-331.45987,40,15.48581,False,True,no_target
55.641922,55,16.242505,True,False,no_target
-313.2948,32,17.293241,False,True,no_target
91.419044,55,19.170758,True,False,no_target
-345.43527,68,20.823193,False,True,no_target
-328.70883,37,21.133009,False,True,no_target
-321.38226,28,22.622346,False,True,no_target
-344.44138,74,24.898336,False,True,no_target
-382.9341,55,25.747495,False,True,no_target
62.849613,65,28.612131,True,False,no_target
128.00046,60,29.086669,True,False,no_target
-342.44733,67,33.493624,False,True,no_target
-374.71225,70,34.119707,False,True,no_target
-348.76456,45,35.903633,False,True,no_target
-378.6242,70,37.799339,False,True,no_target
81.465965,60,39.051981,True,False,no_target
135.05428,62,41.087535,True,False,no_target
-486.023,66,42.723563,False,True,no_target
-319.18387,29,44.451688,False,True,no_target
-523.60785,57,44.517066,False,True,no_target
79.80036,59,48.102618,True,False,no_target
-400.04614,81,49.46662,False,True,no_target
81.81309,59,51.558099,True,False,no_target
-560.80774,54,52.61468,False,True,no_target
-516.26276,62,54.931777,False,True,no_target
-326.89566,32,56.801897,False,True,no_target
-497.46185,80,57.050235,False,True,no_target
-324.00165,30,58.611649,False,True,no_target
-392.19818,48,59.973111,False,True,no_target
-312.24304,24,60.128404,False,True,no_target
-325.38464,15,60.854637,False,True,no_target
-547.1539,45,63.776616,False,True,no_target
-314.82043,18,64.856414,False,True,no_target
-452.6301,57,65.246137,False,True,no_target
-319.47055,22,66.148455,False,True,no_target
-476.73407,56,69.243983,False,True,no_target
-377.15222,44,69.530497,False,True,null
-385.3152,36,72.628142,False,True,head_on
-655.48083,64,74.723791,False,True,head_on
88.75368,53,76.929143,True,False,head_on
-329.38724,29,79.107705,False,True,head_on
-359.93756,70,79.75665,False,True,no_target
-394.98572,69,82.629015,False,True,no_target
-373.24335,68,83.525019,False,True,no_target
-315.8905,24,85.527436,False,True,no_target
-352.66498,63,87.778876,False,True,head_on
-417.507,66,91.101561,False,True,null
-575.72736,93,95.919806,False,True,head_on
-409.54974,74,97.523898,False,True,head_on
-372.77628,24,97.944687,False,True,head_on
-387.37772,64,104.416695,False,True,head_on
113.00973,61,104.599287,True,False,null
88.31306,57,109.099001,True,False,null
111.56904,64,109.550658,True,False,no_target
-326.97906,24,111.424849,False,True,no_target
36.74418,72,114.933422,True,False,head_on
-636.0164,71,117.055792,False,True,head_on
-342.2133,24,118.906415,False,True,head_on
-370.66974,84,121.258377,False,True,no_target
86.91045,65,124.176609,True,False,head_on
-621.23474,68,126.019158,False,True,no_target
-318.30786,27,128.11215,False,True,head_on
-336.30524,67,128.437413,False,True,no_target
-317.4169,20,129.255544,False,True,no_target
118.1889,65,133.13093,True,False,no_target
-343.10544,66,134.37124,False,True,head_on
-317.06613,26,135.287454,False,True,being_overtaken
-323.39673,31,136.773037,False,True,crossing
-412.67752,42,138.582635,False,True,crossing
-371.96384,50,140.834574,False,True,head_on
-731.94727,46,143.331957,False,True,no_target
-316.901,27,144.113219,False,True,overtaking
-289.68207,21,146.120694,False,True,head_on
-399.675,43,147.196112,False,True,overtaking
-599.39417,35,149.034955,False,True,null
-319.85602,25,149.31912,False,True,head_on
-339.87045,30,151.42362,False,True,head_on
-357.02478,31,151.743185,False,True,crossing
-322.0863,35,155.091719,False,True,head_on
-397.4844,67,157.462143,False,True,head_on
-559.54407,55,159.491508,False,True,crossing
106.25833,56,161.802066,True,False,crossing
-367.67322,30,161.995692,False,True,head_on
-311.57346,13,162.974928,False,True,being_overtaken
-316.6804,17,163.210682,False,True,no_target
-327.7164,17,164.470462,False,True,being_overtaken
-320.63223,15,164.605344,False,True,being_overtaken
-326.35895,11,165.49394,False,True,null
-296.8969,19,166.547329,False,True,crossing
-327.80835,21,168.19599,False,True,null
-375.78183,61,169.450862,False,True,no_target
-336.08368,15,170.732172,False,True,overtaking
-451.50305,69,174.689226,False,True,null
-449.26556,64,176.224227,False,True,overtaking
-398.74054,31,177.309074,False,True,head_on
-294.68915,23,178.549763,False,True,crossing
91.84879,57,180.211334,True,False,no_target
-371.18463,23,180.340723,False,True,overtaking
-290.9957,21,182.035732,False,True,being_overtaken
-368.53134,66,186.552968,False,True,overtaking
2.6215498,71,188.913217,True,False,overtaking
-351.98886,29,189.06676,False,True,crossing
-294.74994,6,189.599807,False,True,being_overtaken
-337.7969,21,190.7544,False,True,being_overtaken
