#{"t_start": 1789346235.15949, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-305.93503,30,2.682526,False,True,no_target
-301.04694,30,2.682526,False,True,no_target
-372.01358,43,3.19205,False,True,no_target
-412.5263,54,3.614139,False,True,no_target
-381.43936,59,4.886127,False,True,no_target
-319.22153,55,5.231176,False,True,no_target
-407.10187,70,5.316374,False,True,no_target
-312.74255,69,6.195652,False,True,no_target
-321.31458,30,6.392864,False,True,no_target
-317.69812,28,6.392864,False,True,no_target
-349.14032,55,7.072291,False,True,no_target
-333.7034,69,8.766581,False,True,no_target
-340.60834,68,8.927877,False,True,no_target
-333.19406,68,8.927877,False,True,no_target
133.67087,53,8.987101,True,False,no_target
-312.81955,20,9.609374,False,True,no_target
-300.07968,30,10.759008,False,True,no_target
93.66804,55,11.097041,True,False,no_target
135.43364,62,11.340338,True,False,no_target
-371.54718,69,11.618027,False,True,no_target
-389.22775,40,12.444876,False,True,no_target
-352.44937,40,12.679676,False,True,no_target
-302.2039,77,13.496403,False,True,no_target
-300.23096,57,13.687023,False,True,no_target
-344.45206,38,14.323852,False,True,no_target
96.68515,57,14.930375,True,False,no_target
141.21933,56,16.108035,True,False,no_target
-316.12347,42,16.224698,False,True,no_target
-374.35703,71,16.830544,False,True,no_target
-308.19196,35,17.409696,False,True,no_target
-386.33768,84,18.225365,False,True,no_target
-335.6682,67,18.684237,False,True,no_target
-314.309,18,19.440547,False,True,no_target
137.57898,57,19.642399,True,False,no_target
-349.29993,82,20.002102,False,True,no_target
-326.29712,23,20.427844,False,True,no_target
-312.19418,16,20.733042,False,True,no_target
-378.9586,73,21.245651,False,True,no_target
-309.8561,24,22.87858,False,True,no_target
128.9132,51,22.958591,True,False,no_target
-312.88388,14,23.003556,False,True,no_target
-317.66095,20,23.76768,False,True,no_target
-318.46548,25,23.995371,False,True,no_target
-318.22675,31,24.096902,False,True,no_target
-459.73465,67,24.339842,False,True,no_target
-307.2042,26,25.081041,False,True,no_target
-349.43915,38,25.787288,False,True,no_target
-420.82886,54,25.82317,False,True,no_target
138.14658,54,26.05706,True,False,no_target
-302.70016,29,26.199668,False,True,no_target
-321.97162,18,26.481208,False,True,no_target
-335.01483,39,27.616525,False,True,no_target
-399.89746,48,28.175263,False,True,no_target
-473.01578,71,28.653008,False,True,no_target
-320.9603,15,28.723804,False,True,no_target
-395.5584,60,28.886648,False,True,no_target
-542.77515,57,29.830947,False,True,no_target
-443.64386,32,29.970855,False,True,no_target
-322.44696,35,30.009674,False,True,no_target
-308.31406,19,30.712837,False,True,no_target
-315.12317,26,31.101572,False,True,no_target
-829.35583,65,31.48946,False,True,no_target
-319.61865,14,31.614547,False,True,no_target
-319.4065,10,31.865236,False,True,no_target
-329.23602,24,32.513434,False,True,no_target
62.315987,64,32.553854,True,False,no_target
-311.16196,21,32.665715,False,True,no_target
-314.81686,11,32.962812,False,True,no_target
108.18919,61,33.013338,True,False,no_target
-313.3853,26,33.762106,False,True,no_target
-317.09628,25,34.091143,False,True,no_target
-315.48035,24,34.73811,False,True,no_target
