#{"t_start": 1789811415.684598, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-336.18344,21,19.968353,False,True,no_target
-313.01758,25,20.199599,False,True,no_target
90.99307,52,21.775789,True,False,no_target
63.247395,57,22.074438,True,False,no_target
117.082085,58,22.128981,True,False,no_target
-312.34467,35,22.241681,False,True,no_target
77.09489,61,22.297892,True,False,no_target
119.90658,61,22.297892,True,False,no_target
-357.97214,64,22.457564,False,True,no_target
-381.19443,65,22.52074,False,True,no_target
-434.81424,70,22.772674,False,True,no_target
-316.48026,16,23.371746,False,True,no_target
-308.82623,35,24.016295,False,True,no_target
-327.0945,46,24.276948,False,True,no_target
-376.3359,36,24.426698,False,True,no_target
-343.1985,43,24.426698,False,True,no_target
-393.2193,84,24.705493,False,True,no_target
-325.07013,55,25.305554,False,True,no_target
-316.26282,21,25.528516,False,True,no_target
117.48813,65,25.907506,True,False,no_target
-356.92963,65,25.907506,False,True,no_target
-342.5365,39,26.252774,False,True,no_target
-336.32837,64,26.371576,False,True,no_target
-355.9842,54,26.438849,False,True,no_target
-313.65253,18,27.015981,False,True,no_target
119.31367,55,27.726592,True,False,no_target
125.64949,60,28.019639,True,False,no_target
85.92829,58,28.196521,True,False,no_target
88.889046,51,28.603915,True,False,no_target
-316.91168,26,29.5379,False,True,no_target
-354.18234,54,29.645898,False,True,no_target
124.25419,58,29.755224,True,False,no_target
-337.79428,64,29.755224,False,True,no_target
-390.59308,78,29.921156,False,True,no_target
131.05408,63,30.187582,True,False,no_target
47.82843,59,30.492386,True,False,no_target
34.226543,58,31.069115,True,False,no_target
-360.2217,67,32.333494,False,True,no_target
-384.70218,75,32.381906,False,True,no_target
-331.75812,37,32.485059,False,True,no_target
108.98482,55,32.532631,True,False,no_target
108.93311,53,32.631915,True,False,no_target
-334.21786,61,32.925392,False,True,no_target
134.88893,59,33.073727,True,False,no_target
-396.03473,63,33.127998,False,True,no_target
113.34867,56,33.180302,True,False,no_target
-311.69308,24,33.542432,False,True,no_target
-411.7897,63,34.318602,False,True,no_target
-319.91092,33,34.88521,False,True,no_target
-327.56808,34,34.88521,False,True,no_target
-376.67218,58,35.563577,False,True,no_target
-408.90784,64,35.7016,False,True,no_target
-416.23434,70,35.882415,False,True,no_target
-422.8394,64,36.104811,False,True,no_target
-444.8568,72,36.104811,False,True,no_target
-349.11017,65,36.273327,False,True,no_target
124.16277,57,36.972409,True,False,no_target
-356.4781,73,37.022267,False,True,no_target
-319.29727,32,37.114207,False,True,no_target
125.46595,57,37.492653,True,False,no_target
133.18748,59,37.598235,True,False,no_target
-308.23645,40,37.998772,False,True,no_target
-308.64932,22,38.289383,False,True,no_target
44.2421,59,38.407773,True,False,no_target
-329.05185,30,38.627619,False,True,no_target
112.36025,56,38.927274,True,False,no_target
-318.25446,29,39.141323,False,True,no_target
99.63433,66,39.212131,True,False,no_target
-362.17474,60,39.422553,False,True,no_target
-320.01166,26,39.530324,False,True,no_target
75.170135,59,40.254102,True,False,no_target
102.5848,56,41.453555,True,False,no_target
-370.38797,59,41.739892,False,True,no_target
-426.32034,77,41.978133,False,True,no_target
-341.1045,46,41.978133,False,True,no_target
-323.45117,52,42.152341,False,True,no_target
-383.96396,68,42.49785,False,True,no_target
-370.85794,62,42.675105,False,True,no_target
137.76237,66,42.675105,True,False,no_target
130.2155,61,42.968526,True,False,no_target
-322.29202,19,43.258963,False,True,no_target
-339.0094,37,43.854534,False,True,no_target
-354.2248,70,44.1954,False,True,no_target
-311.9923,43,44.420716,False,True,no_target
131.28801,58,44.766204,True,False,no_target
-401.34225,62,45.533921,False,True,no_target
70.63916,49,46.066965,True,False,no_target
-377.5394,64,46.200542,False,True,no_target
86.44113,62,46.283096,True,False,no_target
95.104774,58,46.34088,True,False,no_target
-391.05975,69,46.71238,False,True,no_target
-321.28708,40,46.846937,False,True,no_target
-327.21558,11,46.962521,False,True,no_target
100.40163,54,47.084993,True,False,no_target
-328.9792,51,51.233388,False,True,no_target
-360.9451,50,51.659207,False,True,no_target
-326.13004,16,52.037196,False,True,no_target
-320.45825,27,52.390834,False,True,no_target
-354.08386,29,52.390834,False,True,no_target
-323.00305,51,52.449868,False,True,no_target
-302.97476,39,53.200285,False,True,no_target
-315.4733,24,53.430182,False,True,no_target
-360.52338,64,53.677544,False,True,no_target
110.642815,55,53.730883,True,False,no_target
-311.72113,26,53.856816,False,True,no_target
143.58598,64,53.920388,True,False,no_target
-327.43964,15,54.046467,False,True,no_target
-400.20874,72,54.281673,False,True,no_target
13.711054,69,55.563157,True,False,no_target
121.40765,57,55.684629,True,False,no_target
-422.32425,67,56.23325,False,True,no_target
-330.07394,47,56.463321,False,True,no_target
-390.06113,47,56.969262,False,True,no_target
109.463745,54,56.969262,True,False,no_target
-379.7584,56,57.25665,False,True,no_target
-371.20615,65,57.454005,False,True,no_target
-345.99377,72,57.56469,False,True,no_target
-419.67987,74,58.142537,False,True,no_target
-329.93204,22,58.190491,False,True,no_target
136.21465,64,59.072528,True,False,no_target
-401.52032,69,59.450674,False,True,no_target
120.746956,61,59.510806,True,False,no_target
-331.3556,15,59.893701,False,True,no_target
-357.48975,67,60.067284,False,True,no_target
-355.14816,55,60.477263,False,True,no_target
-344.79932,68,60.639489,False,True,no_target
-376.8066,70,60.993444,False,True,no_target
-388.87912,71,61.196705,False,True,no_target
-326.57516,36,62.0065,False,True,no_target
-377.05576,49,62.128118,False,True,no_target
-346.33536,78,62.30517,False,True,no_target
-352.1711,79,62.42428,False,True,no_target
-315.4872,23,62.499744,False,True,no_target
122.37631,62,63.027001,True,False,no_target
56.61035,60,63.339491,True,False,no_target
107.623886,56,63.720985,True,False,no_target
-308.50696,27,64.20257,False,True,no_target
112.08618,54,64.270475,True,False,no_target
-309.17126,35,64.39827,False,True,no_target
89.68395,64,64.459473,True,False,no_target
86.48844,59,65.75772,True,False,no_target
100.32446,64,66.508055,True,False,no_target
-368.17596,62,66.587623,False,True,no_target
-304.65897,35,66.740774,False,True,no_target
-372.5298,55,66.997319,False,True,no_target
84.62353,61,67.062098,True,False,no_target
-360.93536,48,67.399261,False,True,no_target
38.531395,55,67.729418,True,False,no_target
-358.7232,69,68.100909,False,True,no_target
-358.80038,75,68.995955,False,True,no_target
106.49922,64,69.508167,True,False,no_target
110.68472,58,69.754205,True,False,no_target
-347.4329,47,69.911144,False,True,no_target
120.62507,60,70.014868,True,False,no_target
118.886765,63,70.071223,True,False,no_target
133.20908,66,70.547189,True,False,no_target
-359.12244,73,71.008782,False,True,no_target
-322.93115,70,71.492497,False,True,no_target
-324.26013,39,71.663583,False,True,no_target
-340.9419,67,71.727596,False,True,no_target
126.20972,60,72.325868,True,False,no_target
-353.8215,31,72.325868,False,True,no_target
-318.99286,49,72.815762,False,True,no_target
