#{"t_start": 1789659575.908703, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-320.38562,31,56.93553,False,True,no_target
-318.4973,31,56.93553,False,True,no_target
-376.26312,35,57.405946,False,True,no_target
-333.9608,50,59.124727,False,True,no_target
108.5256,55,59.731747,True,False,no_target
-355.31824,56,59.848234,False,True,no_target
-427.04776,61,60.426267,False,True,no_target
118.86563,61,60.426267,True,False,no_target
-319.8112,75,62.048462,False,True,no_target
-441.7461,83,62.993783,False,True,no_target
115.13272,59,63.856467,True,False,no_target
38.619953,68,64.890081,True,False,no_target
-421.9148,66,65.116698,False,True,no_target
-355.2505,43,65.440637,False,True,no_target
-337.53702,30,65.544605,False,True,no_target
-355.47336,53,65.882673,False,True,no_target
-401.9679,65,66.651773,False,True,no_target
121.23183,58,67.134786,True,False,no_target
-320.95825,23,68.161943,False,True,no_target
-316.45972,74,68.397615,False,True,no_target
-324.8341,23,68.526743,False,True,no_target
-339.42523,54,69.238878,False,True,no_target
-320.4665,20,70.856705,False,True,no_target
-331.1548,52,71.101593,False,True,no_target
-312.64682,29,71.800115,False,True,no_target
-371.27103,48,72.313895,False,True,no_target
-386.44766,75,72.611433,False,True,no_target
-342.0872,67,72.746469,False,True,no_target
-340.0937,65,73.102709,False,True,no_target
116.75549,59,74.178959,True,False,no_target
-350.9426,66,76.092275,False,True,no_target
112.09215,58,76.220355,True,False,no_target
-319.96863,33,76.671752,False,True,no_target
-367.09705,56,77.596053,False,True,no_target
-317.52063,56,77.827057,False,True,no_target
120.27299,55,78.415884,True,False,no_target
-383.3917,55,78.857738,False,True,no_target
-327.08432,55,79.536146,False,True,no_target
-359.94467,63,80.005369,False,True,no_target
-309.55798,31,80.237104,False,True,no_target
-323.10834,29,80.945728,False,True,no_target
-359.5919,50,81.941766,False,True,no_target
-328.0573,68,82.053224,False,True,no_target
-313.0958,28,83.497532,False,True,no_target
-339.427,65,83.628213,False,True,no_target
141.21574,60,85.565339,True,False,no_target
-365.7393,72,86.343938,False,True,no_target
-349.84024,48,86.689068,False,True,no_target
124.1964,60,87.186378,True,False,no_target
-330.9645,74,87.621382,False,True,no_target
-316.75552,79,88.958833,False,True,no_target
-340.42133,58,89.083033,False,True,no_target
-377.55093,46,89.083033,False,True,no_target
-373.31882,61,89.307044,False,True,no_target
-349.99838,36,89.748455,False,True,no_target
-325.303,33,90.205184,False,True,no_target
-409.43463,58,90.543927,False,True,no_target
-320.2322,17,91.008374,False,True,no_target
-342.37787,48,92.741522,False,True,no_target
-315.94507,30,93.992848,False,True,no_target
-319.02505,29,94.33862,False,True,no_target
126.5901,60,94.553074,True,False,no_target
-338.40643,45,94.899466,False,True,no_target
-383.87082,53,95.137219,False,True,no_target
-323.73383,74,95.254753,False,True,no_target
51.151592,63,96.145672,True,False,no_target
-340.3397,65,96.707914,False,True,no_target
-337.68945,65,97.608575,False,True,no_target
-337.63394,46,97.957488,False,True,no_target
-337.56253,36,99.231699,False,True,no_target
-347.46487,28,99.344848,False,True,no_target
98.08259,55,100.42236,True,False,no_target
113.47684,55,101.042949,True,False,no_target
131.25322,59,101.280726,True,False,no_target
123.04874,63,102.632568,True,False,no_target
65.36076,67,102.763104,True,False,no_target
-315.32632,32,103.221812,False,True,no_target
-373.49533,56,103.335278,False,True,no_target
-333.83554,58,104.47308,False,True,no_target
92.44352,60,105.16848,True,False,no_target
-314.4943,26,106.544365,False,True,no_target
-344.23544,65,108.303261,False,True,no_target
-325.53873,18,108.744458,False,True,no_target
-359.78168,79,108.869194,False,True,no_target
-360.22812,66,108.998162,False,True,no_target
-347.5426,39,109.4069,False,True,no_target
87.842926,58,109.75701,True,False,no_target
-399.96884,71,109.882378,False,True,no_target
-364.19522,61,110.251938,False,True,no_target
-337.95584,64,111.103334,False,True,no_target
-307.9546,32,113.237509,False,True,no_target
-302.2462,39,113.475296,False,True,no_target
-349.6813,70,113.716189,False,True,no_target
140.01147,63,122.768138,True,False,no_target
61.953648,53,123.578669,True,False,no_target
-319.84406,77,123.685988,False,True,no_target
-341.1968,69,124.132879,False,True,no_target
-341.0307,77,124.277366,False,True,no_target
111.93693,69,124.277366,True,False,no_target
-335.4196,71,124.816571,False,True,no_target
-343.6831,47,125.146646,False,True,no_target
-351.93063,52,125.475103,False,True,no_target
116.629906,56,126.378439,True,False,no_target
-340.8402,28,126.815034,False,True,no_target
-316.0541,19,127.610893,False,True,no_target
-305.47214,37,128.36884,False,True,no_target
-314.14075,37,128.36884,False,True,no_target
102.75953,56,129.066592,True,False,no_target
-341.52435,40,129.614722,False,True,no_target
118.92407,55,129.736991,True,False,no_target
-364.46973,29,131.587774,False,True,no_target
138.09692,61,131.587774,True,False,no_target
-353.8842,79,132.882216,False,True,no_target
125.93692,62,133.629516,True,False,no_target
-341.47006,71,134.19608,False,True,no_target
-371.62253,59,135.577412,False,True,no_target
-316.25696,73,135.704036,False,True,no_target
126.13298,72,136.369898,True,False,no_target
110.23976,60,136.369898,True,False,no_target
-352.16327,51,137.280282,False,True,no_target
-417.9113,71,137.496971,False,True,no_target
-319.222,20,137.826532,False,True,no_target
127.17913,65,138.844667,True,False,no_target
-326.03134,31,139.865252,False,True,no_target
-355.05508,55,139.865252,False,True,no_target
-338.4999,38,139.993032,False,True,no_target
134.31921,64,140.144865,True,False,no_target
-352.97836,33,140.144865,False,True,no_target
117.74761,68,142.097301,True,False,no_target
-317.6641,19,142.215906,False,True,no_target
-321.19287,32,142.670582,False,True,no_target
-396.23203,48,143.099878,False,True,no_target
138.78189,59,144.219945,True,False,no_target
-376.81897,55,144.343918,False,True,no_target
-387.81564,59,147.277946,False,True,no_target
137.24289,60,147.277946,True,False,no_target
-310.7986,40,147.935329,False,True,no_target
-332.24484,54,148.582276,False,True,no_target
-323.48444,78,149.161069,False,True,no_target
123.50379,64,149.588903,True,False,no_target
24.68723,63,150.044519,True,False,no_target
-412.7825,93,151.070306,False,True,no_target
109.27381,65,151.908466,True,False,no_target
-347.45996,83,153.828442,False,True,no_target
121.205925,59,153.948709,True,False,no_target
115.044815,65,154.656994,True,False,no_target
107.63975,58,155.821841,True,False,no_target
-328.81216,72,156.177727,False,True,no_target
124.044464,57,156.656692,True,False,no_target
-379.94916,71,156.777035,False,True,no_target
-375.80478,68,157.486785,False,True,no_target
134.44858,63,159.203811,True,False,no_target
-344.3525,77,160.111724,False,True,no_target
112.400215,56,160.569198,True,False,no_target
125.05238,56,160.708578,True,False,no_target
-324.82788,16,162.33768,False,True,no_target
34.156166,52,162.692127,True,False,no_target
-330.26917,75,163.786191,False,True,no_target
-315.0064,26,163.786191,False,True,no_target
94.155624,54,164.106003,True,False,no_target
-322.18506,76,164.924048,False,True,no_target
88.49974,71,165.254514,True,False,no_target
-377.8715,73,165.366221,False,True,no_target
134.79973,63,166.8638,True,False,no_target
-381.47516,56,167.329145,False,True,no_target
-337.3446,31,168.563611,False,True,no_target
130.2877,57,168.824394,True,False,no_target
-333.11792,22,169.744997,False,True,no_target
-361.70267,49,170.106328,False,True,no_target
117.73448,55,170.531238,True,False,no_target
-331.2897,41,170.661637,False,True,no_target
-321.82227,50,171.631924,False,True,no_target
-359.34454,77,171.987201,False,True,no_target
-345.44373,38,172.306744,False,True,no_target
-316.7774,30,172.868042,False,True,no_target
-372.78198,74,172.868042,False,True,no_target
-310.68295,23,175.541526,False,True,no_target
74.140434,54,176.531681,True,False,no_target
-352.8748,42,176.531681,False,True,no_target
130.18918,60,176.838365,True,False,no_target
110.35319,58,177.287583,True,False,no_target
137.85335,62,177.822253,True,False,no_target
-344.3113,76,177.822253,False,True,no_target
121.27803,57,178.535089,True,False,no_target
95.0064,62,179.41673,True,False,no_target
129.84636,59,179.622868,True,False,no_target
-336.88123,37,179.738477,False,True,no_target
99.07009,57,188.05579,True,False,no_target
119.18242,58,188.939901,True,False,no_target
