#{"t_start": 1789732823.8570938, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-336.18344,21,23.077722,False,True,no_target
-313.01758,25,23.479523,False,True,no_target
90.99307,52,25.980079,True,False,no_target
63.247395,57,26.425756,True,False,no_target
117.082085,58,26.519145,True,False,no_target
-312.34467,35,26.693333,False,True,no_target
77.09489,61,26.803152,True,False,no_target
119.90658,61,26.803152,True,False,no_target
-357.97214,64,27.076823,False,True,no_target
-381.19443,65,27.162274,False,True,no_target
-434.81424,70,27.550739,False,True,no_target
-316.48026,16,28.482743,False,True,no_target
-308.82623,35,29.507901,False,True,no_target
-327.0945,46,29.922192,False,True,no_target
-376.3359,36,30.107867,False,True,no_target
-343.1985,43,30.107867,False,True,no_target
-393.2193,84,30.541775,False,True,no_target
-325.07013,55,31.513214,False,True,no_target
-316.26282,21,31.926926,False,True,no_target
117.48813,65,32.61144,True,False,no_target
-356.92963,65,32.61144,False,True,no_target
-342.5365,39,33.189413,False,True,no_target
-336.32837,64,33.367886,False,True,no_target
-355.9842,54,33.464769,False,True,no_target
-313.65253,18,34.463883,False,True,no_target
119.31367,55,35.528977,True,False,no_target
125.64949,60,35.988321,True,False,no_target
85.92829,58,36.265811,True,False,no_target
88.889046,51,36.987992,True,False,no_target
-316.91168,26,38.466547,False,True,no_target
-354.18234,54,38.630014,False,True,no_target
124.25419,58,38.806745,True,False,no_target
-337.79428,64,38.806745,False,True,no_target
-390.59308,78,39.074625,False,True,no_target
131.05408,63,39.498889,True,False,no_target
47.82843,59,40.023811,True,False,no_target
34.226543,58,40.941436,True,False,no_target
-360.2217,67,43.125453,False,True,no_target
-384.70218,75,43.216421,False,True,no_target
-331.75812,37,43.409197,False,True,no_target
108.98482,55,43.5053,True,False,no_target
108.93311,53,43.724381,True,False,no_target
-334.21786,61,44.2674,False,True,no_target
134.88893,59,44.529857,True,False,no_target
-396.03473,63,44.635926,False,True,no_target
113.34867,56,44.753932,True,False,no_target
-311.69308,24,45.498261,False,True,no_target
-411.7897,63,47.0423,False,True,no_target
-319.91092,33,48.116714,False,True,no_target
-327.56808,34,48.116714,False,True,no_target
-376.67218,58,49.264608,False,True,no_target
-408.90784,64,49.529604,False,True,no_target
-416.23434,70,49.895763,False,True,no_target
-422.8394,64,50.381991,False,True,no_target
-444.8568,72,50.381991,False,True,no_target
-349.11017,65,50.725266,False,True,no_target
124.16277,57,52.135164,True,False,no_target
-356.4781,73,52.233968,False,True,no_target
-319.29727,32,52.417379,False,True,no_target
125.46595,57,53.170476,True,False,no_target
133.18748,59,53.362911,True,False,no_target
-308.23645,40,53.99031,False,True,no_target
-308.64932,22,54.437351,False,True,no_target
44.2421,59,54.613878,True,False,no_target
-329.05185,30,54.93022,False,True,no_target
112.36025,56,55.352851,True,False,no_target
-318.25446,29,55.682013,False,True,no_target
99.63433,66,55.766324,True,False,no_target
-362.17474,60,55.9826,False,True,no_target
-320.01166,26,56.154818,False,True,no_target
75.170135,59,57.222262,True,False,no_target
102.5848,56,58.86564,True,False,no_target
-370.38797,59,59.221289,False,True,no_target
-426.32034,77,59.533221,False,True,no_target
-341.1045,46,59.533221,False,True,no_target
-323.45117,52,59.774663,False,True,no_target
-383.96396,68,60.242517,False,True,no_target
-370.85794,62,60.474988,False,True,no_target
137.76237,66,60.474988,True,False,no_target
130.2155,61,60.925427,True,False,no_target
-322.29202,19,61.333525,False,True,no_target
-339.0094,37,62.416172,False,True,no_target
-354.2248,70,63.011976,False,True,no_target
-311.9923,43,63.360472,False,True,no_target
131.28801,58,63.866488,True,False,no_target
-401.34225,62,64.917242,False,True,no_target
70.63916,49,65.676684,True,False,no_target
-377.5394,64,65.860106,False,True,no_target
86.44113,62,65.982053,True,False,no_target
95.104774,58,66.085635,True,False,no_target
-391.05975,69,66.761898,False,True,no_target
-321.28708,40,66.966803,False,True,no_target
-327.21558,11,67.198276,False,True,no_target
100.40163,54,67.413425,True,False,no_target
-328.9792,51,76.746396,False,True,no_target
-360.9451,50,77.444713,False,True,no_target
-326.13004,16,78.019042,False,True,no_target
-320.45825,27,78.542367,False,True,no_target
-354.08386,29,78.542367,False,True,no_target
-323.00305,51,78.619269,False,True,no_target
-302.97476,39,79.642523,False,True,no_target
-315.4733,24,79.976151,False,True,no_target
-360.52338,64,80.423294,False,True,no_target
110.642815,55,80.513165,True,False,no_target
-311.72113,26,80.67103,False,True,no_target
143.58598,64,80.770467,True,False,no_target
-327.43964,15,80.957063,False,True,no_target
-400.20874,72,81.306855,False,True,no_target
13.711054,69,83.422158,True,False,no_target
121.40765,57,83.677585,True,False,no_target
-422.32425,67,84.534046,False,True,no_target
-330.07394,47,84.913017,False,True,no_target
-390.06113,47,85.705981,False,True,no_target
109.463745,54,85.705981,True,False,no_target
-379.7584,56,86.276992,False,True,no_target
-371.20615,65,86.580435,False,True,no_target
-345.99377,72,86.809365,False,True,no_target
-419.67987,74,87.696864,False,True,no_target
-329.93204,22,87.774511,False,True,no_target
136.21465,64,89.314706,True,False,no_target
-401.52032,69,89.943291,False,True,no_target
120.746956,61,90.052794,True,False,no_target
-331.3556,15,90.703299,False,True,no_target
-357.48975,67,91.021367,False,True,no_target
-355.14816,55,91.712546,False,True,no_target
-344.79932,68,92.046129,False,True,no_target
-376.8066,70,92.954086,False,True,no_target
-388.87912,71,93.441176,False,True,no_target
-326.57516,36,95.077862,False,True,no_target
-377.05576,49,95.330298,False,True,no_target
-346.33536,78,95.685059,False,True,no_target
-352.1711,79,95.912172,False,True,no_target
-315.4872,23,96.027973,False,True,no_target
122.37631,62,96.888499,True,False,no_target
56.61035,60,97.434798,True,False,no_target
107.623886,56,98.047948,True,False,no_target
-308.50696,27,98.772987,False,True,no_target
112.08618,54,98.892028,True,False,no_target
-309.17126,35,99.085809,False,True,no_target
89.68395,64,99.186455,True,False,no_target
86.48844,59,101.268323,True,False,no_target
100.32446,64,102.317301,True,False,no_target
-368.17596,62,102.471986,False,True,no_target
-304.65897,35,102.66562,False,True,no_target
-372.5298,55,103.023265,False,True,no_target
84.62353,61,103.108086,True,False,no_target
-360.93536,48,103.574747,False,True,no_target
38.531395,55,104.030785,True,False,no_target
-358.7232,69,104.541627,False,True,no_target
-358.80038,75,106.165371,False,True,no_target
106.49922,64,106.994943,True,False,no_target
110.68472,58,107.352878,True,False,no_target
-347.4329,47,107.61178,False,True,no_target
120.62507,60,107.770942,True,False,no_target
118.886765,63,107.843987,True,False,no_target
133.20908,66,108.706144,True,False,no_target
-359.12244,73,109.435308,False,True,no_target
-322.93115,70,110.250614,False,True,no_target
-324.26013,39,110.524381,False,True,no_target
-340.9419,67,110.64147,False,True,no_target
126.20972,60,111.745571,True,False,no_target
-353.8215,31,111.745571,False,True,no_target
-318.99286,49,112.704958,False,True,no_target
127.12458,58,113.120479,True,False,no_target
-319.51437,67,114.450013,False,True,no_target
-328.6897,20,114.973747,False,True,no_target
-376.70282,68,114.973747,False,True,no_target
-314.0405,34,115.657165,False,True,no_target
-319.96677,18,117.041061,False,True,no_target
94.93537,69,117.041061,True,False,no_target
79.67063,66,118.29275,True,False,no_target
60.83306,68,118.65759,True,False,no_target
128.5058,62,119.107048,True,False,no_target
132.9025,59,120.104387,True,False,no_target
-426.36853,86,120.220484,False,True,no_target
-315.1498,43,120.916206,False,True,no_target
-334.67856,33,121.21499,False,True,no_target
-349.02533,62,122.695749,False,True,no_target
-306.77414,41,123.447828,False,True,no_target
-388.36572,82,124.747169,False,True,no_target
-352.76483,60,124.747169,False,True,no_target
-315.9913,41,125.580875,False,True,no_target
106.53816,55,126.103647,True,False,no_target
-398.6981,71,127.325684,False,True,no_target
-310.8907,21,127.791748,False,True,no_target
60.654854,56,128.005947,True,False,no_target
135.70699,65,128.244511,True,False,no_target
101.77662,64,128.761595,True,False,no_target
55.094612,61,140.154028,True,False,no_target
90.06382,58,140.399156,True,False,no_target
-342.48907,25,140.399156,False,True,no_target
114.323555,59,141.351208,True,False,no_target
103.72486,64,141.753264,True,False,no_target
-353.23672,33,143.01811,False,True,no_target
-343.7392,72,143.440373,False,True,no_target
75.13264,60,143.758242,True,False,no_target
129.21127,59,144.00959,True,False,no_target
-381.1469,65,144.319616,False,True,no_target
-324.55484,24,145.360043,False,True,no_target
123.798515,62,145.599746,True,False,no_target
-367.74692,76,145.685372,False,True,no_target
62.009163,65,145.867569,True,False,no_target
-356.4129,49,145.867569,False,True,no_target
-403.15378,72,147.502194,False,True,no_target
-395.1636,67,148.664359,False,True,no_target
136.62003,60,148.848809,True,False,no_target
119.26688,58,149.249975,True,False,no_target
-345.01163,51,149.994635,False,True,no_target
-378.7993,74,150.277514,False,True,no_target
-305.90573,36,150.559202,False,True,no_target
131.11145,66,151.124198,True,False,no_target
54.949257,66,151.457142,True,False,no_target
18.21493,69,151.918319,True,False,no_target
-365.78998,71,152.083422,False,True,no_target
-330.43546,36,153.754449,False,True,no_target
-317.5655,34,153.896358,False,True,no_target
-329.5159,26,154.673265,False,True,no_target
110.98302,59,154.970405,True,False,no_target
-386.63617,68,155.181132,False,True,no_target
-349.50793,68,155.376095,False,True,no_target
-399.3038,78,157.559082,False,True,no_target
-380.53665,66,157.559082,False,True,no_target
-316.09793,27,157.657542,False,True,no_target
-351.6884,45,158.159966,False,True,no_target
-363.1685,69,158.266194,False,True,no_target
-347.70453,41,158.570484,False,True,no_target
-417.08777,73,159.374492,False,True,no_target
136.30089,61,160.595945,True,False,no_target
129.98831,63,161.111427,True,False,no_target
-377.6075,86,161.950089,False,True,no_target
35.315346,59,162.89482,True,False,no_target
-389.04184,59,163.536393,False,True,no_target
102.343124,73,164.183864,True,False,no_target
-380.49786,74,164.407726,False,True,no_target
-366.74353,69,164.790649,False,True,no_target
-370.6068,77,165.165347,False,True,no_target
-393.9825,73,165.923839,False,True,no_target
59.021477,66,166.792651,True,False,no_target
126.26928,68,167.62162,True,False,no_target
-319.55826,57,168.577394,False,True,no_target
118.26523,69,168.681841,True,False,no_target
-315.52393,21,169.033541,False,True,no_target
-313.95898,41,170.432622,False,True,no_target
117.775696,63,170.945834,True,False,no_target
79.65822,56,171.325496,True,False,no_target
-341.64975,78,171.915196,False,True,no_target
-345.09277,65,171.915196,False,True,no_target
-310.6442,29,172.021089,False,True,no_target
-373.38828,71,172.126701,False,True,no_target
-304.37576,32,172.804973,False,True,no_target
-318.49146,21,172.902393,False,True,no_target
72.44736,59,175.320387,True,False,no_target
-314.33456,24,175.320387,False,True,no_target
98.809044,72,175.598228,True,False,no_target
-328.01974,25,178.226159,False,True,no_target
106.73155,70,178.868513,True,False,no_target
-347.0401,70,179.318501,False,True,no_target
132.1799,66,179.432384,True,False,no_target
131.13928,61,179.930448,True,False,no_target
111.27855,70,180.074971,True,False,no_target
-379.54483,72,180.469239,False,True,no_target
-376.25815,81,181.24425,False,True,no_target
-337.26785,23,181.721329,False,True,no_target
120.91227,57,182.175356,True,False,no_target
-315.4553,22,182.661933,False,True,no_target
101.79553,68,183.873175,True,False,no_target
-382.67346,55,185.210885,False,True,no_target
133.99113,59,186.856294,True,False,no_target
-380.312,68,187.984994,False,True,no_target
-384.2481,70,188.935005,False,True,no_target
67.4556,54,189.914476,True,False,no_target
-384.01196,73,189.914476,False,True,no_target
59.623924,59,190.069296,True,False,no_target
-433.36066,75,191.338441,False,True,no_target
-329.4761,77,192.30201,False,True,no_target
-367.42294,51,192.50116,False,True,no_target
37.419025,68,204.356502,True,False,no_target
-347.76102,34,205.498506,False,True,no_target
-311.22528,36,205.82646,False,True,no_target
-317.55804,22,205.918036,False,True,no_target
-426.29263,77,207.669658,False,True,no_target
-340.2585,70,207.775944,False,True,no_target
105.79757,58,207.975176,True,False,no_target
-344.14508,71,208.597701,False,True,no_target
132.828,62,209.407866,True,False,no_target
69.405365,56,210.521557,True,False,no_target
71.41353,69,211.055474,True,False,no_target
103.618774,57,212.288598,True,False,no_target
98.68538,61,212.60568,True,False,no_target
100.91956,67,212.944034,True,False,no_target
-315.70706,30,214.513821,False,True,no_target
90.10983,70,215.80859,True,False,no_target
65.61512,61,215.80859,True,False,no_target
40.145203,73,216.410796,True,False,no_target
-473.12564,82,217.059961,False,True,no_target
109.38709,67,217.059961,True,False,no_target
130.09082,62,218.878441,True,False,no_target
-375.50595,80,219.183606,False,True,no_target
71.52297,73,220.37522,True,False,no_target
-343.60974,77,221.064188,False,True,no_target
132.91498,65,221.205558,True,False,no_target
90.69793,60,221.788449,True,False,no_target
133.22527,63,222.073622,True,False,no_target
30.69697,60,222.348394,True,False,no_target
-388.88943,38,223.002479,False,True,no_target
121.260185,68,223.709897,True,False,no_target
-345.8903,75,224.412848,False,True,no_target
-315.9448,30,224.964162,False,True,no_target
138.7488,61,224.964162,True,False,no_target
-314.19232,27,226.580332,False,True,no_target
-393.845,76,228.132942,False,True,no_target
15.290337,72,228.583368,True,False,no_target
124.229904,63,228.936228,True,False,no_target
-422.75464,80,229.337031,False,True,no_target
-395.21277,78,229.934168,False,True,no_target
127.78967,66,230.039553,True,False,no_target
120.003685,58,231.506379,True,False,no_target
-313.35074,24,232.225516,False,True,no_target
-317.98492,19,232.353835,False,True,no_target
-320.26257,27,233.248224,False,True,no_target
-393.43585,79,233.500734,False,True,no_target
-358.06046,51,234.20664,False,True,no_target
-384.86075,65,234.20664,False,True,no_target
-401.21707,83,234.571975,False,True,no_target
114.39321,64,236.015295,True,False,no_target
-316.86124,21,236.418572,False,True,no_target
52.96831,70,237.031671,True,False,no_target
98.84165,63,238.920566,True,False,no_target
-328.38614,25,239.490119,False,True,no_target
136.06992,63,239.738549,True,False,no_target
138.8748,65,239.848312,True,False,no_target
129.48332,63,240.694602,True,False,no_target
-355.3045,70,241.221658,False,True,no_target
-6.6128526,63,241.315511,True,False,no_target
106.099434,69,242.206439,True,False,no_target
135.61884,59,242.603991,True,False,no_target
-369.2703,62,244.184802,False,True,no_target
-328.34866,38,245.752141,False,True,no_target
94.758064,64,246.886303,True,False,no_target
124.29645,65,247.309808,True,False,no_target
-315.8111,34,248.31594,False,True,no_target
