#{"t_start": 1789954417.7091444, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
104.26807,56,30.918536,True,False,no_target
109.70452,57,30.956933,True,False,no_target
100.06593,58,31.148488,True,False,no_target
76.95057,59,31.386467,True,False,no_target
130.7237,60,31.66221,True,False,no_target
107.856316,60,31.66221,True,False,no_target
105.87042,61,32.660158,True,False,no_target
110.64924,61,32.660158,True,False,no_target
141.11803,62,33.089953,True,False,no_target
139.78981,62,33.089953,True,False,no_target
-366.1226,17,37.718045,False,True,being_overtaken
-302.9397,19,39.244093,False,True,crossing
80.807335,37,43.816615,True,False,being_overtaken
79.39813,36,46.894523,True,False,being_overtaken
40.4793,60,47.990588,True,False,overtaking
98.51304,57,48.231483,True,False,no_target
43.821823,57,48.795795,True,False,crossing
69.409775,59,49.273511,True,False,overtaking
53.63888,63,49.533113,True,False,no_target
-5.1056323,64,50.745316,True,False,overtaking
-304.38525,24,50.745316,False,True,head_on
113.20042,66,51.800507,True,False,crossing
61.214962,55,54.55129,True,False,head_on
37.120068,44,62.966272,True,False,being_overtaken
22.99897,53,65.29931,True,False,crossing
89.92444,60,65.818452,True,False,head_on
55.84666,59,66.9814,True,False,head_on
-41.329067,58,67.362731,True,False,overtaking
83.1168,58,67.603935,True,False,head_on
20.567421,61,69.754371,True,False,crossing
68.11976,63,71.24622,True,False,null
56.446342,56,71.81562,True,False,overtaking
48.628525,71,72.223202,True,False,null
72.65308,58,80.162926,True,False,no_target
-366.08212,33,81.360121,False,True,crossing
135.89902,58,82.397588,True,False,no_target
85.408066,62,83.322517,True,False,null
112.89785,60,84.332428,True,False,null
89.51784,60,84.495536,True,False,head_on
141.89836,62,84.495536,True,False,no_target
64.8576,61,86.465268,True,False,crossing
22.3412,55,86.940516,True,False,head_on
-315.20453,21,88.198566,False,True,crossing
67.73979,64,88.782748,True,False,head_on
-330.15707,16,88.782748,False,True,being_overtaken
33.02924,42,94.551811,True,False,being_overtaken
71.34822,58,96.577221,True,False,overtaking
12.2764015,57,97.127178,True,False,overtaking
-426.31766,22,98.60078,False,True,crossing
75.38501,56,98.711614,True,False,overtaking
-384.68524,42,99.157907,False,True,head_on
59.7612,64,99.491302,True,False,no_target
24.838806,58,100.348884,True,False,head_on
52.702473,58,100.751585,True,False,no_target
84.78551,58,101.466697,True,False,head_on
99.0033,58,102.329295,True,False,null
104.825005,39,104.343545,True,False,being_overtaken
-322.1439,24,105.438935,False,True,crossing
-423.2535,23,106.678061,False,True,crossing
-344.67645,9,107.069024,False,True,being_overtaken
81.75949,59,107.391837,True,False,no_target
-316.30878,33,107.73103,False,True,crossing
-359.65878,45,108.444085,False,True,no_target
45.399235,55,109.498323,True,False,head_on
136.93297,60,110.083889,True,False,no_target
61.28214,57,110.393043,True,False,head_on
-99.64078,59,113.125276,True,False,crossing
60.61757,35,113.125276,True,False,being_overtaken
85.325905,38,113.895242,True,False,being_overtaken
66.7839,56,114.174719,True,False,overtaking
-326.07843,18,116.913549,False,True,crossing
89.85608,58,117.037975,True,False,no_target
-0.7881172,53,117.355812,True,False,crossing
63.82828,57,118.84307,True,False,overtaking
110.4235,41,118.84307,True,False,being_overtaken
-308.17917,13,119.584285,False,True,crossing
