#{"t_start": 1790128351.6862817, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-315.7211,26,10.054899,False,True,no_target
-319.04575,27,10.106686,False,True,no_target
-326.87122,30,10.269793,False,True,no_target
-341.6584,37,10.65949,False,True,no_target
-347.56558,38,10.734492,False,True,no_target
127.40435,57,11.802758,True,False,no_target
-359.55246,61,12.046562,False,True,no_target
123.12092,63,12.166227,True,False,no_target
-344.11966,28,12.291226,False,True,no_target
94.199715,65,12.291226,True,False,no_target
-378.48196,68,12.469442,False,True,no_target
-338.88943,50,13.289568,False,True,no_target
111.61397,55,13.41332,True,False,no_target
-341.3671,45,13.469583,False,True,no_target
-313.87115,21,13.52768,False,True,no_target
-326.29486,18,13.642584,False,True,no_target
-412.96658,65,13.934222,False,True,no_target
-310.98392,36,14.280911,False,True,no_target
-364.0644,42,14.84411,False,True,no_target
-398.8203,65,15.703912,False,True,no_target
-42.889862,59,15.824971,True,False,no_target
118.02615,55,16.591969,True,False,no_target
101.29135,56,16.591969,True,False,no_target
-387.70874,54,16.69612,False,True,no_target
81.76349,59,16.874197,True,False,no_target
-357.59308,69,17.299057,False,True,no_target
-384.45847,65,17.685792,False,True,no_target
-312.66364,33,17.740587,False,True,no_target
75.15245,53,17.921481,True,False,no_target
-332.30988,66,18.099587,False,True,no_target
-332.5689,44,18.280466,False,True,no_target
-309.73486,28,18.569403,False,True,no_target
-316.4006,29,19.347296,False,True,no_target
-374.12054,36,19.835431,False,True,no_target
-366.92337,58,20.024466,False,True,no_target
-315.92908,36,20.411714,False,True,no_target
-366.67572,65,20.594314,False,True,no_target
136.567,68,20.660353,True,False,no_target
-314.8264,22,21.438789,False,True,no_target
-374.04416,70,21.510805,False,True,no_target
123.77442,61,21.648601,True,False,no_target
-300.58893,41,21.991399,False,True,no_target
-369.9166,74,22.687753,False,True,no_target
-356.11145,69,22.887962,False,True,no_target
-337.5518,25,23.103204,False,True,no_target
-333.05554,30,23.67411,False,True,no_target
-331.24857,50,23.769751,False,True,no_target
-310.06937,38,24.121439,False,True,no_target
-400.1419,68,24.403548,False,True,no_target
-367.53647,69,25.277203,False,True,no_target
-349.75534,72,25.556057,False,True,no_target
-317.24243,24,26.013067,False,True,no_target
75.3566,64,26.318836,True,False,no_target
-337.89197,35,26.438265,False,True,no_target
-343.53925,58,26.793835,False,True,no_target
-367.9926,61,26.793835,False,True,no_target
-353.8,33,27.331143,False,True,no_target
-403.57635,71,27.75586,False,True,no_target
-315.39444,18,27.879418,False,True,no_target
-384.01083,68,28.148175,False,True,no_target
-417.90216,77,28.630167,False,True,no_target
-327.89673,39,28.706751,False,True,no_target
-382.06906,49,29.10902,False,True,no_target
