#{"t_start": 1789736364.2602642, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-330.58173,32,19.054768,False,True,no_target
111.60378,58,20.001051,True,False,no_target
108.837814,58,20.001051,True,False,no_target
-391.56992,67,20.400048,False,True,no_target
84.82975,59,21.233305,True,False,no_target
-309.58298,34,21.263221,False,True,no_target
-349.4804,45,21.612321,False,True,no_target
-301.91614,55,22.423301,False,True,no_target
-319.86642,17,23.13203,False,True,no_target
117.38854,57,23.489467,True,False,no_target
77.3039,57,23.531497,True,False,no_target
127.596405,65,26.615253,True,False,no_target
-345.9353,22,27.19366,False,True,head_on
-337.57822,27,32.637078,False,True,head_on
98.14476,53,33.11332,True,False,no_target
-406.3014,68,34.190022,False,True,no_target
-329.3132,15,36.583276,False,True,null
-327.7564,26,37.818225,False,True,head_on
127.88727,58,38.265588,True,False,null
-331.89413,26,41.710554,False,True,no_target
-374.03793,24,43.482632,False,True,head_on
-349.87384,23,49.838364,False,True,being_overtaken
127.85115,64,49.838364,True,False,head_on
-323.5222,35,50.50974,False,True,crossing
-374.0466,68,51.709043,False,True,head_on
-353.00455,27,52.203924,False,True,head_on
-326.65927,17,53.617814,False,True,no_target
108.231255,56,54.344693,True,False,no_target
-469.375,73,55.490765,False,True,crossing
-446.47885,48,56.371604,False,True,head_on
-354.1386,70,56.549193,False,True,crossing
-324.88538,13,58.135628,False,True,crossing
-391.0319,71,61.452147,False,True,no_target
-329.67664,32,61.944826,False,True,overtaking
-451.6297,65,61.944826,False,True,crossing
-334.61166,15,63.544977,False,True,crossing
-437.8031,64,64.639617,False,True,null
-335.93817,28,66.026045,False,True,being_overtaken
-341.27853,18,66.51788,False,True,crossing
36.58199,41,66.994267,True,False,being_overtaken
-336.39117,34,67.122045,False,True,overtaking
-332.62234,28,67.948196,False,True,overtaking
-308.56198,13,69.20847,False,True,crossing
-342.65753,29,69.547133,False,True,head_on
-380.9243,48,70.486879,False,True,null
-333.84085,21,70.615566,False,True,being_overtaken
63.192696,62,71.149153,True,False,no_target
-316.86282,13,125.030559,False,True,no_target
-315.1682,36,126.728558,False,True,null
-325.6629,21,127.483216,False,True,no_target
-427.28854,66,128.116783,False,True,no_target
-325.2567,31,132.501791,False,True,null
-554.68884,74,133.900043,False,True,overtaking
-374.97083,47,134.407835,False,True,head_on
-320.8967,31,137.151391,False,True,head_on
-362.78824,30,137.151391,False,True,crossing
111.755585,62,137.747356,True,False,no_target
-356.78943,37,139.04599,False,True,null
-344.60657,16,140.792973,False,True,crossing
-316.6073,18,143.892464,False,True,crossing
-347.87357,25,144.429298,False,True,being_overtaken
-514.5453,48,145.236121,False,True,overtaking
-363.64832,51,146.057056,False,True,being_overtaken
-373.80948,25,147.331985,False,True,head_on
-375.49097,33,147.331985,False,True,head_on
-316.90433,42,147.807656,False,True,crossing
-417.88727,36,150.021894,False,True,no_target
-317.72064,24,150.368751,False,True,head_on
-463.8773,37,152.63499,False,True,head_on
-308.31104,24,153.969912,False,True,head_on
-306.14923,29,155.127136,False,True,no_target
-394.59882,55,155.790186,False,True,head_on
-314.35837,24,156.082282,False,True,being_overtaken
-336.35968,23,157.655627,False,True,head_on
-309.31427,14,159.219719,False,True,being_overtaken
-308.6858,32,160.74951,False,True,crossing
-314.42642,16,161.548732,False,True,crossing
-402.18246,28,162.686028,False,True,overtaking
-311.8893,15,163.505286,False,True,crossing
-309.34467,25,164.629187,False,True,null
-348.90564,50,164.980829,False,True,no_target
-328.83878,20,168.388002,False,True,crossing
-351.49796,20,168.850015,False,True,crossing
-333.95203,34,169.405971,False,True,null
-395.92117,43,170.135906,False,True,being_overtaken
-360.38184,28,171.12869,False,True,overtaking
93.50721,37,171.790362,True,False,being_overtaken
-360.24997,46,172.620023,False,True,being_overtaken
-367.21475,72,175.04195,False,True,head_on
-311.42917,27,175.269764,False,True,head_on
-335.4072,57,175.814374,False,True,no_target
-457.90765,65,177.120613,False,True,head_on
-310.05276,20,177.659308,False,True,crossing
-319.97662,16,179.321316,False,True,no_target
-350.53607,47,180.095381,False,True,overtaking
-323.29224,27,180.634664,False,True,being_overtaken
-366.55527,67,181.835611,False,True,head_on
-320.04626,22,182.244312,False,True,no_target
-321.67575,34,182.429276,False,True,overtaking
-316.77127,26,184.067181,False,True,null
-341.52173,24,184.555662,False,True,head_on
-330.21335,6,184.693437,False,True,being_overtaken
-383.63132,52,185.218452,False,True,no_target
