#{"t_start": 1789755778.6171381, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-315.7211,26,2.69725,False,True,no_target
-319.04575,27,2.749942,False,True,no_target
-326.87122,30,2.888088,False,True,no_target
-341.6584,37,3.231599,False,True,no_target
-347.56558,38,3.297005,False,True,no_target
-311.4617,19,4.20337,False,True,no_target
127.40435,57,4.260878,True,False,no_target
94.47217,61,4.492623,True,False,no_target
-359.55246,61,4.492623,False,True,no_target
123.12092,63,4.62968,True,False,no_target
-378.48196,68,4.923616,False,True,no_target
-377.28204,23,5.52488,False,True,no_target
-318.32156,22,5.52488,False,True,no_target
-338.88943,50,5.580711,False,True,no_target
111.61397,55,5.690006,True,False,no_target
-341.3671,45,5.74611,False,True,no_target
-315.8558,24,5.866344,False,True,no_target
-412.96658,65,6.211739,False,True,no_target
-323.00128,32,6.340105,False,True,no_target
-313.71924,31,6.405364,False,True,no_target
-317.03275,35,6.923304,False,True,no_target
-313.39923,34,7.714018,False,True,no_target
-308.67023,22,8.009413,False,True,no_target
-315.2523,37,8.442634,False,True,no_target
-323.71225,33,9.524454,False,True,no_target
123.36445,58,11.182451,True,False,no_target
64.09011,55,11.38255,True,False,no_target
-346.0942,44,13.374526,False,True,no_target
-379.1001,63,13.655353,False,True,no_target
-404.98517,69,13.887503,False,True,no_target
-354.5154,24,14.281231,False,True,head_on
-415.40744,61,14.777649,False,True,no_target
103.15081,54,21.016999,True,False,no_target
-390.9393,58,21.336905,False,True,no_target
24.009808,62,21.545056,True,False,head_on
-354.4948,39,21.749408,False,True,null
-374.00183,37,24.94801,False,True,head_on
-312.8201,43,25.376929,False,True,no_target
-356.13257,56,26.1289,False,True,no_target
-427.38055,48,26.428744,False,True,head_on
-380.79825,46,26.639679,False,True,head_on
-324.9131,19,30.553574,False,True,crossing
-349.07272,25,31.082834,False,True,head_on
-352.1061,70,31.694423,False,True,head_on
-358.51266,27,32.308949,False,True,being_overtaken
64.85308,55,33.623302,True,False,head_on
97.00439,58,33.989607,True,False,no_target
113.71736,57,34.269142,True,False,no_target
-360.31973,45,34.476418,False,True,null
-325.79126,42,35.436839,False,True,no_target
-413.48865,70,37.396817,False,True,head_on
17.608088,33,38.44005,True,False,being_overtaken
-320.09116,17,39.754737,False,True,crossing
-319.7966,28,41.457262,False,True,overtaking
-330.13568,29,44.174598,False,True,being_overtaken
-431.46933,60,44.240397,False,True,crossing
-327.40704,50,45.015615,False,True,overtaking
-411.3343,47,46.146875,False,True,crossing
23.313047,53,46.404856,True,False,overtaking
-377.58112,68,46.606984,False,True,overtaking
71.116135,66,46.95493,True,False,head_on
-327.07184,46,47.930938,False,True,no_target
110.55293,59,48.796794,True,False,head_on
-330.7458,19,48.841622,False,True,crossing
-319.25098,33,49.708708,False,True,no_target
-388.69943,34,49.708708,False,True,no_target
-331.1913,30,51.030797,False,True,overtaking
-398.55365,67,52.404858,False,True,overtaking
-324.63208,22,53.604396,False,True,no_target
-328.84705,22,53.604396,False,True,null
-350.85318,53,54.128412,False,True,no_target
-348.0627,36,54.128412,False,True,being_overtaken
-293.27362,17,57.193381,False,True,crossing
-330.2047,21,57.763253,False,True,being_overtaken
93.149605,69,58.138933,True,False,overtaking
67.56513,54,58.30061,True,False,head_on
-392.18896,70,58.746389,False,True,head_on
-351.6481,36,60.256073,False,True,crossing
-343.20782,14,60.463094,False,True,crossing
112.301155,43,60.729324,True,False,being_overtaken
-402.4716,69,60.828655,False,True,no_target
