#{"t_start": 1789731992.4102738, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-320.44525,30,20.785791,False,True,no_target
-304.98672,35,21.380036,False,True,no_target
-341.11566,48,22.710737,False,True,no_target
-315.9652,19,22.830336,False,True,no_target
135.5615,59,24.501372,True,False,no_target
-345.69864,60,24.665986,False,True,no_target
131.38634,62,25.007004,True,False,no_target
-368.39005,68,26.200162,False,True,no_target
-347.9791,69,26.410217,False,True,no_target
-367.5005,69,26.410217,False,True,no_target
-321.7919,14,27.19883,False,True,no_target
-380.90216,76,27.541517,False,True,no_target
-349.50256,30,29.94073,False,True,no_target
-310.55774,33,31.228988,False,True,no_target
-329.6384,72,33.376618,False,True,no_target
-305.84363,31,33.376618,False,True,no_target
-374.36868,46,34.936697,False,True,no_target
-360.99142,70,35.741791,False,True,no_target
-329.37555,55,36.817839,False,True,no_target
-394.25928,81,39.136038,False,True,no_target
127.60552,64,40.687927,True,False,no_target
92.97812,64,42.444804,True,False,no_target
-304.56955,36,44.263492,False,True,no_target
-313.42767,26,44.917256,False,True,null
-329.0185,58,47.380162,False,True,no_target
-338.3039,28,48.56262,False,True,head_on
-350.28394,23,49.711097,False,True,head_on
-394.9351,74,50.280138,False,True,no_target
-326.16858,13,53.710089,False,True,no_target
-350.84274,42,53.979952,False,True,no_target
-491.20877,71,54.892304,False,True,no_target
-318.00876,15,54.892304,False,True,no_target
-343.57562,61,56.532894,False,True,no_target
-444.81985,76,58.917853,False,True,head_on
-345.4011,60,64.411783,False,True,no_target
-329.74686,21,64.411783,False,True,head_on
-314.46017,33,65.926371,False,True,null
-320.73453,33,65.926371,False,True,no_target
117.6725,60,66.281206,True,False,null
-381.19656,74,67.464422,False,True,no_target
122.03172,67,69.870141,True,False,no_target
-312.089,42,72.705283,False,True,null
-349.93854,72,77.474369,False,True,no_target
-340.53674,77,79.05185,False,True,no_target
-311.02817,36,79.384743,False,True,overtaking
-319.71643,42,80.168198,False,True,no_target
-366.14386,54,81.741945,False,True,overtaking
74.90511,63,84.59041,True,False,crossing
110.65795,61,85.948544,True,False,null
134.5514,63,86.740488,True,False,no_target
-341.63855,10,88.182573,False,True,being_overtaken
-310.85193,27,88.772826,False,True,null
76.70969,61,91.008749,True,False,overtaking
-371.1913,41,91.488669,False,True,crossing
-321.38358,36,92.43097,False,True,head_on
124.46043,62,93.511366,True,False,no_target
-307.95273,19,94.20631,False,True,crossing
-358.85483,49,95.99244,False,True,being_overtaken
-322.3989,32,98.766555,False,True,overtaking
-321.02423,23,98.766555,False,True,head_on
76.706436,38,103.868931,True,False,being_overtaken
-397.24884,71,104.304446,False,True,head_on
127.57449,64,105.712944,True,False,null
-302.36804,26,105.712944,False,True,head_on
-329.0588,62,105.712944,False,True,no_target
107.98998,57,107.306751,True,False,crossing
-311.5903,18,108.872925,False,True,being_overtaken
-361.19754,29,113.120118,False,True,being_overtaken
84.520874,63,113.662247,True,False,overtaking
-326.57962,28,114.498549,False,True,head_on
-335.99402,70,114.684077,False,True,null
-392.8058,64,114.985938,False,True,head_on
-332.01785,26,115.638764,False,True,no_target
-323.17657,25,116.785199,False,True,overtaking
-314.4816,14,118.695807,False,True,crossing
-404.65018,69,119.023911,False,True,head_on
-341.3096,22,121.008702,False,True,head_on
-358.1815,27,121.306274,False,True,head_on
-5.461757,55,122.190804,True,False,head_on
-363.5626,25,122.917532,False,True,crossing
-304.83066,31,123.809389,False,True,overtaking
-386.34793,69,125.70227,False,True,no_target
-312.10748,31,126.878591,False,True,head_on
-315.69482,17,127.465055,False,True,crossing
89.76726,40,128.375505,True,False,being_overtaken
55.494667,63,131.49742,True,False,crossing
-343.20612,43,131.49742,False,True,no_target
-321.12204,33,134.584757,False,True,no_target
-338.61594,44,136.07457,False,True,no_target
-337.95856,18,137.578262,False,True,being_overtaken
-332.96786,33,138.30869,False,True,being_overtaken
66.86769,36,138.651992,True,False,being_overtaken
-323.19705,38,139.672487,False,True,overtaking
-401.7774,74,142.362789,False,True,head_on
-319.2224,32,142.362789,False,True,no_target
-327.69482,30,143.128605,False,True,null
-379.83353,78,143.128605,False,True,null
-341.57877,25,143.880462,False,True,being_overtaken
-325.94806,35,145.451655,False,True,overtaking
-425.6058,73,146.292784,False,True,head_on
-322.24905,16,146.292784,False,True,no_target
-337.61386,16,149.175506,False,True,crossing
-383.65558,77,151.188898,False,True,crossing
-351.49158,25,151.910246,False,True,head_on
60.24583,44,153.614584,True,False,being_overtaken
-323.00137,34,154.396949,False,True,overtaking
-317.4515,44,154.396949,False,True,overtaking
-334.05188,68,154.556103,False,True,null
135.43483,64,154.786674,True,False,no_target
-354.96185,34,157.521035,False,True,being_overtaken
-360.6094,19,158.862442,False,True,overtaking
-356.03625,71,159.42146,False,True,no_target
-333.55307,24,160.756048,False,True,being_overtaken
-349.5254,75,161.550713,False,True,overtaking
-362.48984,45,162.64904,False,True,null
-358.56577,26,166.034299,False,True,being_overtaken
104.31058,57,166.229375,True,False,null
-369.5329,49,166.407323,False,True,head_on
85.11894,37,166.616347,True,False,being_overtaken
-438.1543,36,169.282402,False,True,overtaking
-388.78928,62,169.547006,False,True,no_target
-400.78995,75,171.797551,False,True,head_on
-347.16077,25,172.432433,False,True,head_on
-316.26837,28,172.936375,False,True,no_target
94.07698,64,174.267613,True,False,overtaking
42.74511,58,175.050937,True,False,head_on
