#{"t_start": 1789730636.8051991, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-321.42712,30,9.375098,False,True,no_target
-304.1498,35,13.978504,False,True,no_target
-332.97235,47,25.490347,False,True,no_target
-361.94324,56,32.317238,False,True,no_target
85.39354,59,34.729648,True,False,no_target
108.63531,61,36.494667,True,False,no_target
96.590385,62,37.498049,True,False,no_target
-364.2679,33,38.370362,False,True,no_target
-363.36237,66,41.545986,False,True,no_target
-324.6923,72,45.886452,False,True,no_target
-374.76227,75,47.319728,False,True,no_target
127.2093,61,59.928849,True,False,no_target
-317.42694,24,59.928849,False,True,no_target
-313.3156,40,59.928849,False,True,no_target
138.60124,62,68.171482,True,False,no_target
-333.48853,40,71.698929,False,True,no_target
114.0699,59,76.545635,True,False,no_target
-320.87714,15,78.825519,False,True,no_target
-313.86407,30,79.904871,False,True,no_target
140.27072,62,81.291864,True,False,no_target
-308.92368,33,82.078387,False,True,no_target
-373.63535,68,82.859878,False,True,no_target
-339.13168,71,82.859878,False,True,no_target
125.04718,69,84.458196,True,False,no_target
-317.44733,14,91.541708,False,True,no_target
-325.12592,21,92.678443,False,True,no_target
-302.10678,36,97.717244,False,True,no_target
-306.65674,35,100.363542,False,True,no_target
-313.7595,32,105.625725,False,True,no_target
116.85383,68,110.04812,True,False,no_target
-353.77188,48,119.348899,False,True,no_target
-355.08035,26,121.624338,False,True,head_on
-303.56558,28,134.462281,False,True,head_on
115.62172,63,135.134246,True,False,no_target
-389.50494,67,138.597283,False,True,no_target
-377.7342,25,140.753934,False,True,head_on
-330.29462,72,145.579388,False,True,no_target
134.32391,62,146.54734,True,False,no_target
-383.79733,66,151.301294,False,True,null
116.9999,58,152.926717,True,False,null
-411.31332,66,164.044207,False,True,head_on
-323.81067,26,166.801124,False,True,head_on
-341.12204,39,167.561075,False,True,no_target
-339.87933,39,178.922951,False,True,no_target
-344.95016,33,178.922951,False,True,null
119.973045,58,184.534981,True,False,no_target
-344.4071,54,185.664587,False,True,no_target
-356.5731,78,187.088244,False,True,no_target
-370.83896,71,197.596375,False,True,null
-334.1442,28,200.524769,False,True,head_on
108.77351,58,214.011515,True,False,head_on
-413.4748,77,214.828734,False,True,no_target
-350.38507,41,220.835251,False,True,no_target
-354.6598,25,221.676144,False,True,overtaking
-448.76917,68,222.416936,False,True,null
-334.0585,49,225.08921,False,True,no_target
68.216644,79,227.579197,True,False,head_on
111.53988,66,231.176218,True,False,no_target
-294.62793,18,235.868758,False,True,crossing
-377.99805,69,242.455493,False,True,head_on
-364.52203,56,246.069125,False,True,head_on
-308.8001,23,260.800583,False,True,head_on
115.784065,58,263.916742,True,False,no_target
-332.98187,24,264.731106,False,True,overtaking
-679.5211,53,265.798261,False,True,crossing
-322.83163,45,266.78706,False,True,overtaking
-387.25677,54,273.231642,False,True,no_target
-422.89108,77,281.486509,False,True,crossing
-316.27084,17,281.486509,False,True,no_target
