#{"t_start": 1789732205.4241025, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-320.19385,30,8.409478,False,True,no_target
-303.18085,34,12.596431,False,True,no_target
-356.75204,50,26.993946,False,True,no_target
-371.05762,56,31.619656,False,True,no_target
134.54192,62,36.888538,True,False,no_target
-352.9744,65,39.347081,False,True,no_target
-367.18158,65,39.347081,False,True,no_target
-414.3556,71,44.521412,False,True,no_target
-361.15353,71,44.521412,False,True,no_target
-372.68613,79,51.974837,False,True,no_target
-359.4875,30,52.77069,False,True,no_target
-344.07278,26,54.215694,False,True,no_target
112.65279,56,61.003051,True,False,no_target
-311.90555,22,63.172408,False,True,no_target
-318.28134,32,63.902225,False,True,no_target
-439.3375,70,68.469972,False,True,no_target
-311.33847,22,69.228361,False,True,no_target
-317.28268,16,73.596551,False,True,no_target
-398.47964,55,85.579663,False,True,no_target
-331.0707,41,88.255548,False,True,no_target
56.574543,64,93.973149,True,False,no_target
-317.21036,13,97.435062,False,True,null
-343.7752,43,100.442204,False,True,no_target
-322.03687,32,102.382809,False,True,no_target
-401.106,70,105.804121,False,True,no_target
129.72688,68,113.522779,True,False,no_target
-298.40466,68,126.374374,False,True,no_target
-343.67487,63,127.100379,False,True,no_target
-331.54745,36,129.081434,False,True,null
122.009674,65,130.055611,True,False,no_target
-381.2242,67,151.830043,False,True,no_target
118.04566,58,152.859223,True,False,no_target
139.76158,60,158.24317,True,False,no_target
-403.05646,70,170.416661,False,True,head_on
-316.98114,21,174.442318,False,True,null
-364.23892,72,175.40097,False,True,null
-373.64807,68,179.14447,False,True,no_target
-337.47626,12,187.148699,False,True,being_overtaken
126.85128,58,187.148699,True,False,no_target
134.24496,64,189.567673,True,False,no_target
61.548084,37,195.438905,True,False,being_overtaken
-375.90067,75,199.101972,False,True,null
-442.0112,72,199.101972,False,True,head_on
-348.12753,30,199.99806,False,True,head_on
-312.88834,29,207.247818,False,True,no_target
-317.85773,17,212.631803,False,True,crossing
124.87537,60,212.631803,True,False,null
-358.04062,25,215.519984,False,True,head_on
-329.35153,15,215.519984,False,True,crossing
74.86576,38,226.293763,True,False,being_overtaken
-402.62405,45,233.269101,False,True,head_on
-315.35733,19,233.269101,False,True,no_target
-335.61365,36,237.509345,False,True,head_on
-315.5043,23,237.509345,False,True,null
-310.56747,24,241.246855,False,True,null
-316.71542,16,244.133674,False,True,being_overtaken
-337.44244,13,254.876003,False,True,crossing
-344.5698,80,258.162135,False,True,head_on
-314.92245,26,263.105902,False,True,head_on
-357.177,66,267.370784,False,True,head_on
-349.9984,37,269.587562,False,True,head_on
-329.57236,40,272.62028,False,True,null
105.01966,58,273.493088,True,False,crossing
-325.31903,16,278.324353,False,True,crossing
-317.45728,26,278.324353,False,True,no_target
-373.1531,79,288.896945,False,True,null
-333.45764,37,295.94455,False,True,head_on
-328.6118,25,297.223115,False,True,being_overtaken
-316.6237,32,304.499238,False,True,overtaking
-306.4824,22,305.712643,False,True,head_on
-307.47278,28,306.749513,False,True,crossing
83.529625,65,306.749513,True,False,head_on
-310.52158,33,311.108428,False,True,no_target
-465.36533,66,313.30564,False,True,overtaking
-304.34283,14,314.909826,False,True,crossing
-340.75003,28,320.721299,False,True,head_on
-294.47324,17,323.606128,False,True,crossing
105.38371,43,326.298898,True,False,being_overtaken
-317.46686,19,329.323337,False,True,null
-305.20267,26,331.042141,False,True,crossing
-303.40607,32,336.523791,False,True,no_target
-323.63608,23,336.523791,False,True,crossing
-298.75366,16,336.523791,False,True,crossing
-347.42545,15,344.560883,False,True,crossing
-322.39587,14,350.699836,False,True,crossing
-316.20813,22,353.490718,False,True,null
-327.54462,28,354.326199,False,True,overtaking
85.105995,37,359.534849,True,False,being_overtaken
-308.99658,28,363.812725,False,True,overtaking
-313.91687,16,368.184598,False,True,being_overtaken
-414.25177,73,370.044446,False,True,no_target
-433.51413,68,373.018684,False,True,head_on
-413.68158,32,375.568788,False,True,overtaking
-363.89423,65,376.993333,False,True,no_target
-342.89172,28,377.943357,False,True,overtaking
-363.0677,16,379.737909,False,True,crossing
-312.60986,27,380.671087,False,True,no_target
-342.99084,31,389.635967,False,True,being_overtaken
131.70116,60,393.886512,True,False,no_target
-337.56473,19,393.886512,False,True,crossing
-289.35703,18,395.764014,False,True,crossing
-335.19708,31,404.023707,False,True,crossing
-350.62976,25,417.314579,False,True,head_on
-334.48926,16,419.128249,False,True,crossing
76.28397,36,422.602673,True,False,being_overtaken
