#{"t_start": 1789731341.4134645, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-323.62494,30,33.944047,False,True,no_target
-306.06906,35,53.943786,False,True,no_target
-337.90305,51,108.225491,False,True,no_target
-354.96048,51,108.225491,False,True,no_target
123.84833,59,137.247985,True,False,no_target
135.23576,62,147.994463,True,False,no_target
-402.79306,33,152.955313,False,True,no_target
101.928444,65,164.382946,True,False,no_target
-356.4577,66,170.37503,False,True,no_target
-375.5565,69,183.308664,False,True,no_target
-376.2771,72,195.812883,False,True,no_target
-322.39926,17,237.390313,False,True,no_target
-311.60324,36,285.925694,False,True,no_target
-315.59485,28,292.364012,False,True,no_target
-387.90674,65,304.084694,False,True,no_target
-313.61255,32,317.550674,False,True,no_target
121.60468,62,350.244633,True,False,no_target
-326.13718,65,359.998792,False,True,no_target
-333.05258,20,363.39108,False,True,no_target
128.61551,60,381.574291,True,False,no_target
120.34148,57,385.160566,True,False,no_target
-344.06885,28,385.160566,False,True,no_target
-367.5386,28,402.915954,False,True,no_target
124.7366,65,402.915954,True,False,no_target
-347.5353,28,460.103071,False,True,no_target
-335.94766,32,464.062415,False,True,no_target
-316.76498,22,483.971068,False,True,no_target
-302.77054,33,502.690773,False,True,no_target
-335.60675,73,502.690773,False,True,no_target
-343.28082,34,511.860025,False,True,no_target
143.6877,62,559.31018,True,False,no_target
