#{"t_start": 1789736129.7185755, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-327.53638,30,27.717211,False,True,no_target
-366.83334,49,28.49886,False,True,no_target
114.70388,55,28.738457,True,False,no_target
-318.12274,20,29.603513,False,True,no_target
-354.07703,72,29.930479,False,True,no_target
-327.8196,74,34.035357,False,True,no_target
-300.5762,32,34.035357,False,True,no_target
97.44564,63,35.674958,True,False,no_target
-309.65332,26,37.336344,False,True,no_target
-301.42978,34,38.286579,False,True,no_target
161.29604,69,38.286579,True,False,no_target
-356.05594,56,46.129787,False,True,no_target
-348.8594,180,68.729773,False,False,no_target
-383.6802,180,70.112799,False,False,head_on
-366.44894,180,70.112799,False,False,no_target
-407.82397,180,79.973479,False,False,null
-328.44745,19,84.126617,False,True,crossing
-432.6749,180,99.336723,False,False,null
-430.50323,180,100.137381,False,False,overtaking
-663.6208,180,100.137381,False,False,head_on
-416.65338,180,107.560598,False,False,overtaking
43.069935,77,110.07483,True,False,being_overtaken
42.61052,79,110.533464,True,False,being_overtaken
-39.763355,108,116.080553,True,False,crossing
-354.5485,50,117.45922,False,True,crossing
-377.2325,29,118.69744,False,True,null
-346.45486,36,121.06038,False,True,no_target
-370.72406,13,125.17029,False,True,crossing
-413.82874,22,125.586699,False,True,overtaking
-347.2105,18,126.04949,False,True,null
-344.24133,17,127.57288,False,True,being_overtaken
-336.26877,15,129.332724,False,True,no_target
-327.65576,14,129.52849,False,True,crossing
-335.32126,16,129.863095,False,True,head_on
-343.82974,19,133.15439,False,True,overtaking
-349.73514,17,134.420474,False,True,being_overtaken
-350.26514,20,135.304399,False,True,being_overtaken
-330.21906,12,137.270062,False,True,crossing
-378.80542,31,138.21043,False,True,no_target
-390.0269,17,139.077891,False,True,crossing
-343.5324,20,139.161629,False,True,no_target
-386.50092,16,140.151632,False,True,crossing
-362.8834,19,142.330974,False,True,being_overtaken
-333.98456,13,142.52462,False,True,being_overtaken
-333.67795,18,143.484247,False,True,null
-359.16785,19,143.484247,False,True,overtaking
-356.70215,19,148.666795,False,True,overtaking
-357.32352,23,148.666795,False,True,head_on
-368.15582,23,149.166736,False,True,null
-404.13336,21,149.166736,False,True,crossing
-374.28036,12,150.779454,False,True,crossing
-395.2916,21,152.353978,False,True,crossing
-341.54388,19,152.353978,False,True,head_on
-338.5667,10,152.519648,False,True,no_target
-358.54932,25,153.34288,False,True,no_target
-365.9254,14,157.15174,False,True,crossing
