#{"t_start": 1789755261.3900506, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-330.58237,31,5.46539,False,True,no_target
-307.13367,36,7.599287,False,True,no_target
-349.25415,51,13.334178,False,True,no_target
-319.14954,22,14.275879,False,True,no_target
-373.831,56,15.545389,False,True,no_target
149.32617,66,19.34557,True,False,no_target
-342.08966,71,20.994453,False,True,no_target
-354.23453,71,20.994453,False,True,no_target
-340.60825,71,20.994453,False,True,no_target
-371.9686,72,21.373937,False,True,no_target
-315.92474,73,21.733889,False,True,no_target
-335.65402,15,24.881971,False,True,no_target
-330.40323,28,24.881971,False,True,no_target
-350.88922,30,24.881971,False,True,no_target
-333.47873,11,25.712442,False,True,no_target
-336.1648,28,25.988971,False,True,no_target
-322.8506,53,27.927266,False,True,no_target
-344.14523,19,28.270054,False,True,no_target
-335.85806,19,28.270054,False,True,no_target
-342.47058,20,28.722358,False,True,no_target
-345.848,19,29.225288,False,True,no_target
-338.19614,18,32.14448,False,True,no_target
-338.6001,18,32.14448,False,True,no_target
-328.75003,16,32.631079,False,True,no_target
-348.12735,20,33.181626,False,True,no_target
-342.4256,18,33.181626,False,True,no_target
-337.2396,13,33.977105,False,True,no_target
-328.2734,15,34.684044,False,True,no_target
-329.53378,18,35.838886,False,True,no_target
-339.70718,16,36.281226,False,True,no_target
-331.70557,19,37.123069,False,True,no_target
-360.73697,11,38.360331,False,True,no_target
-324.007,12,38.360331,False,True,no_target
-323.7696,15,39.450542,False,True,no_target
-320.85754,12,40.019742,False,True,no_target
-333.03705,17,40.546773,False,True,no_target
-321.99356,12,42.751987,False,True,no_target
-340.79694,16,44.531584,False,True,no_target
-321.83746,14,45.51883,False,True,no_target
-353.88464,22,46.20463,False,True,no_target
-325.44342,13,50.956376,False,True,head_on
-337.21298,19,52.499101,False,True,head_on
-335.6313,17,52.499101,False,True,no_target
-331.05078,18,53.368452,False,True,no_target
-324.74637,12,57.557339,False,True,null
-343.63858,20,57.557339,False,True,no_target
-355.76245,21,58.778478,False,True,null
-341.7815,16,58.778478,False,True,head_on
-341.23767,12,59.918433,False,True,no_target
-344.4145,22,61.122674,False,True,no_target
-336.25787,19,61.122674,False,True,head_on
-339.26187,15,63.195651,False,True,no_target
-322.2978,14,63.195651,False,True,no_target
-351.58673,18,65.782752,False,True,null
-333.8973,13,68.800321,False,True,no_target
-343.55374,18,71.389471,False,True,head_on
-343.4275,19,72.661522,False,True,head_on
-319.7263,15,74.479596,False,True,no_target
-329.2674,19,74.479596,False,True,head_on
-327.02786,19,78.032792,False,True,null
-324.32736,21,78.032792,False,True,null
-332.48236,21,82.578315,False,True,head_on
-315.61838,22,83.397013,False,True,no_target
-316.8706,18,84.701963,False,True,null
-330.6101,26,90.172164,False,True,head_on
-332.43195,19,92.460896,False,True,head_on
-339.51892,26,96.431251,False,True,head_on
-345.37674,27,96.431251,False,True,no_target
-317.23242,24,96.431251,False,True,no_target
-320.5201,20,96.431251,False,True,null
-326.40048,20,100.456815,False,True,no_target
-337.95197,26,100.456815,False,True,no_target
-318.97504,23,104.236174,False,True,head_on
-333.34656,27,105.393452,False,True,no_target
-317.91513,21,109.247181,False,True,null
-324.95227,17,109.99128,False,True,no_target
-320.20264,24,109.99128,False,True,no_target
-313.56412,19,111.467691,False,True,head_on
-314.16055,16,113.736616,False,True,null
-327.76886,25,115.962709,False,True,no_target
-345.98135,27,117.195773,False,True,no_target
-332.61777,28,122.565018,False,True,head_on
-329.50458,17,122.565018,False,True,overtaking
-319.10568,25,123.980922,False,True,head_on
-315.99194,21,126.683487,False,True,null
-328.37625,28,126.683487,False,True,no_target
-350.66382,25,127.387182,False,True,crossing
-356.21735,24,127.387182,False,True,crossing
-325.53525,24,130.878559,False,True,head_on
-331.86374,25,134.913219,False,True,no_target
-342.10333,28,135.491231,False,True,null
-297.83386,14,136.151899,False,True,crossing
-346.46362,20,136.151899,False,True,crossing
-334.2525,27,142.050318,False,True,null
-323.49554,25,143.972173,False,True,head_on
