#{"t_start": 1790299508.63934, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-319.85956,30,8.214374,False,True,no_target
-313.0953,36,8.504842,False,True,no_target
-347.97214,51,9.194077,False,True,no_target
-366.08133,57,9.458863,False,True,no_target
-394.7445,59,9.559405,False,True,no_target
-357.393,32,9.696373,False,True,no_target
101.427826,62,9.696373,True,False,no_target
140.34451,65,9.817364,True,False,no_target
-351.21548,68,9.952573,False,True,no_target
-330.7223,72,10.126291,False,True,no_target
-370.67313,74,10.215623,False,True,no_target
-311.6334,37,11.18839,False,True,no_target
126.870636,66,11.450001,True,False,no_target
132.23991,60,11.858651,True,False,no_target
-355.93185,53,12.035659,False,True,no_target
-342.1957,47,12.208519,False,True,no_target
49.82273,63,12.747906,True,False,no_target
-344.4249,69,12.747906,False,True,no_target
-316.9449,35,12.747906,False,True,no_target
-358.43646,75,12.787826,False,True,no_target
126.167496,62,12.951037,True,False,no_target
-329.8398,74,13.080799,False,True,no_target
-318.02942,29,13.12439,False,True,no_target
-326.95715,20,13.959782,False,True,no_target
131.29999,62,14.70605,True,False,no_target
122.3627,58,14.70605,True,False,no_target
-319.8878,19,14.795118,False,True,no_target
-344.80582,79,14.880915,False,True,no_target
-354.12405,53,15.013314,False,True,no_target
-330.308,55,15.136663,False,True,no_target
133.00957,61,15.338855,True,False,no_target
47.03196,57,15.386898,True,False,no_target
-328.60916,74,15.925636,False,True,no_target
-356.2343,33,16.235256,False,True,no_target
-355.97583,75,16.32286,False,True,no_target
-319.61655,34,16.874706,False,True,no_target
-312.8932,22,17.17169,False,True,no_target
128.3466,58,17.216118,True,False,no_target
87.57156,60,17.490578,True,False,no_target
-416.8017,64,17.490578,False,True,no_target
-338.07407,39,17.618078,False,True,no_target
130.5377,66,17.891047,True,False,no_target
-323.70255,44,18.219208,False,True,no_target
-355.09113,74,18.339354,False,True,no_target
-320.5382,26,18.584415,False,True,no_target
-391.705,76,18.630079,False,True,no_target
-301.84778,41,18.630079,False,True,no_target
88.29611,59,19.597356,True,False,no_target
-373.18005,71,20.112798,False,True,no_target
-401.8541,66,20.157839,False,True,no_target
129.62326,64,20.201861,True,False,no_target
-320.8317,14,20.717707,False,True,no_target
108.648796,61,20.763939,True,False,no_target
102.676506,73,20.817326,True,False,no_target
135.14168,60,21.017253,True,False,no_target
127.18172,71,21.060414,True,False,no_target
-334.49817,62,21.105764,False,True,no_target
-335.41748,71,21.479742,False,True,no_target
-318.1834,13,21.613276,False,True,no_target
-313.77496,43,21.950752,False,True,no_target
-368.73923,60,22.127383,False,True,no_target
-314.91064,33,22.52671,False,True,no_target
-328.8926,28,22.717309,False,True,no_target
-324.88086,18,22.951924,False,True,no_target
110.790955,68,23.194329,True,False,no_target
138.98569,63,23.614546,True,False,no_target
-390.82697,70,23.854241,False,True,no_target
-352.7488,75,24.028747,False,True,no_target
52.854755,57,24.12074,True,False,no_target
-323.67313,33,24.360094,False,True,no_target
-341.9991,79,24.547262,False,True,no_target
120.78073,60,25.055134,True,False,no_target
-337.61838,46,25.055134,False,True,no_target
-309.34113,26,25.134956,False,True,no_target
-325.18942,16,25.173433,False,True,no_target
134.53667,69,25.563286,True,False,no_target
-417.6492,86,25.563286,False,True,no_target
-306.28955,37,25.791739,False,True,no_target
115.27756,56,25.839924,True,False,no_target
126.42472,61,26.417198,True,False,no_target
-346.59637,68,26.54166,False,True,no_target
-319.0038,26,26.863844,False,True,no_target
114.11919,54,27.293369,True,False,no_target
-360.2408,59,27.378475,False,True,no_target
131.69601,63,27.547554,True,False,no_target
135.66899,61,27.547554,True,False,no_target
129.48547,58,27.880632,True,False,no_target
-308.58557,39,28.012923,False,True,no_target
121.79207,59,28.182339,True,False,no_target
-315.35602,22,28.234097,False,True,no_target
-311.3464,66,28.234097,False,True,no_target
-319.53476,22,29.005495,False,True,no_target
128.5138,65,29.317332,True,False,no_target
-355.96384,62,29.535405,False,True,no_target
-310.36633,38,29.573961,False,True,no_target
-313.49353,31,29.620011,False,True,no_target
-384.46002,59,30.091714,False,True,no_target
-393.33945,66,30.210356,False,True,no_target
-345.20114,68,30.43196,False,True,no_target
129.8138,65,30.919331,True,False,no_target
-309.06995,34,30.919331,False,True,no_target
-334.5971,36,30.968631,False,True,no_target
105.82458,55,31.201123,True,False,no_target
-376.0844,75,31.279356,False,True,no_target
133.27641,60,31.695531,True,False,no_target
-307.4869,39,31.74086,False,True,no_target
140.22105,61,31.959561,True,False,no_target
-317.9661,33,32.590255,False,True,no_target
124.922104,65,32.721552,True,False,no_target
-319.84146,44,32.814037,False,True,no_target
111.74553,60,32.908551,True,False,no_target
126.4577,57,33.359444,True,False,no_target
117.85229,56,33.713043,True,False,no_target
-319.24982,26,33.886263,False,True,no_target
-401.8246,71,33.97668,False,True,no_target
-337.22693,34,34.411266,False,True,no_target
-402.45853,64,34.783648,False,True,no_target
-380.37503,71,34.825177,False,True,no_target
-425.5454,74,34.987334,False,True,no_target
-410.91403,52,35.125578,False,True,no_target
105.69716,62,35.365045,True,False,no_target
-336.63876,70,36.4693,False,True,no_target
-355.60745,77,37.119335,False,True,no_target
-384.36395,72,37.163377,False,True,no_target
-383.1025,75,37.206144,False,True,no_target
-357.2064,71,37.569247,False,True,no_target
-390.63892,67,37.747094,False,True,no_target
127.829315,64,37.846236,True,False,no_target
-352.3237,69,37.897917,False,True,no_target
61.24692,61,38.077593,True,False,no_target
-319.643,23,38.167012,False,True,no_target
-405.92032,71,38.302325,False,True,no_target
-412.83316,53,38.817351,False,True,no_target
-395.4657,32,39.147285,False,True,no_target
-379.70813,56,39.607769,False,True,no_target
-344.20563,59,40.06936,False,True,no_target
-318.9977,48,40.274313,False,True,no_target
-349.25058,72,40.274313,False,True,no_target
-392.96793,68,40.69859,False,True,no_target
-376.8258,41,40.822112,False,True,no_target
-348.34164,70,40.982291,False,True,no_target
-386.6096,70,41.066195,False,True,no_target
-381.91147,76,41.066195,False,True,no_target
129.10968,62,41.355525,True,False,no_target
116.10056,58,42.047848,True,False,no_target
-354.6208,37,42.723347,False,True,no_target
130.86899,64,42.850768,True,False,no_target
112.58516,60,42.893985,True,False,no_target
85.23727,63,43.033571,True,False,no_target
112.10648,55,43.11265,True,False,no_target
119.88283,62,43.572806,True,False,no_target
81.71108,62,43.758721,True,False,no_target
-366.71362,61,43.804143,False,True,no_target
-314.65338,26,43.888053,False,True,no_target
138.98799,59,44.021254,True,False,no_target
-305.51736,42,44.773675,False,True,no_target
-321.58432,25,44.871663,False,True,no_target
72.05398,65,44.958307,True,False,no_target
-321.66232,40,45.526145,False,True,no_target
70.42083,66,45.99427,True,False,no_target
-317.2037,29,45.99427,False,True,no_target
118.49324,56,46.273195,True,False,no_target
-363.96243,77,46.374967,False,True,no_target
-397.36093,88,46.670547,False,True,no_target
-347.0176,74,46.754848,False,True,no_target
-333.70795,73,47.138602,False,True,no_target
-319.2178,30,47.254294,False,True,no_target
-427.63943,63,47.484726,False,True,no_target
-334.98425,64,47.622952,False,True,no_target
-308.94952,37,47.918407,False,True,no_target
139.06929,63,48.148051,True,False,no_target
-344.535,57,48.590438,False,True,no_target
-330.7245,50,48.677016,False,True,no_target
-344.02182,56,49.005472,False,True,no_target
-303.2503,42,49.188485,False,True,no_target
-376.57327,81,49.308058,False,True,no_target
