#{"t_start": 1789756047.945808, "env_id": "None"}
r,l,t,reached_goal,collided,scenario_class
-320.13663,30,5.902684,False,True,no_target
-306.84396,34,8.885602,False,True,no_target
-349.68546,50,19.790723,False,True,no_target
-332.4285,23,21.860432,False,True,no_target
-368.77664,55,23.314182,False,True,no_target
115.9749,56,24.051533,True,False,no_target
119.42554,58,26.036114,True,False,no_target
125.19134,66,31.565321,True,False,no_target
-373.79584,67,32.2984,False,True,no_target
-362.4058,70,34.077545,False,True,no_target
-374.3494,72,35.612799,False,True,no_target
-313.28876,22,35.612799,False,True,no_target
-313.629,23,41.818379,False,True,no_target
-330.3478,15,45.870959,False,True,no_target
-359.13284,29,52.2896,False,True,no_target
-313.60696,42,52.98905,False,True,no_target
-309.11212,34,55.411766,False,True,no_target
-335.94785,69,57.481397,False,True,no_target
-357.84082,16,57.481397,False,True,no_target
-315.8081,31,57.481397,False,True,no_target
-366.04028,35,59.095843,False,True,no_target
-371.49496,54,60.632105,False,True,no_target
-323.97003,18,68.612331,False,True,no_target
-319.06036,12,69.339567,False,True,no_target
-379.88318,67,72.831755,False,True,no_target
-321.80954,44,74.613996,False,True,no_target
-316.5135,23,75.37507,False,True,no_target
-377.27896,24,76.239141,False,True,no_target
-337.8008,18,89.661929,False,True,null
-316.34488,44,94.6829,False,True,no_target
-311.98,21,95.770008,False,True,head_on
-389.4766,53,103.461472,False,True,no_target
-350.17236,66,108.272725,False,True,no_target
-395.09503,74,113.742767,False,True,no_target
-379.93817,47,116.055739,False,True,no_target
96.16577,60,120.81968,True,False,head_on
-362.09732,70,129.976804,False,True,null
-393.4031,42,130.782698,False,True,no_target
-310.70786,29,133.668921,False,True,no_target
112.05236,61,142.69104,True,False,head_on
-322.80692,33,146.734068,False,True,null
-373.03943,85,150.177159,False,True,head_on
65.77742,63,150.968766,True,False,head_on
-381.9813,43,152.815248,False,True,head_on
141.22307,61,158.279628,True,False,null
-355.24887,23,163.362439,False,True,being_overtaken
-314.92813,42,170.866454,False,True,null
-322.272,18,179.903003,False,True,null
84.526146,39,182.477494,True,False,being_overtaken
-345.07126,72,189.371558,False,True,null
-330.70917,68,193.588401,False,True,head_on
-595.43854,76,198.725806,False,True,null
-323.61697,26,203.140281,False,True,head_on
-429.0925,69,211.859682,False,True,head_on
97.88619,62,212.693725,True,False,overtaking
-364.51163,74,215.424824,False,True,crossing
-367.26617,72,216.704422,False,True,overtaking
-364.62958,24,219.438073,False,True,crossing
139.64986,67,230.060678,True,False,null
-333.52945,29,236.28443,False,True,overtaking
-422.57306,64,236.28443,False,True,head_on
-307.2088,29,237.023705,False,True,null
62.385014,61,238.542604,True,False,head_on
-359.20218,37,246.134799,False,True,crossing
-303.13556,13,248.78307,False,True,crossing
-415.16385,68,248.78307,False,True,null
-352.2144,36,258.714496,False,True,crossing
-318.81708,13,259.452807,False,True,crossing
-325.20853,29,260.341522,False,True,head_on
53.55035,55,263.795295,True,False,head_on
-398.31088,78,266.704813,False,True,null
93.79716,40,268.213952,True,False,being_overtaken
-410.18057,80,279.514641,False,True,crossing
-378.83853,27,281.049444,False,True,head_on
-421.4244,59,282.601958,False,True,no_target
-321.41602,31,283.181679,False,True,null
-307.2333,24,284.347441,False,True,overtaking
-398.04092,49,287.119359,False,True,overtaking
-341.63947,16,292.019605,False,True,crossing
-329.26932,16,293.441858,False,True,overtaking
-319.1005,15,294.140359,False,True,crossing
96.95167,43,297.0907,True,False,being_overtaken
-368.28473,51,298.657323,False,True,overtaking
-324.7939,22,308.982085,False,True,crossing
-352.88626,82,310.623596,False,True,no_target
139.96461,66,319.40152,True,False,null
-317.93314,31,322.503227,False,True,overtaking
-345.64572,41,325.983316,False,True,head_on
-409.38492,53,328.483625,False,True,null
-543.0893,45,331.60683,False,True,overtaking
-305.88882,14,333.200321,False,True,being_overtaken
-354.3499,34,336.6696,False,True,head_on
-342.68372,69,338.00686,False,True,head_on
-337.42017,10,338.86722,False,True,being_overtaken
133.72818,60,339.659916,True,False,no_target
-338.9642,15,339.659916,False,True,crossing
-395.47327,78,343.818154,False,True,null
-335.67883,7,345.215705,False,True,being_overtaken
-345.0172,32,350.300258,False,True,no_target
-310.02643,21,355.244867,False,True,null
-464.21158,63,357.011149,False,True,being_overtaken
-330.49908,30,361.46588,False,True,head_on
-321.47897,17,363.205326,False,True,being_overtaken
40.804523,35,363.205326,True,False,being_overtaken
-331.15894,28,364.923561,False,True,null
-351.88428,15,367.570434,False,True,crossing
-692.1596,69,372.224229,False,True,overtaking
-346.858,26,384.547099,False,True,overtaking
-399.69742,69,387.03389,False,True,overtaking
-342.86615,28,387.843694,False,True,being_overtaken
-559.9229,30,387.843694,False,True,crossing
-307.79446,26,388.894881,False,True,overtaking
-359.96378,74,396.409199,False,True,crossing
-328.27863,14,399.313379,False,True,no_target
61.853355,55,400.73406,True,False,head_on
-410.613,52,403.042526,False,True,being_overtaken
-416.58313,43,405.789164,False,True,no_target
-434.18204,79,406.698992,False,True,overtaking
-289.3948,17,409.067747,False,True,crossing
-345.53232,32,411.194746,False,True,overtaking
-287.51718,18,412.326782,False,True,crossing
61.525017,41,415.783264,True,False,being_overtaken
-329.31042,32,424.584816,False,True,no_target
-343.9784,28,426.984643,False,True,head_on
67.51338,61,433.269012,True,False,head_on
-315.32285,38,433.834965,False,True,overtaking
109.23833,63,434.454717,True,False,null
66.018036,57,444.408093,True,False,overtaking
110.11083,62,453.796629,True,False,null
-403.55008,29,454.49229,False,True,crossing
136.79282,60,454.49229,True,False,no_target
