episode_id,obstacle_count,group,seed,success,obstacle_collision,border_collision,timeout,term_reason,rms_cte,mean_cte,mean_signed_cte,max_cte,std_cte,min_obstacle_clearance,min_border_clearance,min_lateral_border_clearance,min_front_clearance,path_completion_steps,path_completion_time_s,mean_speed,mean_rpm,control_effort,control_effort_deg2s,mean_abs_rudder_rate,mean_abs_rudder_rate_achieved,mean_abs_rudder_deg,rudder_saturation_fraction,mean_abs_course_error,ep_reward,reference_path_length,actual_path_length,path_efficiency,d_end
0,0,obs_0,675974,1,0,0,0,goal,0.062099451671097296,0.055823273553023106,-0.005754964375017868,0.10743784159421921,0.061832210722997966,nan,0.9889620164570401,2.1140781974296985,16.0,173,17.3,1.0810542510281174,12.660807698189867,0.00496370571826767,7.94192914922827,1.7682628699329268,0.22389270450259932,0.5354043825884818,0.0,0.44003637911230375,104.4576330988267,20.00204771143656,18.70223854278643,0.9350161949715308,1.300359638178086
1,0,obs_0,675975,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,3.172673918437896,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
2,0,obs_0,675976,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,3.1188859724933238,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
3,0,obs_0,675977,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,4.19704397101581,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
4,0,obs_0,675978,1,0,0,0,goal,0.11393256118769803,0.10567623557819222,0.022363278094086458,0.18748359382152557,0.11171621319967441,nan,0.9889288690125174,2.081936990760821,16.0,176,17.6,1.0730277661764918,12.585058474066583,0.07092646566668158,113.48234506669053,1.115029964596033,0.6698161131243319,1.918690363818314,0.0,1.7578541986497411,104.4150023450297,20.041642581602023,18.885288684706257,0.9423024389249769,1.1659876829336808
5,0,obs_0,675979,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,3.923475228360756,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
6,0,obs_0,675980,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,3.2506956765021555,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
7,0,obs_0,675981,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,2.9188635254665036,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
8,0,obs_0,675982,1,0,0,0,goal,0.06195716927036366,0.05561246314742791,-0.005673259204641156,0.10598071664571762,0.06169687961310077,nan,0.98896227745923,3.0296682374426647,16.0,173,17.3,1.0811496370515976,12.661332280649615,0.004769791777906119,7.631666844649789,1.7799410514863814,0.22117709106734387,0.5256045008474568,0.0,0.43092545657044157,104.46506419618652,20.001936554058293,18.70388872099264,0.9351038920877747,1.2985798919848777
9,0,obs_0,675983,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,2.1334636232709667,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
10,0,obs_0,675984,1,0,0,0,goal,0.15925153651512447,0.14553736699640415,-0.03531887709801452,0.25854384899139404,0.1552856361772182,nan,0.9889066467885544,3.480170300015657,16.0,178,17.8,1.0629510321006612,12.532564321260773,0.16317540391055374,261.08064625688604,1.092351310081401,0.9941759951496123,2.8896058963224545,0.0,2.661480213234107,104.15730948567563,20.09726849216328,18.920528371391775,0.9414477583742108,1.1989963711578084
11,0,obs_0,675985,1,0,0,0,goal,0.060857700409291546,0.0540053445840459,-0.00253488840212281,0.10125966370105743,0.06080488500026842,nan,0.9889641598073792,2.8910878894171783,16.0,173,17.3,1.0818148420624385,12.66450484941116,0.003582344822544716,5.731751716071545,1.838139345856562,0.20478622413770686,0.46876743582135866,0.0,0.361185013945485,104.52048425957155,20.001228572786435,18.71539676768019,0.935712358847009,1.2862408540850934
12,0,obs_0,675986,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,2.3707544372499347,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
13,0,obs_0,675988,1,0,0,0,goal,0.14552943408328026,0.133496685521835,-0.03143923318192447,0.23881728947162628,0.14209289497203015,nan,0.9889130791937139,3.521264945289415,16.0,177,17.7,1.0650579225083547,12.547444160459404,0.13226607644245664,211.62572230793057,1.0659505750729956,0.9005865009395265,2.611010193964203,0.0,2.3994227895966658,104.07051316127067,20.078707448849617,18.851525228397882,0.9388814133789253,1.2452333820051922
14,0,obs_0,675989,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,4.522865924283122,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
15,0,obs_0,675990,1,0,0,0,goal,0.15583755865787555,0.14248444580308192,0.03443577294198671,0.2515367865562439,0.15198526978077428,nan,0.9889081988450021,2.941513754615201,16.0,178,17.8,1.064164618417868,12.536342505240038,0.15541139042986962,248.6582246877914,1.08268205602627,0.9716566875372981,2.818757831132081,0.0,2.597949357703016,104.23849263007092,20.092604871636723,18.94213020783805,0.9427413881301815,1.1717086466521338
16,0,obs_0,675991,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,3.10763840788828,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
17,0,obs_0,675992,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,2.91197543596577,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
18,0,obs_0,675993,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,4.2548730159168535,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
19,0,obs_0,675994,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,2.2809000441623226,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
20,0,obs_0,675995,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,2.9276789093820934,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
21,0,obs_0,675996,1,0,0,0,goal,0.07402133935293646,0.0690750827498991,0.011177048954213488,0.1256997436285019,0.07317261958053502,nan,0.9889510055318818,3.311520869932176,16.0,174,17.400000000000002,1.0793837253371374,12.63702010234882,0.01769509937553308,28.312159000852922,1.3351769836597962,0.3553118690415653,0.9636371197304742,0.0,0.8659911802585143,104.54129783056942,20.009558065142,18.78127682086619,0.9386152737468221,1.23045571520551
22,0,obs_0,675997,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,3.989437469423913,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
23,0,obs_0,675998,1,0,0,0,goal,0.12897380063359,0.11897789691680703,-0.026498113679487935,0.20980685949325562,0.12622238795594845,nan,0.9889211654007268,3.2265499847598593,16.0,176,17.6,1.0679792264911194,12.566468691707335,0.09831211817633279,157.29938908213245,1.064114217779466,0.7831228908898183,2.2600369703352707,0.0,2.071311280894514,104.04476336057273,20.058227338953614,18.796434386243703,0.9370934962802283,1.2751842086866245
24,0,obs_0,675999,1,0,0,0,goal,0.08456561084831662,0.07909621201166563,-0.014323224621321792,0.14196978509426117,0.08334379265785838,nan,0.9889445344422537,3.3017809621809846,16.0,174,17.400000000000002,1.076239024039711,12.621932517094859,0.029376140958494452,47.00182553359113,1.2525828603508404,0.4479006372522582,1.237195321773888,0.0,1.1239091780175834,104.25595722258568,20.016573237861092,18.72655901829097,0.9355526940480463,1.2937863588071492
25,0,obs_0,676000,1,0,0,0,goal,0.0,0.0,0.0,0.0,0.0,nan,0.9889715388050575,2.2774828719915945,16.0,173,17.3,1.0851215098675857,12.688747107982635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49864710889565,20.0,18.772602120709234,0.9386301060354617,1.2273978792907663
26,0,obs_0,676001,1,0,0,0,goal,0.1435089576315753,0.131701055924687,-0.030835013363068386,0.2330978363752365,0.14015713635559437,nan,0.9889140077338257,2.562287406521987,16.0,177,17.7,1.0657381227913698,12.54971390987857,0.12810796306448224,204.9727409031716,1.0755024882118132,0.8873501740451674,2.5689929617453093,0.0,2.36165408345848,104.12103087038079,20.076192519345454,18.863564773407244,0.9395987189916754,1.2301087645313962
