episode_id,obstacle_count,group,seed,success,obstacle_collision,border_collision,timeout,term_reason,rms_cte,mean_cte,mean_signed_cte,max_cte,std_cte,min_obstacle_clearance,min_border_clearance,min_lateral_border_clearance,min_front_clearance,path_completion_steps,path_completion_time_s,mean_speed,mean_rpm,control_effort,control_effort_deg2s,mean_abs_rudder_rate,mean_abs_rudder_rate_achieved,mean_abs_rudder_deg,rudder_saturation_fraction,mean_abs_course_error,ep_reward,reference_path_length,actual_path_length,path_efficiency,d_end
0,0,obs_0,675974,1,0,0,0,goal,0.24762062003691218,0.18900529838393668,0.02091755793505424,0.6558773517608643,0.2467355410910607,nan,0.9893370983517994,1.98330311970067,16.0,185,18.5,1.0161166471494014,12.143100951491176,4.369755417624133,6991.608668198613,61.594671270121694,11.130005172256109,15.287154275017816,0.0,2.794591888249627,104.87896057361912,20.00204771143656,18.798157972263926,0.939811675457394,1.4099364352133392
1,0,obs_0,675975,1,0,0,0,goal,0.24921524638389422,0.19579841120902336,0.07283452585565321,0.5040232539176941,0.2383345775869865,nan,0.989510683095132,2.9434838090451576,16.0,165,16.5,1.1431700806827896,13.383553532036869,5.963181867034824,9541.090987255719,98.40905317446081,15.142948146426862,21.21001434326172,0.0,2.310464607553679,101.99149966638342,20.0,18.862306331266026,0.9431153165633013,1.2624474250531927
2,0,obs_0,675976,1,0,0,0,goal,0.2534320148294004,0.19827384411385565,0.07251237870165796,0.5188003778457642,0.24283686103126267,nan,0.9895094374924305,2.886328867442627,16.0,165,16.5,1.1396712455097244,13.385934641144493,5.714540940558097,9143.265504892954,97.79739961391542,15.03236920144164,20.77354484615904,0.0,2.3640532950097066,101.90299976401707,20.0,18.804575550910457,0.9402287775455228,1.3239100847093046
3,0,obs_0,675977,1,0,0,0,goal,0.33189272135868336,0.28132917260238155,-0.038750408470062885,0.5688875317573547,0.3296227909812607,nan,0.9885462193879921,3.5621356451992394,16.0,187,18.7,1.007594728838676,11.834515138424655,6.0738390104272995,9718.142416683677,67.57344891948084,13.47435356520696,19.13208061361058,0.0,4.193733142433519,102.88397352510884,20.0,18.842021429283243,0.9421010714641621,1.3485521117603403
4,0,obs_0,675978,1,0,0,0,goal,0.08330542349506358,0.0763977980595969,0.017627943803866706,0.14501115679740906,0.08141897310172617,nan,0.9882769779808313,2.213946053635105,16.0,210,21.0,0.8924389792284559,10.604625854321888,2.7616929422976404,4418.708707676225,28.7099024895846,5.962165970998476,8.909065394174485,0.0,1.3661825772222018,103.10689990621324,20.041642581602023,18.741218563797574,0.935113900344764,1.308867984092992
5,0,obs_0,675979,1,0,0,0,goal,0.18991529507571012,0.1622712377558005,0.05173593032664272,0.3319031894207001,0.18273262658028758,nan,0.989471714172722,3.715937470348435,16.0,169,16.900000000000002,1.1147705702691297,12.69742894878049,7.570471283119274,12112.754052990838,105.64827507450467,16.59108925667485,24.47964593503602,0.0,2.025767059977954,104.36700376192918,20.0,18.839622637548292,0.9419811318774146,1.2052564974957052
6,0,obs_0,675980,1,0,0,0,goal,0.13862000052840692,0.1200623399575889,0.1200623399575889,0.23108595609664917,0.06928592259906692,nan,0.988266165919246,3.026451403861741,16.0,217,21.700000000000003,0.8662892350217406,10.328774910094001,0.23136819537254427,370.1891125960708,10.53665655630606,1.4533547296086173,1.8203114804034959,0.0,0.8148170815228877,101.12338885512838,20.0,18.79847639997177,0.9399238199985884,1.2104082563802832
7,0,obs_0,675981,1,0,0,0,goal,0.09150301208988157,0.07948374094274921,0.03138690097834231,0.17085207998752594,0.08595151929138163,nan,0.9882659598861101,2.764435213573832,16.0,218,21.8,0.8626905758713527,10.063260415825274,0.15838906418745752,253.422502699932,7.35299070859285,1.5922434799476186,1.9648359237460915,0.0,0.49050777872563855,102.25900001829964,20.0,18.80665455399549,0.9403327276997745,1.2005797873138835
8,0,obs_0,675982,1,0,0,0,goal,0.20746466711451417,0.15595852877686983,0.08683842755619835,0.4612542986869812,0.18841622966321947,nan,0.9894981960406359,3.078474352205994,16.0,159,15.9,1.1768347835268427,13.765204344155654,4.83607748606882,7737.72397771011,85.54169377194174,13.650384203380055,18.4660390338058,0.0,1.7405348923344282,100.23186863292611,20.001936554058293,18.7116730580768,0.9354930712586575,1.3812109060707844
9,0,obs_0,675983,1,0,0,0,goal,0.25221067074293185,0.21522885342710651,-0.21522885342710651,0.38083356618881226,0.13147913556550586,nan,0.9882550323934765,2.1062572872861005,16.0,196,19.6,0.9607717296707339,11.612966469051887,4.059045904554516,6494.473447287226,63.2534473370283,10.70260851561267,14.049971955163139,0.0,1.431624145104942,95.37533734371415,20.0,18.831125901546386,0.9415562950773193,1.2097662693074542
10,0,obs_0,675984,1,0,0,0,goal,0.19006695509822125,0.16065835001883585,0.03311204438957062,0.3674822747707367,0.18716046574170614,nan,0.9885404230849417,3.6282928017096805,16.0,181,18.1,1.040672933970907,12.333349913523342,8.268946809438445,13230.31489510151,95.55838134553697,16.27085793256098,24.85324352485699,0.0,3.238038490500606,102.07355260508831,20.09726849216328,18.836180104873417,0.9372507568487921,1.340972298258881
11,0,obs_0,675985,1,0,0,0,goal,0.10687619604952296,0.089871657488936,0.07619209396823762,0.20246200263500214,0.07494855634868036,nan,0.9882670178061973,2.881107025810983,16.0,218,21.8,0.860882410527566,10.0625986681072,0.24549577483967192,392.79323974347506,6.067598140734131,1.7076651560782747,2.3001030060129426,0.0,0.5736010338113313,101.9222355703391,20.001228572786435,18.76723654950094,0.9383041887254637,1.245770562860017
12,0,obs_0,675986,1,0,0,0,goal,0.3168884810339155,0.23956649060285576,0.05724397166254552,0.7475264668464661,0.31167521094928274,nan,0.9892902017054734,2.050757306946272,16.0,185,18.5,1.0206887467446084,12.314914585126413,4.806049163774522,7689.678662039235,71.49741416392118,12.391261354627874,16.75263938388309,0.005405405405405406,3.2389573161359073,103.1166163880842,20.0,18.882741814775255,0.9441370907387627,1.3876410104313963
13,0,obs_0,675988,1,0,0,0,goal,0.18467919240448943,0.15651441337023345,0.039332620318358144,0.34430572390556335,0.18044209344292786,nan,0.9885865737218174,3.7899248981169933,16.0,180,18.0,1.0462424245821316,12.296645189325014,8.427176032501848,13483.481652002956,97.3566721271536,16.55866111443163,25.18304063214196,0.0,2.952611189188027,103.00622070964317,20.078707448849617,18.832363642478363,0.9379270897020484,1.3137776318975611
14,0,obs_0,675989,1,0,0,0,goal,0.20273653012317225,0.1805784632134336,-0.005226008223623715,0.3115730881690979,0.20266916263810472,nan,0.9891143958828845,4.186021483074845,16.0,176,17.6,1.0644861493945519,12.563939430835573,6.346136168768509,10153.817870029612,87.78691618783132,15.566576243210612,21.462566703557968,0.0,2.8316709582816126,105.23982895512542,20.0,18.734956229344114,0.9367478114672056,1.3109437395090904
15,0,obs_0,675990,1,0,0,0,goal,0.3100249234556647,0.27266032336106927,0.007222273233394648,0.502813458442688,0.3099407877853977,nan,0.9885833205475828,2.722315154751266,16.0,194,19.400000000000002,0.9733094577244596,11.820566000704913,3.4812909436727355,5570.065509876376,55.96806397709821,10.022494840992259,13.554183134098643,0.0,4.6922127657199,101.65871340496847,20.092604871636723,18.882203479854518,0.9397588615555347,1.3196690851566637
16,0,obs_0,675991,1,0,0,0,goal,0.25535443993761386,0.19940840737386184,0.07309801359519814,0.5265935063362122,0.24466828647025074,nan,0.989508911604465,2.873905084270346,16.0,165,16.5,1.1385854726209677,13.390351138331674,5.675126927537398,9080.203084059836,97.5138882311379,14.978042395080726,20.574086160370797,0.0,2.385075742257952,101.84707116279692,20.0,18.78666029824597,0.9393330149122985,1.3433616708773266
17,0,obs_0,675992,1,0,0,0,goal,0.09054507174586303,0.07875346838402639,0.02971445488820382,0.1660085767507553,0.08553046935543138,nan,0.9882658541272831,2.7591567776050283,16.0,218,21.8,0.8631725125656349,10.06612384538038,0.15756114875261354,252.09783800418165,7.325026296800182,1.5644400627782742,1.9433302944953288,0.0,0.4880683146907347,102.29610135055171,20.0,18.81716077393084,0.940858038696542,1.189997316626324
18,0,obs_0,675993,1,0,0,0,goal,0.14938078025191467,0.13450760945860793,0.02501965038252273,0.248506098985672,0.14727061690441565,nan,0.9894500222953084,4.046612744627075,16.0,173,17.3,1.0836789866374927,12.308241181979978,5.571467190755162,8914.347505208263,80.79466209855191,12.897637081261736,18.666574431292585,0.0,2.0457000591941465,106.0983523292276,20.0,18.747646468828624,0.9373823234414311,1.2720497659699153
19,0,obs_0,675994,1,0,0,0,goal,0.18369543625297596,0.1607927649294854,-0.1607927649294854,0.2804284691810608,0.08882398350953648,nan,0.9882581921554822,2.259585425046688,16.0,198,19.8,0.9509481984588656,11.52674852085836,3.244558251121808,5191.293201794892,53.09968599813239,8.920284102896886,11.686596328561956,0.0,1.074907230109347,96.55130742958741,20.0,18.82877432948554,0.941438716474277,1.1902525472672376
20,0,obs_0,675995,1,0,0,0,goal,0.2716490438499676,0.20989661663216316,0.0647091726118344,0.5899584293365479,0.2638293501574331,nan,0.9894969821150263,2.662481910696707,16.0,168,16.8,1.1232012723254787,13.300088253404413,5.766073105195431,9225.716968312689,92.73507438020077,14.412543496831892,20.263670569374447,0.0,2.663520755982921,102.4613716040399,20.0,18.869781375068044,0.9434890687534022,1.3028006385428792
