#{"t_start": 1787072221.770387, "env_id": "None"}
r,l,t
-984.65247,86,0.883317
-980.9278,97,1.005578
-974.6077,110,1.14743
-972.0019,117,1.206932
-974.3028,133,1.358449
-982.592,154,1.555183
-987.65497,78,1.662504
-988.7844,80,1.971429
-986.04926,201,2.013164
-970.28906,216,2.143681
-972.3771,120,2.151808
-990.6127,72,2.226713
-990.2684,72,2.323537
-976.8788,105,2.346354
-990.0043,72,2.675138
-991.7825,68,2.788653
-982.8506,176,2.799846
-988.16016,126,3.207387
-974.6174,111,3.244398
-981.22394,94,3.273348
-979.95,97,3.641716
-980.4784,189,4.174081
-974.19556,111,4.2384
-976.91943,214,4.291261
-965.0879,134,4.48319
-978.9429,200,4.719025
100.15294,203,4.757069
-965.42126,134,4.909806
-976.2125,106,5.29222
-956.63525,221,5.323485
-979.48206,98,5.392968
-985.37054,85,5.658987
-979.5656,101,5.67099
-992.0319,68,5.936763
-989.79205,76,5.967664
-968.7069,157,6.141253
91.7584,208,6.142284
-967.1873,217,6.159441
-987.68384,84,6.427462
-980.13257,97,6.53795
-965.3012,140,6.655103
-990.0196,72,6.788969
-975.5306,114,7.016523
-972.79535,124,7.079717
-981.25397,94,7.308795
-977.31274,104,7.499043
-971.0306,159,7.600834
-982.56573,91,7.645236
-980.202,174,7.754549
-990.602,78,7.778775
-993.68225,63,7.872305
-972.7169,151,8.056436
-972.7054,116,8.077633
-993.3002,66,8.292555
-980.6039,99,8.455213
-973.7909,112,8.875031
-992.00714,68,8.927674
-980.2977,141,8.953651
-982.95026,91,8.963639
-988.23346,80,9.193751
-970.83844,120,9.204936
-967.8243,145,9.254019
98.54082,185,9.490967
-989.61786,74,9.61153
-983.03674,93,10.011244
-973.3161,151,10.299441
-970.7341,122,10.352408
-978.12366,108,10.506964
102.258156,190,10.653183
-985.5712,198,10.671376
-984.1961,138,10.913041
-983.95996,95,10.931246
-988.44434,76,11.103925
-989.4779,75,11.208112
-960.79645,226,11.2887
-990.9355,70,11.314908
-990.37274,72,11.346812
-976.91815,104,11.816296
-983.9928,88,11.848801
-973.45386,113,11.926924
-979.20355,100,12.066794
-977.0562,210,12.224277
-990.40204,74,12.491066
-976.81866,180,12.833838
-967.1944,128,12.872301
-970.79614,206,12.989535
-992.692,66,12.989535
-967.5437,134,13.006068
-969.4975,213,13.06882
-965.532,139,13.195689
-987.34467,79,13.791727
97.58814,188,13.875323
-990.13306,77,13.986485
-971.97614,118,14.184249
-975.8521,109,14.201586
-968.5347,150,14.32588
-976.4448,188,14.72261
-988.8341,76,14.754399
-976.24194,108,14.878554
-992.69727,66,14.957227
-984.1324,88,15.054072
-956.64813,223,15.248256
-981.9243,154,15.725705
-982.0344,96,15.856468
-971.4946,196,15.856468
-985.7172,83,16.105268
-970.3511,135,16.135731
-963.5856,142,16.48487
-993.4553,64,16.766422
-992.4638,66,16.766422
-962.4585,216,16.927012
88.58507,200,17.05432
-971.2632,128,17.104716
-976.4261,148,17.269386
-977.8235,103,17.372104
-959.29425,199,17.693815
-967.4694,127,18.575434
-987.4464,123,18.627369
101.324844,190,18.792363
-995.68555,213,18.822353
-971.1697,224,18.930086
98.73951,189,18.989336
-960.8491,212,19.128896
-986.34375,82,19.342175
104.27483,186,78.901278
-981.70123,93,78.92259
-979.001,102,79.415841
-978.1159,108,79.919768
-978.07666,151,80.417338
-987.153,80,80.45741
-987.1667,187,81.334465
-980.51874,96,81.795184
-983.37054,91,82.24656
-966.5951,212,82.34772
-979.1669,178,82.424855
-970.50824,211,82.808261
